"Gene Symbol","Reference.Count"
"GENE068",45
"GENE039",46
"GENE001",30
"GENE034",9
"GENE043",11
"GENE014",22
"GENE059",32
"GENE051",40
"GENE021",3
"GENE054",19
"GENE007",33
"GENE037",4
"GENE055",13
"GENE027",1
"GENE069",40
"GENE063",5
"GENE019",42
"GENE041",44
"GENE033",35
"GENE080",23
"GENE042",29
"GENE012",35
"GENE008",36
"GENE047",9
"GENE060",35
"GENE040",35
"GENE079",20
"GENE066",22
"GENE072",41
"GENE013",22
"GENE016",19
"GENE045",44
"GENE030",18
"GENE058",44
"GENE048",39
"GENE075",29
"GENE005",27
"GENE029",36
"GENE046",32
"GENE020",31
"GENE028",17
"GENE011",37
