"Target","Gene","Probability"
"T1","GENE068",0.197
"T2","GENE039",0.115
"T3","GENE001",0.996
"T4","GENE034",0.379
"T5","GENE043",0.562
"T6","GENE014",0.733
"T7","GENE059",0.871
"T8","GENE051",0.572
"T9","GENE021",0.011
"T10","GENE054",0.906
"T11","GENE007",0.771
"T12","GENE037",0.383
"T13","GENE062",0.094
"T14","GENE063",0.05
"T15","GENE025",0.821
"T16","GENE078",0.829
"T17","GENE018",0.655
"T18","GENE080",0.133
"T19","GENE072",0.342
"T20","GENE045",0.731
"T21","GENE028",0.907
"T22","GENE017",0.696
"T23","GENE009",0.242
"T24","GENE031",0.644
"T25","GENE030",0.281
"T26","GENE035",0.958
"T27","GENE055",0.158
"T28","GENE076",0.418
"T29","GENE061",0.252
"T30","GENE008",0.094
"T31","GENE041",0.828
"T32","GENE077",0.525
"T33","GENE002",0.668
"T34","GENE020",0.408
"T35","GENE016",0.843
"T36","GENE065",0.737
"T37","GENE067",0.348
"T38","GENE048",0.949
"T39","GENE003",0.647
"T40","GENE049",0.035
