Cell,CellType
Cell_001,T
Cell_002,T
Cell_003,T
Cell_004,T
Cell_005,T
Cell_006,T
Cell_007,T
Cell_008,T
Cell_009,T
Cell_010,T
Cell_011,T
Cell_012,T
Cell_013,T
Cell_014,T
Cell_015,T
Cell_016,T
Cell_017,T
Cell_018,T
Cell_019,T
Cell_020,T
Cell_021,T
Cell_022,T
Cell_023,T
Cell_024,T
Cell_025,T
Cell_026,T
Cell_027,T
Cell_028,T
Cell_029,T
Cell_030,T
Cell_031,T
Cell_032,T
Cell_033,T
Cell_034,T
Cell_035,T
Cell_036,T
Cell_037,T
Cell_038,T
Cell_039,T
Cell_040,T
Cell_041,T
Cell_042,T
Cell_043,T
Cell_044,T
Cell_045,T
Cell_046,T
Cell_047,T
Cell_048,T
Cell_049,T
Cell_050,T
Cell_051,T
Cell_052,T
Cell_053,T
Cell_054,T
Cell_055,T
Cell_056,T
Cell_057,T
Cell_058,T
Cell_059,T
Cell_060,T
Cell_061,T
Cell_062,T
Cell_063,T
Cell_064,T
Cell_065,T
Cell_066,T
Cell_067,T
Cell_068,T
Cell_069,T
Cell_070,T
Cell_071,B
Cell_072,B
Cell_073,B
Cell_074,B
Cell_075,B
Cell_076,B
Cell_077,B
Cell_078,B
Cell_079,B
Cell_080,B
Cell_081,B
Cell_082,B
Cell_083,B
Cell_084,B
Cell_085,B
Cell_086,B
Cell_087,B
Cell_088,B
Cell_089,B
Cell_090,B
Cell_091,B
Cell_092,B
Cell_093,B
Cell_094,B
Cell_095,B
Cell_096,B
Cell_097,B
Cell_098,B
Cell_099,B
Cell_100,B
Cell_101,B
Cell_102,B
Cell_103,B
Cell_104,B
Cell_105,B
Cell_106,B
Cell_107,B
Cell_108,B
Cell_109,B
Cell_110,B
Cell_111,B
Cell_112,B
Cell_113,B
Cell_114,B
Cell_115,B
Cell_116,B
Cell_117,B
Cell_118,B
Cell_119,B
Cell_120,B
Cell_121,B
Cell_122,B
Cell_123,B
Cell_124,B
Cell_125,B
Cell_126,B
Cell_127,B
Cell_128,B
Cell_129,B
Cell_130,B
Cell_131,B
Cell_132,B
Cell_133,B
Cell_134,B
Cell_135,B
Cell_136,B
Cell_137,B
Cell_138,B
Cell_139,B
Cell_140,B
Cell_141,Mono
Cell_142,Mono
Cell_143,Mono
Cell_144,Mono
Cell_145,Mono
Cell_146,Mono
Cell_147,Mono
Cell_148,Mono
Cell_149,Mono
Cell_150,Mono
Cell_151,Mono
Cell_152,Mono
Cell_153,Mono
Cell_154,Mono
Cell_155,Mono
Cell_156,Mono
Cell_157,Mono
Cell_158,Mono
Cell_159,Mono
Cell_160,Mono
Cell_161,Mono
Cell_162,Mono
Cell_163,Mono
Cell_164,Mono
Cell_165,Mono
Cell_166,Mono
Cell_167,Mono
Cell_168,Mono
Cell_169,Mono
Cell_170,Mono
Cell_171,Mono
Cell_172,Mono
Cell_173,Mono
Cell_174,Mono
Cell_175,Mono
Cell_176,Mono
Cell_177,Mono
Cell_178,Mono
Cell_179,Mono
Cell_180,Mono
Cell_181,Mono
Cell_182,Mono
Cell_183,Mono
Cell_184,Mono
Cell_185,Mono
Cell_186,Mono
Cell_187,Mono
Cell_188,Mono
Cell_189,Mono
Cell_190,Mono
Cell_191,Mono
Cell_192,Mono
Cell_193,Mono
Cell_194,Mono
Cell_195,Mono
Cell_196,Mono
Cell_197,Mono
Cell_198,Mono
Cell_199,Mono
Cell_200,Mono
Cell_201,Mono
Cell_202,Mono
Cell_203,Mono
Cell_204,Mono
Cell_205,Mono
Cell_206,Mono
Cell_207,Mono
Cell_208,Mono
Cell_209,Mono
Cell_210,Mono
Cell_211,Rare
Cell_212,Rare
Cell_213,Rare
Cell_214,Rare
Cell_215,Rare
Cell_216,Rare
Cell_217,Rare
Cell_218,Rare
Cell_219,Rare
Cell_220,Rare
Cell_221,Rare
Cell_222,Rare
Cell_223,Rare
Cell_224,Rare
Cell_225,Rare
Cell_226,Rare
Cell_227,Rare
Cell_228,Rare
Cell_229,Rare
Cell_230,Rare
Cell_231,Rare
Cell_232,Rare
Cell_233,Rare
Cell_234,Rare
Cell_235,Rare
