Gene,Tier
MK_HI_001,HI
MK_HI_002,HI
MK_HI_003,HI
MK_HI_004,HI
MK_HI_005,HI
MK_HI_006,HI
MK_HI_007,HI
MK_HI_008,HI
MK_HI_009,HI
MK_HI_010,HI
MK_HI_011,HI
MK_HI_012,HI
MK_HI_013,HI
MK_HI_014,HI
MK_HI_015,HI
MK_HI_016,HI
MK_HI_017,HI
MK_HI_018,HI
MK_HI_019,HI
MK_HI_020,HI
MK_HI_021,HI
MK_HI_022,HI
MK_HI_023,HI
MK_HI_024,HI
MK_HI_025,HI
MK_HI_026,HI
MK_HI_027,HI
MK_HI_028,HI
MK_HI_029,HI
MK_HI_030,HI
MK_MID_001,MID
MK_MID_002,MID
MK_MID_003,MID
MK_MID_004,MID
MK_MID_005,MID
MK_MID_006,MID
MK_MID_007,MID
MK_MID_008,MID
MK_MID_009,MID
MK_MID_010,MID
MK_MID_011,MID
MK_MID_012,MID
MK_MID_013,MID
MK_MID_014,MID
MK_MID_015,MID
MK_MID_016,MID
MK_MID_017,MID
MK_MID_018,MID
MK_MID_019,MID
MK_MID_020,MID
MK_MID_021,MID
MK_MID_022,MID
MK_MID_023,MID
MK_MID_024,MID
MK_MID_025,MID
MK_MID_026,MID
MK_MID_027,MID
MK_MID_028,MID
MK_MID_029,MID
MK_MID_030,MID
MK_LO_001,LO
MK_LO_002,LO
MK_LO_003,LO
MK_LO_004,LO
MK_LO_005,LO
MK_LO_006,LO
MK_LO_007,LO
MK_LO_008,LO
MK_LO_009,LO
MK_LO_010,LO
MK_LO_011,LO
MK_LO_012,LO
MK_LO_013,LO
MK_LO_014,LO
MK_LO_015,LO
MK_LO_016,LO
MK_LO_017,LO
MK_LO_018,LO
MK_LO_019,LO
MK_LO_020,LO
MK_LO_021,LO
MK_LO_022,LO
MK_LO_023,LO
MK_LO_024,LO
MK_LO_025,LO
MK_LO_026,LO
MK_LO_027,LO
MK_LO_028,LO
MK_LO_029,LO
MK_LO_030,LO
