# synthetic, for demo only -- module 563 CONCORD
,batch,cell_type,true_time
C00000,batch3,Intermediate,0.6369616873214543
C00001,batch3,Progenitor,0.2697867137638703
C00002,batch3,Progenitor,0.04097352393619469
C00003,batch2,Progenitor,0.016527635528529094
C00004,batch3,Mature,0.8132702392002724
C00005,batch2,Mature,0.9127555772777217
C00006,batch3,Intermediate,0.6066357757671799
C00007,batch1,Mature,0.7294965609839984
C00008,batch3,Intermediate,0.5436249914654229
C00009,batch2,Mature,0.9350724237877682
C00010,batch3,Mature,0.8158535541215322
C00011,batch2,Progenitor,0.002738500170148095
C00012,batch1,Mature,0.8574042765875693
C00013,batch1,Progenitor,0.033585575305464355
C00014,batch1,Mature,0.7296554464299441
C00015,batch3,Progenitor,0.17565562060255901
C00016,batch3,Mature,0.8631789223498866
C00017,batch1,Intermediate,0.5414612202490917
C00018,batch1,Progenitor,0.2997118905373848
C00019,batch1,Intermediate,0.42268722119765845
C00020,batch3,Progenitor,0.028319671145462966
C00021,batch3,Progenitor,0.12428327649956394
C00022,batch1,Mature,0.6706244146936303
C00023,batch3,Intermediate,0.6471895115742501
C00024,batch3,Intermediate,0.6153851114812539
C00025,batch1,Intermediate,0.38367755426188344
C00026,batch1,Mature,0.997209935789211
C00027,batch1,Mature,0.9808353387762301
C00028,batch1,Mature,0.6855419844806947
C00029,batch2,Intermediate,0.6504592762678163
C00030,batch2,Mature,0.6884467305709401
C00031,batch1,Intermediate,0.3889214239791038
C00032,batch2,Progenitor,0.13509650502241122
C00033,batch2,Mature,0.7214883401940817
C00034,batch2,Intermediate,0.5253543224757259
C00035,batch3,Progenitor,0.31024187555895566
C00036,batch3,Intermediate,0.4858353588317891
C00037,batch2,Mature,0.8894878343490003
C00038,batch1,Mature,0.9340435159562497
C00039,batch2,Intermediate,0.35779519670907023
C00040,batch3,Intermediate,0.5715298307297609
C00041,batch1,Progenitor,0.32186939107594215
C00042,batch1,Intermediate,0.5943000301996968
C00043,batch3,Intermediate,0.33791122550713326
C00044,batch2,Intermediate,0.39161900052816123
C00045,batch3,Mature,0.8902743520047923
