# synthetic, for demo only -- module 563 CONCORD
,TruePC1,TruePC2,TruePC3,TruePC4,TruePC5,TruePC6,TruePC7,TruePC8,TruePC9,TruePC10,TruePC11,TruePC12,TruePC13,TruePC14,TruePC15,TruePC16,TruePC17,TruePC18,TruePC19,TruePC20
C00000,8.639292,9.917481,-4.5490108,-0.5032958,-0.9776679,-0.3686694,-0.23800322,0.13798746,0.0054628677,0.02119395,-0.005704768,-0.002661588,0.0011573461,0.00011910951,-0.00016821055,3.602359e-05,1.2901782e-05,-1.1627721e-05,1.0732489e-06,-1.2623869e-05
C00001,-17.963871,0.544173,4.8064394,2.1142998,-0.36182424,-0.5619716,-0.31598103,-0.060272723,0.039543413,-0.030603586,-0.0033393418,0.00218215,0.001140741,8.3102606e-07,-0.00012847777,-4.76372e-05,1.0570893e-05,6.027184e-06,6.9146718e-06,-5.034796e-07
C00002,-20.62067,-14.1989765,-7.1900687,-2.0797591,1.3837218,-0.3755514,-0.03178628,0.08598786,0.04419177,-0.043846082,-0.00823712,-0.006952327,-0.0022022543,0.00039067428,-8.356077e-05,8.878984e-06,1.0307384e-05,-5.8193336e-06,-3.3179858e-06,1.0051212e-06
C00003,-20.30092,-15.246219,-8.179416,-2.86277,2.2515142,-1.0385782,-0.36125487,-0.19275711,-0.040107634,0.008674105,0.00078493863,-0.0019638177,-0.0011920541,0.0005225949,-0.00021153227,-6.48982e-05,1.2140117e-05,3.5425845e-05,3.9851875e-06,-1.2140964e-06
C00004,19.846048,-2.9324605,-0.9828489,2.7231574,0.8928059,0.30574062,0.14236037,-0.13947326,0.059539415,0.0057117,0.004856544,-0.002580037,0.0008721164,0.00010503411,-8.899173e-05,4.9312846e-05,1.2020331e-05,4.9341347e-06,-1.0040859e-06,2.1023052e-06
C00005,22.085163,-10.441348,3.5553594,-0.5913038,0.33726192,0.69419247,-0.3470675,0.16195023,-0.05717264,-0.0053631617,-0.0031652385,0.0025771386,-0.0010389714,-0.0005436446,-0.00013856965,4.1290405e-06,1.2246629e-05,-8.471902e-06,3.4225386e-06,6.101939e-07
C00006,6.1824965,11.106885,-3.9435115,-1.3738749,-0.90138257,-0.0030976734,-0.28767294,0.067496344,0.044912122,0.019193547,0.0016325826,-0.0027527348,0.00052339624,-0.00030138472,-0.00012898548,-2.4630048e-05,1.25993365e-05,-1.5478197e-05,2.8568325e-06,3.3104092e-07
C00007,15.356708,4.0424523,-4.067003,2.240988,-0.18517888,-0.6989498,0.2130012,0.01679394,-0.054346908,-0.016854962,0.0008483885,0.0024977205,-0.0009265616,-0.00011334843,0.00011220746,-5.188795e-05,1.2411083e-05,-1.5463044e-06,-3.9903707e-06,8.0344086e-07
C00008,0.8609807,12.223648,-1.6973059,-2.4585536,-0.27489996,0.6391772,-0.11315149,-0.120315075,0.04112171,-0.012969951,0.006617981,0.0022462355,-0.0010907995,2.4260817e-05,0.0001720907,4.8653856e-06,1.2767356e-05,1.4495287e-05,-2.958411e-06,-6.219277e-07
C00009,22.040617,-11.727722,4.348778,-1.7153778,-0.138943,0.3342849,-0.26744178,0.16883989,-0.07815979,-0.020255823,0.008809277,4.9037266e-05,-0.00012967212,-0.00039739627,-0.00018177847,6.824673e-05,1.2128234e-05,1.7507642e-05,-3.7785433e-06,2.361837e-06
