cell,cell_type
R0001,TypeA
R0002,TypeA
R0003,TypeA
R0004,TypeA
R0005,TypeA
R0006,TypeA
R0007,TypeA
R0008,TypeA
R0009,TypeA
R0010,TypeA
R0011,TypeA
R0012,TypeA
R0013,TypeA
R0014,TypeA
R0015,TypeA
R0016,TypeA
R0017,TypeA
R0018,TypeA
R0019,TypeA
R0020,TypeA
R0021,TypeA
R0022,TypeA
R0023,TypeA
R0024,TypeA
R0025,TypeA
R0026,TypeA
R0027,TypeA
R0028,TypeA
R0029,TypeA
R0030,TypeA
R0031,TypeA
R0032,TypeA
R0033,TypeA
R0034,TypeA
R0035,TypeA
R0036,TypeA
R0037,TypeA
R0038,TypeA
R0039,TypeA
R0040,TypeA
R0041,TypeA
R0042,TypeA
R0043,TypeA
R0044,TypeA
R0045,TypeA
R0046,TypeA
R0047,TypeA
R0048,TypeA
R0049,TypeA
R0050,TypeA
R0051,TypeA
R0052,TypeA
R0053,TypeA
R0054,TypeA
R0055,TypeA
R0056,TypeA
R0057,TypeA
R0058,TypeA
R0059,TypeA
R0060,TypeA
R0061,TypeA
R0062,TypeA
R0063,TypeA
R0064,TypeA
R0065,TypeA
R0066,TypeA
R0067,TypeA
R0068,TypeA
R0069,TypeA
R0070,TypeA
R0071,TypeA
R0072,TypeA
R0073,TypeA
R0074,TypeA
R0075,TypeA
R0076,TypeA
R0077,TypeA
R0078,TypeA
R0079,TypeA
R0080,TypeA
R0081,TypeB
R0082,TypeB
R0083,TypeB
R0084,TypeB
R0085,TypeB
R0086,TypeB
R0087,TypeB
R0088,TypeB
R0089,TypeB
R0090,TypeB
R0091,TypeB
R0092,TypeB
R0093,TypeB
R0094,TypeB
R0095,TypeB
R0096,TypeB
R0097,TypeB
R0098,TypeB
R0099,TypeB
R0100,TypeB
R0101,TypeB
R0102,TypeB
R0103,TypeB
R0104,TypeB
R0105,TypeB
R0106,TypeB
R0107,TypeB
R0108,TypeB
R0109,TypeB
R0110,TypeB
R0111,TypeB
R0112,TypeB
R0113,TypeB
R0114,TypeB
R0115,TypeB
R0116,TypeB
R0117,TypeB
R0118,TypeB
R0119,TypeB
R0120,TypeB
R0121,TypeB
R0122,TypeB
R0123,TypeB
R0124,TypeB
R0125,TypeB
R0126,TypeB
R0127,TypeB
R0128,TypeB
R0129,TypeB
R0130,TypeB
R0131,TypeB
R0132,TypeB
R0133,TypeB
R0134,TypeB
R0135,TypeB
R0136,TypeB
R0137,TypeB
R0138,TypeB
R0139,TypeB
R0140,TypeB
R0141,TypeB
R0142,TypeB
R0143,TypeB
R0144,TypeB
R0145,TypeB
R0146,TypeB
R0147,TypeB
R0148,TypeB
R0149,TypeB
R0150,TypeB
R0151,TypeB
R0152,TypeB
R0153,TypeB
R0154,TypeB
R0155,TypeB
R0156,TypeB
R0157,TypeB
R0158,TypeB
R0159,TypeB
R0160,TypeB
R0161,TypeC
R0162,TypeC
R0163,TypeC
R0164,TypeC
R0165,TypeC
R0166,TypeC
R0167,TypeC
R0168,TypeC
R0169,TypeC
R0170,TypeC
R0171,TypeC
R0172,TypeC
R0173,TypeC
R0174,TypeC
R0175,TypeC
R0176,TypeC
R0177,TypeC
R0178,TypeC
R0179,TypeC
R0180,TypeC
R0181,TypeC
R0182,TypeC
R0183,TypeC
R0184,TypeC
R0185,TypeC
R0186,TypeC
R0187,TypeC
R0188,TypeC
R0189,TypeC
R0190,TypeC
R0191,TypeC
R0192,TypeC
R0193,TypeC
R0194,TypeC
R0195,TypeC
R0196,TypeC
R0197,TypeC
R0198,TypeC
R0199,TypeC
R0200,TypeC
R0201,TypeC
R0202,TypeC
R0203,TypeC
R0204,TypeC
R0205,TypeC
R0206,TypeC
R0207,TypeC
R0208,TypeC
R0209,TypeC
R0210,TypeC
R0211,TypeC
R0212,TypeC
R0213,TypeC
R0214,TypeC
R0215,TypeC
R0216,TypeC
R0217,TypeC
R0218,TypeC
R0219,TypeC
R0220,TypeC
R0221,TypeC
R0222,TypeC
R0223,TypeC
R0224,TypeC
R0225,TypeC
R0226,TypeC
R0227,TypeC
R0228,TypeC
R0229,TypeC
R0230,TypeC
R0231,TypeC
R0232,TypeC
R0233,TypeC
R0234,TypeC
R0235,TypeC
R0236,TypeC
R0237,TypeC
R0238,TypeC
R0239,TypeC
R0240,TypeC
