# synthetic, for demo only -- 由 make_example_data.R 生成,不是真实实验数据
gene,gene_class,is_de
G001,true_de,1
G002,true_de,1
G003,true_de,1
G004,true_de,1
G005,true_de,1
G006,true_de,1
G007,true_de,1
G008,true_de,1
G009,true_de,1
G010,true_de,1
G011,true_de,1
G012,true_de,1
G013,true_de,1
G014,true_de,1
G015,true_de,1
G016,true_de,1
G017,true_de,1
G018,true_de,1
G019,true_de,1
G020,true_de,1
G021,true_de,1
G022,true_de,1
G023,true_de,1
G024,true_de,1
G025,true_de,1
G026,true_de,1
G027,true_de,1
G028,true_de,1
G029,true_de,1
G030,true_de,1
G031,donor_driven_null,0
G032,donor_driven_null,0
G033,donor_driven_null,0
G034,donor_driven_null,0
G035,donor_driven_null,0
G036,donor_driven_null,0
G037,donor_driven_null,0
G038,donor_driven_null,0
G039,donor_driven_null,0
G040,donor_driven_null,0
G041,donor_driven_null,0
G042,donor_driven_null,0
G043,donor_driven_null,0
G044,donor_driven_null,0
G045,donor_driven_null,0
G046,donor_driven_null,0
G047,donor_driven_null,0
G048,donor_driven_null,0
G049,donor_driven_null,0
G050,donor_driven_null,0
G051,donor_driven_null,0
G052,donor_driven_null,0
G053,donor_driven_null,0
G054,donor_driven_null,0
G055,donor_driven_null,0
G056,donor_driven_null,0
G057,donor_driven_null,0
G058,donor_driven_null,0
G059,donor_driven_null,0
G060,donor_driven_null,0
G061,plain_null,0
G062,plain_null,0
G063,plain_null,0
G064,plain_null,0
G065,plain_null,0
G066,plain_null,0
G067,plain_null,0
G068,plain_null,0
G069,plain_null,0
G070,plain_null,0
G071,plain_null,0
G072,plain_null,0
G073,plain_null,0
G074,plain_null,0
G075,plain_null,0
G076,plain_null,0
G077,plain_null,0
G078,plain_null,0
G079,plain_null,0
G080,plain_null,0
G081,plain_null,0
G082,plain_null,0
G083,plain_null,0
G084,plain_null,0
G085,plain_null,0
G086,plain_null,0
G087,plain_null,0
G088,plain_null,0
G089,plain_null,0
G090,plain_null,0
G091,plain_null,0
G092,plain_null,0
G093,plain_null,0
G094,plain_null,0
G095,plain_null,0
G096,plain_null,0
G097,plain_null,0
G098,plain_null,0
G099,plain_null,0
G100,plain_null,0
G101,plain_null,0
G102,plain_null,0
G103,plain_null,0
G104,plain_null,0
G105,plain_null,0
G106,plain_null,0
G107,plain_null,0
G108,plain_null,0
G109,plain_null,0
G110,plain_null,0
G111,plain_null,0
G112,plain_null,0
G113,plain_null,0
G114,plain_null,0
G115,plain_null,0
G116,plain_null,0
G117,plain_null,0
G118,plain_null,0
G119,plain_null,0
G120,plain_null,0
G121,plain_null,0
G122,plain_null,0
G123,plain_null,0
G124,plain_null,0
G125,plain_null,0
G126,plain_null,0
G127,plain_null,0
G128,plain_null,0
G129,plain_null,0
G130,plain_null,0
G131,plain_null,0
G132,plain_null,0
G133,plain_null,0
G134,plain_null,0
G135,plain_null,0
G136,plain_null,0
G137,plain_null,0
G138,plain_null,0
G139,plain_null,0
G140,plain_null,0
G141,plain_null,0
G142,plain_null,0
G143,plain_null,0
G144,plain_null,0
G145,plain_null,0
G146,plain_null,0
G147,plain_null,0
G148,plain_null,0
G149,plain_null,0
G150,plain_null,0
