,TF00,TF01,TF02,TF03,TF04,TF05,TF06,TF07,TF08,TF09,TF10,TF11,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079,GENE080,GENE081,GENE082,GENE083,GENE084,GENE085,GENE086,GENE087,GENE088,GENE089,GENE090,GENE091,GENE092,GENE093,GENE094,GENE095,GENE096,GENE097,GENE098,GENE099,GENE100,GENE101,GENE102,GENE103,GENE104,GENE105,GENE106,GENE107
CELL0000,2,1,4,13,1,1,2,4,4,6,2,3,3,3,4,7,0,8,1,3,2,8,7,1,2,4,8,4,1,4,3,15,1,2,1,5,2,4,1,2,7,3,5,7,2,13,1,7,4,3,9,2,91,3,0,0,12,4,5,11,2,5,3,3,8,2,2,2,7,0,1,2,4,3,2,1,8,5,1,3,1,2,0,4,0,1,6,5,11,12,2,12,4,2,2,1,9,2,1,2,3,9,27,8,4,3,1,5,3,3,1,7,7,12,8,1,3,2,3,3
CELL0001,3,0,7,5,0,3,10,16,14,6,27,21,0,1,4,4,4,6,0,6,3,4,4,6,8,5,1,10,0,5,2,5,0,5,3,4,7,6,16,5,6,5,2,6,8,23,2,4,1,5,138,6,2,10,0,6,157,4,6,2,2,11,7,17,9,7,13,5,0,8,5,0,2,6,5,0,36,0,11,2,2,9,0,2,1,1,12,6,7,4,2,2,135,2,0,0,4,2,3,6,9,638,2,5,1,10,0,3,7,5,2,5,7,21,20,2,1,1,0,4
CELL0002,9,0,9,2,8,3,3,8,2,1,21,2,3,1,2,8,0,10,9,4,1,6,6,10,8,5,0,1,0,10,1,1,5,3,0,6,1,5,8,4,1,8,8,3,0,12,10,7,1,7,33,7,11,7,6,0,12,1,5,2,6,3,21,4,3,0,6,0,6,3,2,1,2,4,0,10,8,0,4,6,1,6,2,0,2,5,0,3,2,10,4,7,17,9,1,3,10,0,5,5,7,15,11,19,0,6,4,1,4,2,1,9,16,10,8,4,0,8,16,3
CELL0003,0,10,1,3,0,1,3,1,4,5,6,4,2,1,2,0,0,7,4,2,4,5,9,5,2,6,1,1,0,0,2,2,3,4,0,2,4,3,4,1,2,1,3,3,2,5,8,1,2,1,96,3,6,2,2,2,94,3,1,2,0,0,13,4,4,4,4,5,2,3,3,0,0,6,1,4,4,0,10,1,1,2,2,2,4,1,4,2,0,0,2,3,37,2,4,0,5,5,0,1,0,379,1,3,5,0,1,6,5,1,2,7,13,13,8,0,1,2,0,2
CELL0004,0,2,8,20,2,1,2,3,3,13,5,2,1,2,1,2,3,4,2,2,5,12,1,2,1,8,1,7,0,4,2,6,1,3,7,5,2,1,28,2,1,2,1,5,14,2,1,3,1,5,49,7,0,1,1,20,32,2,11,3,1,2,3,11,8,2,17,4,3,1,6,1,0,5,7,4,85,0,13,3,2,3,2,1,1,1,4,3,1,3,6,1,16,0,2,0,1,8,2,5,2,152,1,1,2,4,1,0,5,7,5,8,23,3,0,1,1,3,1,3
CELL0005,1,0,13,6,0,1,1,1,1,4,7,5,0,1,1,4,1,5,2,1,4,11,8,5,2,3,5,3,1,4,1,8,2,2,1,2,0,1,6,2,0,3,0,2,2,4,1,0,1,4,6,1,8,1,0,2,2,1,9,0,0,3,0,10,1,1,3,3,1,0,0,1,2,2,10,3,24,0,3,2,3,2,8,3,0,6,3,2,2,4,0,3,10,0,0,0,2,4,1,1,8,8,4,9,0,1,2,3,0,1,9,3,17,9,1,0,5,4,4,1
CELL0006,3,0,2,1,2,0,4,5,0,1,2,2,0,1,1,0,0,2,1,0,0,1,0,3,0,1,1,0,1,1,1,1,0,2,1,1,1,2,0,2,0,4,0,2,0,5,4,3,1,3,3,2,1,1,0,0,2,1,0,2,1,0,2,0,2,0,1,0,1,2,0,2,1,5,3,3,0,1,4,2,0,1,2,1,0,0,1,0,0,2,1,2,1,4,0,6,1,0,0,2,1,1,1,6,1,0,0,3,1,3,5,2,7,0,0,1,1,4,3,0
CELL0007,2,0,17,6,2,4,0,4,6,1,14,0,0,0,2,2,42,3,2,0,2,1,3,1,0,1,1,1,1,0,5,12,2,0,1,3,259,0,110,1,0,4,0,5,10,5,7,3,1,1,18,11,0,3,1,1,2,1,3,0,0,1,1,19,1,1,5,3,0,2,7,1,0,1,76,1,97,0,13,1,3,2,0,0,3,1,6,5,8,2,0,1,237,0,0,0,3,2,1,2,2,302,1,1,1,2,0,3,0,176,1,3,21,7,3,0,3,6,0,2
CELL0008,1,1,0,1,2,1,4,7,0,0,1,9,2,2,4,3,0,3,3,9,1,11,3,9,1,2,1,0,0,5,1,1,1,3,0,8,0,4,16,2,1,1,1,2,0,29,56,6,1,1,13,3,3,7,10,0,2,0,5,8,1,0,356,0,2,5,0,1,1,3,0,9,0,66,1,5,0,1,0,2,1,2,4,0,4,1,0,1,2,36,2,16,0,3,0,2,5,6,3,2,3,0,14,32,1,4,2,4,1,2,4,18,10,5,0,27,0,3,11,7
CELL0009,2,3,27,5,0,5,2,6,6,1,11,4,1,0,3,4,3,4,1,1,4,1,10,2,4,3,2,3,0,4,4,14,2,2,1,3,18,2,12,2,0,2,3,4,6,3,8,2,4,1,63,2,1,2,0,4,25,4,3,0,0,16,4,1,4,5,9,3,0,8,4,0,0,3,12,3,21,0,17,3,0,3,0,2,1,0,6,2,4,0,2,1,77,2,1,0,2,2,1,4,1,334,1,1,0,1,0,3,3,19,4,2,8,1,5,0,4,1,0,0
