tf,target,weight
TF00,GENE007,0.5584
TF00,GENE034,-0.5897
TF00,GENE054,-0.8875
TF00,GENE058,-1.1498
TF00,GENE068,-1.0741
TF00,GENE071,0.6115
TF00,GENE106,0.9268
TF01,GENE000,0.8364
TF01,GENE034,-0.9027
TF01,GENE047,1.0589
TF01,GENE056,0.9733
TF01,GENE065,0.8821
TF01,GENE080,-0.8994
TF01,GENE100,-1.0076
TF02,GENE034,-0.8175
TF02,GENE042,-0.5849
TF02,GENE050,-1.0248
TF02,GENE051,0.5638
TF02,GENE064,1.1187
TF02,GENE089,1.0348
TF03,GENE019,0.6442
TF03,GENE083,-1.0756
TF03,GENE094,-1.0011
TF03,GENE097,1.1079
TF03,GENE103,-0.6732
TF04,GENE038,-0.7271
TF04,GENE050,-0.5645
TF04,GENE060,0.652
TF04,GENE065,1.042
TF04,GENE089,-0.8087
TF05,GENE016,0.9854
TF05,GENE026,-1.149
TF05,GENE033,-0.7788
TF05,GENE047,-0.8847
TF05,GENE082,0.5504
TF05,GENE083,1.053
TF05,GENE099,-0.6829
TF05,GENE103,-0.7677
TF06,GENE004,-0.9303
TF06,GENE024,-1.0734
TF06,GENE026,-0.8188
TF06,GENE028,1.0224
TF06,GENE048,1.1373
TF06,GENE062,-1.0866
TF06,GENE081,1.1258
TF07,GENE040,-0.9887
TF07,GENE044,-0.9879
TF07,GENE060,-0.6932
TF07,GENE073,0.7722
TF07,GENE082,-0.863
TF07,GENE097,1.0019
TF07,GENE102,-0.9643
TF07,GENE106,0.7846
TF08,GENE049,0.9839
TF08,GENE061,-0.7158
TF08,GENE066,1.1122
TF08,GENE074,1.1458
TF08,GENE077,-1.0677
TF08,GENE091,-1.0389
TF09,GENE004,1.0039
TF09,GENE014,-0.6418
TF09,GENE032,0.6735
TF09,GENE040,-1.1261
TF09,GENE043,1.0023
TF09,GENE079,-0.779
TF09,GENE083,-0.8122
TF09,GENE090,-0.909
TF10,GENE024,0.787
TF10,GENE059,-0.7125
TF10,GENE068,-0.7631
TF10,GENE080,0.8269
TF11,GENE040,-0.8468
TF11,GENE044,1.1101
TF11,GENE053,0.6631
TF11,GENE061,0.8482
TF11,GENE073,-0.8945
TF11,GENE106,-0.6006
