,Epithelial_prog00,Epithelial_prog01,Epithelial_prog02,Epithelial_prog03,Epithelial_prog04,Epithelial_prog05,Epithelial_prog06,Epithelial_prog07,Epithelial_prog08,Epithelial_prog09,Fibroblast_prog00,Fibroblast_prog01,Fibroblast_prog02,Fibroblast_prog03,Fibroblast_prog04,Fibroblast_prog05,Fibroblast_prog06,Fibroblast_prog07,Fibroblast_prog08,Fibroblast_prog09,Myeloid_prog00,Myeloid_prog01,Myeloid_prog02,Myeloid_prog03,Myeloid_prog04,Myeloid_prog05,Myeloid_prog06,Myeloid_prog07,Myeloid_prog08,Myeloid_prog09,Tcell_prog00,Tcell_prog01,Tcell_prog02,Tcell_prog03,Tcell_prog04,Tcell_prog05,Tcell_prog06,Tcell_prog07,Tcell_prog08,Tcell_prog09,NicheResp00,NicheResp01,NicheResp02,NicheResp03,NicheResp04,NicheResp05,NicheResp06,NicheResp07,NicheResp08,NicheResp09,NicheResp10,NicheResp11,NicheResp12,NicheResp13,NicheResp14,NicheResp15,NicheResp16,NicheResp17,NicheResp18,NicheResp19
RF0000,3,1,1,0,2,3,1,2,0,1,1,1,1,1,1,4,1,1,0,3,3,2,1,3,1,1,0,1,3,2,6,10,10,3,12,11,15,5,10,8,5,1,3,1,0,1,1,1,2,2,1,0,1,0,4,1,2,2,2,3
RF0001,0,1,1,2,4,4,2,1,4,0,1,3,2,0,0,2,1,1,1,0,2,0,2,0,1,1,2,0,2,2,6,8,4,8,6,10,8,12,9,3,1,0,2,0,5,1,1,1,0,1,0,2,1,0,1,1,0,1,2,1
RF0002,11,14,6,4,9,13,3,13,7,9,1,2,3,1,2,1,4,1,1,2,1,0,1,1,0,2,3,1,2,1,2,1,2,0,1,0,1,0,3,2,1,0,4,3,4,1,4,4,1,1,2,4,2,1,0,2,2,1,2,1
RF0003,2,2,0,1,1,1,1,1,3,1,10,6,14,12,12,11,9,5,11,11,1,5,3,2,1,3,1,1,0,2,1,2,0,2,3,1,1,0,3,2,2,1,2,0,3,2,1,3,0,1,0,4,1,2,3,0,1,3,3,0
RF0004,10,14,12,6,7,11,7,8,13,7,0,2,1,3,1,0,2,1,4,1,2,1,2,0,2,3,0,1,1,1,1,1,1,2,3,0,4,2,0,0,3,2,0,1,2,1,0,1,0,3,2,2,4,1,1,1,0,2,0,3
RF0005,1,1,0,0,3,1,3,0,1,3,4,1,0,2,2,1,1,3,3,2,1,0,0,2,0,2,1,1,0,0,6,5,5,8,18,3,5,15,9,3,2,1,1,0,2,2,0,1,0,3,1,1,1,0,2,0,3,1,1,1
RF0006,14,13,9,6,9,8,12,7,5,8,2,4,4,1,1,0,2,3,1,1,1,1,1,1,1,0,0,3,1,3,0,1,3,3,0,0,1,0,2,0,2,2,1,1,0,2,1,1,3,3,2,1,3,1,0,0,2,1,1,0
RF0007,2,1,0,2,2,0,1,0,1,1,10,7,10,5,5,8,12,6,30,11,1,1,2,1,2,1,4,0,1,1,0,0,0,0,2,2,0,1,1,1,1,2,1,0,2,2,0,2,0,0,2,1,1,1,0,1,3,2,0,2
RF0008,2,4,2,0,1,4,3,0,3,2,3,0,1,0,2,1,1,4,0,0,1,0,0,2,0,0,1,1,0,1,8,4,7,9,9,4,12,6,4,9,2,2,1,3,0,4,0,2,1,0,0,1,1,0,1,1,2,2,1,2
RF0009,0,2,1,0,2,1,2,2,1,1,4,12,8,9,9,9,9,9,11,7,1,1,1,2,0,0,2,1,1,1,2,2,0,0,6,0,2,0,0,3,3,1,0,2,0,1,2,2,2,1,1,1,0,1,2,2,1,0,2,0
RF0010,0,1,2,3,4,1,0,1,2,3,7,11,11,13,8,7,9,9,6,21,1,2,2,1,1,0,2,1,1,1,0,3,0,1,3,0,2,1,0,1,2,1,1,1,3,0,0,0,3,1,3,0,2,0,2,1,1,0,0,1
RF0011,3,2,0,1,4,2,2,1,2,0,0,2,2,1,1,1,2,3,2,1,15,9,19,7,19,3,5,11,10,9,2,2,1,0,4,4,0,0,0,3,3,1,0,1,2,5,2,1,1,1,1,0,2,0,2,0,1,2,1,1
RF0012,2,1,0,1,2,0,1,2,3,1,13,5,11,12,6,8,9,12,15,16,1,0,0,2,1,1,4,1,1,1,3,1,0,1,1,3,2,0,0,4,2,1,0,3,1,0,2,3,3,1,0,0,3,2,1,2,2,0,3,2
RF0013,0,1,4,1,3,2,2,2,1,3,17,10,11,11,6,12,9,4,8,15,0,2,1,3,1,0,4,0,2,3,0,1,2,1,1,0,1,1,6,2,0,1,1,0,1,2,0,3,3,1,2,1,1,2,3,1,2,3,0,1
RF0014,2,6,1,2,2,0,3,1,4,0,5,2,4,4,1,2,2,2,1,1,3,0,0,1,2,2,2,2,2,0,14,12,9,5,13,10,12,13,2,7,4,1,2,1,0,1,2,2,0,2,0,1,1,0,3,0,0,2,0,1
RF0015,3,2,1,0,1,2,2,1,1,0,11,8,7,13,3,11,9,10,12,14,1,0,1,0,1,0,1,1,2,2,2,1,1,1,1,0,1,0,1,3,1,0,0,1,0,0,0,2,3,1,3,2,3,0,2,2,0,2,1,3
RF0016,1,0,0,2,4,1,1,0,0,1,1,4,2,2,1,3,2,1,1,2,1,1,3,2,4,2,3,0,0,5,2,6,11,6,7,6,11,11,8,19,2,1,1,2,1,1,0,1,3,0,0,2,1,2,0,3,2,1,2,0
RF0017,4,0,0,2,1,2,0,1,2,2,1,2,3,2,1,1,3,2,1,0,15,11,4,7,6,13,6,19,19,15,1,0,1,1,2,1,0,2,1,1,2,0,1,4,0,1,3,2,3,0,2,0,5,1,3,3,4,2,0,0
RF0018,1,3,0,0,1,1,0,0,0,0,1,4,3,2,0,3,1,2,2,2,7,5,11,10,8,10,14,14,8,8,1,1,2,4,1,2,0,1,2,0,1,0,2,0,0,1,3,2,2,1,0,2,1,0,2,1,0,2,1,1
RF0019,12,5,11,10,12,5,7,16,10,9,0,0,1,3,3,2,1,2,2,1,4,1,2,1,0,1,1,0,2,2,2,1,2,2,0,0,1,0,0,1,0,2,0,0,2,0,2,1,1,0,1,0,1,2,0,1,1,1,0,0
RF0020,9,14,6,11,11,7,12,18,13,10,4,1,0,0,2,4,1,2,0,3,1,1,4,0,0,0,2,3,1,1,0,2,1,1,1,1,2,4,0,2,0,1,1,0,1,0,0,3,1,2,1,2,0,1,1,1,2,1,0,2
RF0021,1,1,0,1,2,4,2,1,1,0,11,11,10,11,9,8,9,7,14,8,1,1,2,2,2,0,0,1,0,3,1,1,1,3,0,0,1,1,0,2,3,2,1,2,1,1,1,0,3,1,2,1,1,1,1,2,0,3,0,2
RF0022,3,1,0,1,1,1,2,2,4,2,2,1,1,0,1,0,2,1,3,3,10,4,12,8,6,9,9,11,11,10,0,2,2,1,1,0,1,0,2,0,2,2,1,0,0,2,2,1,2,1,2,8,1,2,1,0,0,2,0,2
RF0023,1,0,4,2,1,3,0,2,1,1,16,13,11,21,7,7,7,4,9,10,0,3,2,3,1,1,2,0,1,2,2,0,1,0,3,0,0,0,3,2,1,2,2,2,3,2,5,2,2,0,3,1,2,1,1,2,1,2,1,1
RF0024,4,1,0,0,7,4,2,1,2,3,5,14,10,13,4,7,10,7,9,4,2,5,5,0,0,1,0,0,1,1,2,2,1,1,2,0,0,0,2,1,1,1,0,2,0,1,1,1,0,3,1,2,2,1,0,1,1,3,1,3
RF0025,11,15,4,8,5,11,2,7,10,7,1,0,2,2,1,2,2,1,1,2,4,1,0,1,0,2,2,0,2,2,1,1,1,0,2,0,2,0,0,1,2,1,2,0,2,2,2,2,1,2,2,1,1,2,1,0,0,3,3,5
RF0026,10,2,9,9,18,9,2,6,10,9,3,2,0,3,3,0,2,1,1,0,0,1,3,1,4,0,3,1,3,1,1,1,4,1,0,3,4,2,1,4,1,1,2,1,1,2,2,3,0,1,0,4,1,1,1,1,2,2,1,1
RF0027,3,1,1,0,2,2,2,2,0,3,2,1,3,1,0,1,2,2,1,3,1,1,0,2,1,0,0,1,1,3,9,3,13,10,13,9,8,17,10,8,0,1,0,0,1,1,4,0,1,2,2,0,2,1,5,0,1,3,2,1
RF0028,2,2,2,2,2,1,2,0,1,1,11,11,6,10,9,8,13,16,5,11,1,2,2,1,0,1,1,0,1,6,0,1,2,2,1,1,0,5,3,0,1,3,1,0,3,1,0,0,0,0,0,1,2,2,0,3,1,1,1,0
RF0029,13,15,8,11,12,12,5,8,6,19,0,2,0,3,0,1,2,4,4,0,1,2,2,0,1,0,3,0,0,5,2,1,3,1,1,4,1,5,0,0,3,1,0,0,1,0,0,0,3,0,1,4,0,1,2,1,2,1,2,4
RF0030,11,9,8,11,9,8,8,15,14,6,1,1,1,1,2,0,1,0,1,2,2,0,2,2,1,0,1,2,2,2,0,1,1,1,0,1,0,0,2,1,0,1,3,0,0,1,1,0,0,2,2,0,2,1,3,2,3,3,3,0
RF0031,2,2,0,0,2,3,2,1,2,1,1,2,1,3,0,2,4,2,0,0,12,8,9,7,9,4,9,16,8,14,1,2,1,2,0,1,0,1,3,0,3,0,4,1,2,1,0,2,3,2,1,1,3,2,3,2,1,1,2,0
