,Epithelial_prog00,Epithelial_prog01,Epithelial_prog02,Epithelial_prog03,Epithelial_prog04,Epithelial_prog05,Epithelial_prog06,Epithelial_prog07,Epithelial_prog08,Epithelial_prog09,Fibroblast_prog00,Fibroblast_prog01,Fibroblast_prog02,Fibroblast_prog03,Fibroblast_prog04,Fibroblast_prog05,Fibroblast_prog06,Fibroblast_prog07,Fibroblast_prog08,Fibroblast_prog09,Myeloid_prog00,Myeloid_prog01,Myeloid_prog02,Myeloid_prog03,Myeloid_prog04,Myeloid_prog05,Myeloid_prog06,Myeloid_prog07,Myeloid_prog08,Myeloid_prog09,Tcell_prog00,Tcell_prog01,Tcell_prog02,Tcell_prog03,Tcell_prog04,Tcell_prog05,Tcell_prog06,Tcell_prog07,Tcell_prog08,Tcell_prog09,NicheResp00,NicheResp01,NicheResp02,NicheResp03,NicheResp04,NicheResp05,NicheResp06,NicheResp07,NicheResp08,NicheResp09,NicheResp10,NicheResp11,NicheResp12,NicheResp13,NicheResp14,NicheResp15,NicheResp16,NicheResp17,NicheResp18,NicheResp19
SP0000,0,1,2,4,0,1,1,0,1,3,2,1,4,0,2,1,0,0,2,0,14,15,14,5,12,5,8,6,2,13,1,2,1,0,2,2,1,1,0,3,1,1,0,2,2,1,3,2,1,1,1,1,0,2,4,2,2,6,2,2
SP0001,0,1,1,2,1,2,1,2,0,1,8,7,10,14,7,7,9,9,7,6,1,2,0,3,3,2,1,1,1,4,1,4,1,3,0,1,2,1,0,0,2,1,0,2,1,1,2,2,4,4,0,1,1,0,0,3,0,2,2,2
SP0002,1,1,1,0,1,3,0,2,1,4,6,7,15,13,11,5,10,18,8,10,2,1,1,1,3,1,1,0,1,0,1,1,2,0,0,2,1,2,1,0,1,1,2,0,0,0,2,2,0,2,2,2,1,1,1,1,1,2,0,1
SP0003,5,0,2,2,3,4,0,2,3,0,0,2,2,1,0,1,1,3,0,1,2,1,0,0,2,0,1,3,3,1,11,7,14,7,6,7,10,8,3,12,4,2,4,3,1,6,0,1,3,2,1,1,1,3,1,3,1,1,3,0
SP0004,1,1,2,2,1,1,2,0,1,1,0,1,1,2,2,1,4,1,0,0,5,12,13,7,6,10,20,7,11,8,0,2,1,2,3,1,4,3,1,1,2,0,2,0,3,0,0,2,1,2,1,0,3,1,2,3,4,4,1,1
SP0005,14,8,7,7,10,1,8,8,6,12,0,2,3,0,1,3,4,0,1,2,0,3,1,1,1,1,1,1,3,0,1,2,1,2,2,1,4,3,2,5,0,2,2,1,0,2,1,0,1,0,3,1,3,1,0,2,1,2,0,0
SP0006,1,1,1,3,0,3,4,3,1,1,1,0,0,0,0,6,1,1,1,1,3,4,2,1,0,2,4,0,2,1,10,12,2,9,11,15,5,9,15,13,1,1,2,1,1,2,2,3,3,3,2,2,0,4,0,2,5,3,1,1
SP0007,7,5,11,9,8,9,10,15,9,7,1,0,1,2,1,2,2,0,2,1,1,1,1,3,3,4,0,0,2,1,1,1,0,3,1,0,3,1,1,0,3,3,1,2,0,2,0,1,1,3,2,0,0,1,3,1,0,1,3,4
SP0008,1,1,3,4,3,1,1,6,1,1,12,8,11,7,7,10,9,8,6,8,1,1,3,2,2,0,2,1,0,2,1,3,0,2,1,1,1,1,1,4,1,1,0,0,3,3,3,2,3,4,0,3,1,0,1,2,0,0,3,1
SP0009,1,0,0,1,2,0,1,0,0,1,0,0,1,0,1,2,0,1,1,0,2,0,4,0,0,3,2,0,1,1,4,11,10,12,12,13,6,9,11,11,1,3,0,1,1,0,0,1,2,0,1,2,6,5,4,2,1,3,1,2
