# synthetic, for demo only -- NOT real scATAC data
,cell_type,batch
Cell0000,CT3,B1
Cell0001,CT2,B1
Cell0002,CT2,B1
Cell0003,CT1,B1
Cell0004,CT1,B0
Cell0005,CT0,B0
Cell0006,CT0,B0
Cell0007,CT0,B1
Cell0008,CT0,B1
Cell0009,CT3,B1
Cell0010,CT2,B0
Cell0011,CT3,B1
Cell0012,CT2,B1
Cell0013,CT2,B1
Cell0014,CT3,B0
Cell0015,CT2,B1
Cell0016,CT2,B1
Cell0017,CT2,B1
Cell0018,CT2,B0
Cell0019,CT3,B0
Cell0020,CT1,B1
Cell0021,CT3,B0
Cell0022,CT2,B0
Cell0023,CT0,B0
Cell0024,CT1,B1
Cell0025,CT3,B1
Cell0026,CT2,B1
Cell0027,CT0,B0
Cell0028,CT3,B1
Cell0029,CT2,B1
Cell0030,CT3,B1
Cell0031,CT0,B0
Cell0032,CT0,B0
Cell0033,CT3,B1
Cell0034,CT0,B0
Cell0035,CT2,B0
Cell0036,CT0,B1
Cell0037,CT1,B0
Cell0038,CT1,B1
Cell0039,CT1,B1
Cell0040,CT1,B0
Cell0041,CT0,B1
Cell0042,CT0,B0
Cell0043,CT0,B0
Cell0044,CT0,B1
Cell0045,CT2,B1
Cell0046,CT2,B1
Cell0047,CT2,B0
Cell0048,CT1,B0
Cell0049,CT2,B1
Cell0050,CT3,B0
Cell0051,CT1,B0
Cell0052,CT1,B1
Cell0053,CT3,B0
Cell0054,CT3,B1
Cell0055,CT3,B1
Cell0056,CT1,B0
Cell0057,CT2,B0
Cell0058,CT3,B1
Cell0059,CT2,B0
Cell0060,CT3,B1
Cell0061,CT2,B1
Cell0062,CT2,B0
Cell0063,CT1,B0
Cell0064,CT3,B0
Cell0065,CT0,B1
Cell0066,CT2,B1
Cell0067,CT2,B0
Cell0068,CT3,B1
Cell0069,CT2,B0
Cell0070,CT1,B1
Cell0071,CT1,B1
Cell0072,CT1,B0
Cell0073,CT1,B1
Cell0074,CT2,B0
Cell0075,CT3,B1
Cell0076,CT0,B1
Cell0077,CT3,B0
Cell0078,CT2,B1
Cell0079,CT1,B1
Cell0080,CT2,B0
Cell0081,CT2,B0
Cell0082,CT1,B0
Cell0083,CT1,B1
Cell0084,CT2,B0
Cell0085,CT2,B1
Cell0086,CT2,B1
Cell0087,CT1,B1
Cell0088,CT3,B1
Cell0089,CT1,B1
Cell0090,CT1,B0
Cell0091,CT3,B0
Cell0092,CT1,B1
Cell0093,CT0,B0
Cell0094,CT2,B0
Cell0095,CT2,B1
Cell0096,CT0,B1
Cell0097,CT0,B0
Cell0098,CT1,B1
Cell0099,CT3,B1
Cell0100,CT1,B1
Cell0101,CT3,B1
Cell0102,CT1,B0
Cell0103,CT0,B0
Cell0104,CT3,B0
Cell0105,CT3,B1
Cell0106,CT0,B1
Cell0107,CT0,B1
Cell0108,CT2,B1
Cell0109,CT1,B0
Cell0110,CT2,B0
Cell0111,CT0,B0
Cell0112,CT3,B0
Cell0113,CT1,B1
Cell0114,CT3,B0
Cell0115,CT3,B1
Cell0116,CT2,B0
Cell0117,CT0,B0
Cell0118,CT3,B0
Cell0119,CT0,B0
Cell0120,CT2,B1
Cell0121,CT1,B1
Cell0122,CT3,B0
Cell0123,CT0,B1
Cell0124,CT3,B1
Cell0125,CT0,B0
Cell0126,CT2,B1
Cell0127,CT2,B0
Cell0128,CT3,B0
Cell0129,CT1,B0
Cell0130,CT3,B1
Cell0131,CT2,B0
Cell0132,CT3,B0
Cell0133,CT0,B1
Cell0134,CT3,B0
Cell0135,CT3,B0
Cell0136,CT0,B1
Cell0137,CT1,B1
Cell0138,CT2,B1
Cell0139,CT0,B0
Cell0140,CT2,B1
Cell0141,CT2,B0
Cell0142,CT3,B0
Cell0143,CT3,B0
Cell0144,CT1,B1
Cell0145,CT1,B0
Cell0146,CT1,B1
Cell0147,CT3,B1
Cell0148,CT0,B0
Cell0149,CT1,B1
Cell0150,CT0,B0
Cell0151,CT1,B1
Cell0152,CT3,B0
Cell0153,CT2,B0
Cell0154,CT1,B0
Cell0155,CT3,B0
Cell0156,CT2,B1
Cell0157,CT3,B1
Cell0158,CT0,B1
Cell0159,CT1,B0
Cell0160,CT3,B1
Cell0161,CT3,B0
Cell0162,CT1,B0
Cell0163,CT1,B0
Cell0164,CT1,B0
Cell0165,CT2,B1
Cell0166,CT0,B0
Cell0167,CT3,B0
Cell0168,CT0,B0
Cell0169,CT1,B1
Cell0170,CT1,B0
Cell0171,CT2,B1
Cell0172,CT2,B1
Cell0173,CT2,B0
Cell0174,CT3,B0
Cell0175,CT3,B0
Cell0176,CT0,B1
