# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
cell,cell_type
CELL0000,Bcell
CELL0001,Bcell
CELL0002,NK
CELL0003,CD4T
CELL0004,CD4T
CELL0005,Mono
CELL0006,Mono
CELL0007,Bcell
CELL0008,CD4T
CELL0009,Mono
CELL0010,Bcell
CELL0011,CD8T
CELL0012,Mono
CELL0013,CD4T
CELL0014,CD4T
CELL0015,CD8T
CELL0016,Bcell
CELL0017,Bcell
CELL0018,CD4T
CELL0019,Bcell
CELL0020,CD4T
CELL0021,CD4T
CELL0022,CD4T
CELL0023,CD4T
CELL0024,Mono
CELL0025,CD8T
CELL0026,Mono
CELL0027,CD4T
CELL0028,CD4T
CELL0029,NK
CELL0030,Mono
CELL0031,CD4T
CELL0032,Mono
CELL0033,Bcell
CELL0034,CD4T
CELL0035,CD4T
CELL0036,NK
CELL0037,CD4T
CELL0038,CD8T
CELL0039,Mono
CELL0040,NK
CELL0041,Mono
CELL0042,Bcell
CELL0043,CD8T
CELL0044,Bcell
CELL0045,CD8T
CELL0046,CD4T
CELL0047,Bcell
CELL0048,CD4T
CELL0049,NK
CELL0050,CD8T
CELL0051,CD4T
CELL0052,Bcell
CELL0053,Bcell
CELL0054,CD4T
CELL0055,Bcell
CELL0056,Mono
CELL0057,Mono
CELL0058,Mono
CELL0059,Bcell
CELL0060,CD4T
CELL0061,CD4T
CELL0062,CD4T
CELL0063,CD4T
CELL0064,NK
CELL0065,Mono
CELL0066,Mono
CELL0067,Bcell
CELL0068,CD8T
CELL0069,NK
CELL0070,CD4T
CELL0071,Bcell
CELL0072,NK
CELL0073,CD4T
CELL0074,NK
CELL0075,Bcell
CELL0076,CD8T
CELL0077,CD8T
CELL0078,Mono
CELL0079,CD8T
CELL0080,CD4T
CELL0081,CD4T
CELL0082,Bcell
CELL0083,NK
CELL0084,Mono
CELL0085,CD4T
CELL0086,Bcell
CELL0087,CD4T
CELL0088,Bcell
CELL0089,Mono
CELL0090,CD4T
CELL0091,Bcell
CELL0092,Bcell
CELL0093,Mono
CELL0094,Mono
CELL0095,Bcell
CELL0096,Mono
CELL0097,CD4T
CELL0098,Mono
CELL0099,CD4T
CELL0100,Mono
CELL0101,Bcell
CELL0102,Bcell
CELL0103,Mono
CELL0104,NK
CELL0105,Mono
CELL0106,CD8T
CELL0107,Mono
CELL0108,CD8T
CELL0109,CD4T
CELL0110,NK
CELL0111,Bcell
CELL0112,CD4T
CELL0113,CD4T
CELL0114,CD4T
CELL0115,CD8T
CELL0116,CD8T
CELL0117,Mono
CELL0118,CD8T
CELL0119,Mono
CELL0120,Mono
CELL0121,Mono
CELL0122,CD8T
CELL0123,CD8T
CELL0124,NK
CELL0125,CD4T
CELL0126,CD8T
CELL0127,Mono
CELL0128,CD8T
CELL0129,Bcell
CELL0130,CD4T
CELL0131,CD8T
