# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,CD3,CD4,CD8A,CD19,CD14,CD56,CD16,CD25,CD27,CD45RA,CD127,HLA-DR,PD1,CD38
CELL0000,2011,2110,55,73,109,4160,22,24,294,1,11,93,5,14
CELL0001,4676,758,60,14,74,892,215,69,310,222,4,233,17,7
CELL0002,556,4977,391,764,1384,716,531,19,2057,3292,10,673,6,3
CELL0003,261,1140,2932,1005,1513,142,5,26,488,1073,48,1430,22,15
CELL0004,228,267,4074,1368,1078,28,1,7,648,788,18,3082,7,7
CELL0005,614,361,5010,3553,5100,316,860,7,384,3202,8,828,10,20
CELL0006,904,1792,5005,3244,5015,664,3,13,352,924,10,399,16,8
CELL0007,5094,489,3,0,379,308,332,5,1,274,2,6,30,13
CELL0008,205,592,887,1872,466,14,371,2,225,1006,35,1636,8,10
CELL0009,381,5,5107,3151,3543,186,2,7,1017,1001,21,3747,7,36
CELL0010,2748,528,154,77,213,240,9,17,401,160,4,587,11,5
CELL0011,5,700,11,960,3846,21,4810,37,2035,178,15,513,41,12
CELL0012,332,605,4785,834,5049,441,1504,16,615,306,36,634,50,11
CELL0013,2,936,786,5057,901,1903,329,6,2269,2207,10,872,25,6
CELL0014,259,115,3859,3484,1576,544,316,15,988,1545,11,1821,50,7
CELL0015,398,685,1491,2599,2772,150,4807,34,2372,525,17,147,8,10
CELL0016,5027,1522,258,10,400,2767,1,10,318,59,13,114,9,29
CELL0017,2031,3046,112,56,451,2975,103,13,264,5,25,83,23,27
CELL0018,382,615,1678,2109,508,28,48,22,591,5035,15,875,23,6
CELL0019,1148,1545,209,50,334,1331,9,14,23,2,5,105,2,66
CELL0020,678,236,1127,4835,2568,345,499,15,535,4691,23,530,39,22
CELL0021,631,23,2081,1046,2015,9,269,15,309,1270,20,205,24,5
CELL0022,57,179,3986,653,582,721,218,5,2372,3420,53,2287,11,12
CELL0023,752,360,520,1314,648,6,121,13,1011,1946,28,2073,35,10
CELL0024,571,1628,5057,3456,5131,814,669,7,873,4962,18,765,70,27
CELL0025,700,1347,2790,1983,4454,35,2159,16,1503,520,20,174,29,5
CELL0026,417,1364,5002,3664,2867,566,521,9,2103,1078,27,77,9,10
CELL0027,633,408,1220,1451,2320,39,364,9,138,4423,8,709,15,5
CELL0028,341,2,226,5014,2385,8,538,5,437,1745,23,2305,27,62
CELL0029,283,3124,1770,825,511,4521,482,1,1619,696,8,622,4,2
CELL0030,221,7,5077,4408,4895,345,1013,4,384,1024,13,567,8,10
CELL0031,643,877,1885,2974,1242,25,497,17,749,1692,33,2189,18,30
CELL0032,66,992,3946,3272,3935,788,1124,16,348,1690,21,2552,30,27
CELL0033,2072,2502,82,38,118,506,2,27,1411,0,2,0,7,67
CELL0034,182,1209,1490,4043,643,42,38,4,1856,5047,22,3080,61,8
CELL0035,282,605,1150,608,919,186,165,9,623,3990,44,581,9,14
CELL0036,231,4901,25,499,1122,3935,564,11,1910,1048,7,3365,1,3
CELL0037,359,115,511,2060,778,342,63,5,177,3491,22,274,6,13
CELL0038,668,261,1210,1941,1807,22,989,4,1921,302,28,14,24,12
CELL0039,190,688,4819,3014,1778,629,1153,10,997,481,5,492,20,90
CELL0040,312,4936,20,242,962,1534,447,2,1590,1883,9,2329,8,3
CELL0041,1227,4479,5009,3758,4921,122,667,10,1383,676,11,610,29,6
CELL0042,873,1367,5,350,97,172,10,18,236,103,9,6,19,28
CELL0043,204,1151,475,4997,2404,443,244,10,325,171,24,426,34,11
CELL0044,4290,756,54,1,228,1682,12,11,394,133,9,101,29,47
CELL0045,354,402,3878,1774,2951,1577,623,15,853,1402,17,304,9,14
CELL0046,653,470,4823,2849,885,52,103,12,775,1923,22,402,80,12
CELL0047,1232,1011,1,281,431,1504,176,13,45,286,4,6,21,11
CELL0048,11,1,531,458,3188,2507,100,16,403,4428,12,252,40,27
CELL0049,365,4950,774,1127,455,404,739,16,1210,1321,5,2614,1,6
CELL0050,1026,1567,492,5028,511,2679,1338,4,417,156,47,309,23,41
CELL0051,359,398,949,18,798,3,104,22,136,624,18,898,18,7
CELL0052,4955,4617,77,6,324,313,20,22,83,173,19,209,4,26
CELL0053,4896,5062,683,11,681,1116,4,54,183,94,7,118,16,22
CELL0054,304,108,3446,1180,963,241,65,46,219,5141,17,1606,58,4
CELL0055,782,427,2,42,631,1623,119,34,222,4,6,180,11,13
CELL0056,231,1069,5017,2270,1335,1497,1384,21,387,429,6,1920,18,17
CELL0057,2015,794,5010,1109,847,215,698,8,1177,492,6,607,38,23
CELL0058,1068,627,4146,3077,2105,729,240,32,2988,590,12,208,3,4
CELL0059,5083,2223,344,42,283,1925,15,48,173,1,8,19,13,15
CELL0060,100,761,390,1391,1434,554,569,14,176,5048,8,2668,26,15
CELL0061,65,1473,3121,856,2525,1779,519,7,169,4977,23,2640,19,14
CELL0062,179,160,342,1214,1476,17,604,7,373,3138,33,832,28,8
CELL0063,480,471,460,1015,2069,16,59,18,602,4886,8,1113,15,10
CELL0064,247,4978,10,331,1886,1019,334,5,2343,1452,6,870,9,5
CELL0065,611,457,5033,3047,914,375,315,31,1151,469,28,319,3,24
CELL0066,297,524,5149,1480,3608,479,380,7,289,449,2,214,22,25
CELL0067,1154,2251,3,39,210,1078,1,9,575,2,16,272,8,7
CELL0068,124,23,1848,4987,3394,122,2019,5,1376,497,14,165,24,57
CELL0069,282,4909,54,190,280,1882,2626,10,800,5025,13,1995,11,21
CELL0070,279,610,1829,3049,2684,345,109,29,701,1643,15,692,45,12
CELL0071,2694,940,30,481,149,1143,274,60,196,65,2,7,24,6
CELL0072,741,4929,292,710,1040,986,421,3,3825,3990,5,402,35,15
CELL0073,184,859,861,385,614,216,485,14,344,4956,21,818,32,27
CELL0074,237,4941,559,761,391,2969,357,4,452,1538,17,5006,5,5
CELL0075,4948,3547,39,31,1418,754,6,55,252,152,3,2,34,78
CELL0076,507,1037,1843,2919,3849,68,1409,21,2221,156,13,215,19,8
CELL0077,598,234,1681,2658,2583,53,4288,21,437,534,7,293,19,2
CELL0078,606,968,4939,3098,4928,1829,1836,37,437,3581,9,470,6,24
CELL0079,1930,618,551,812,4120,40,3954,10,1865,202,30,380,23,25
CELL0080,177,417,1154,177,1105,591,242,5,563,1405,67,706,26,1
CELL0081,407,4,4673,660,2547,829,114,25,86,2141,15,1024,33,14
CELL0082,812,3172,115,62,241,370,3,13,186,226,3,19,14,49
CELL0083,652,4624,504,811,944,2352,604,4,1208,1697,12,1044,6,7
CELL0084,659,13,4919,5099,3076,1600,619,7,281,1153,12,695,29,25
CELL0085,107,2664,822,981,972,568,484,4,109,1058,22,483,4,5
CELL0086,242,523,131,14,295,1803,343,15,172,216,19,143,13,36
CELL0087,242,514,3357,2127,1323,2141,464,7,428,2779,17,1279,53,15
CELL0088,3542,515,7,147,329,432,12,22,197,4,15,5,49,21
CELL0089,1366,748,3778,4856,1369,870,1346,4,2565,867,20,1043,6,27
CELL0090,545,363,1607,886,1021,341,90,23,527,2493,21,1140,11,4
CELL0091,979,2353,4,0,413,1714,64,10,3,204,4,8,21,29
CELL0092,2898,451,215,335,445,1862,5,82,133,83,15,705,21,29
CELL0093,464,19,4998,3884,1942,380,661,11,492,392,16,662,16,3
CELL0094,663,153,5039,368,1808,555,235,7,1233,359,8,415,6,14
CELL0095,1330,1729,184,93,200,433,23,35,171,0,10,6,12,6
CELL0096,1986,370,5137,5146,935,518,1039,12,1461,1211,32,521,33,9
CELL0097,116,240,2729,3431,2690,160,141,2,441,1711,55,488,16,13
CELL0098,729,1498,4942,4994,516,383,2048,4,181,572,14,564,21,25
CELL0099,594,281,89,809,540,21,485,18,485,3050,10,2982,39,13
CELL0100,939,1239,4572,3891,5060,797,414,10,826,299,19,1213,35,11
CELL0101,3063,660,5,0,311,972,53,18,289,88,4,1,17,10
CELL0102,1398,1430,1,0,961,5002,5,11,6,5,16,2,19,24
CELL0103,1258,587,5088,1559,4944,121,63,12,431,1693,21,446,11,3
CELL0104,908,4895,11,258,1314,722,264,2,1453,1820,4,4155,15,31
CELL0105,114,385,4885,2810,1259,379,279,10,1844,1275,7,343,15,19
CELL0106,153,682,601,1568,2275,40,1630,15,1347,327,14,236,20,20
CELL0107,651,1056,3475,3992,1079,381,1114,15,1510,508,24,953,29,16
CELL0108,318,541,4808,992,4938,5009,3490,9,1200,75,12,182,14,5
CELL0109,257,1102,1899,1988,1707,491,101,16,1637,3247,10,1052,5,10
CELL0110,1256,4975,622,190,218,1559,412,6,1033,1045,8,316,11,7
CELL0111,1126,638,218,1,147,755,2,45,1066,109,19,292,9,30
CELL0112,420,374,3354,2701,973,6,230,42,298,5068,13,1515,11,19
CELL0113,111,11,1379,2907,1403,8,61,11,289,3493,19,594,20,15
CELL0114,75,493,1048,1899,649,507,231,35,186,2091,8,546,6,7
CELL0115,1079,556,1538,4913,4999,69,3371,8,973,201,13,187,35,4
CELL0116,468,15,1476,2685,4997,88,1532,28,285,225,13,3,27,10
CELL0117,295,661,5064,4187,4922,117,554,8,2263,791,14,891,21,17
CELL0118,521,1049,2665,2500,3014,415,1144,7,942,782,12,111,8,23
CELL0119,1157,692,5037,2527,1823,412,1502,13,690,2123,22,350,10,14
CELL0120,404,446,4939,5150,4154,532,1168,12,1068,500,35,573,24,9
CELL0121,310,1020,4593,2906,2188,309,107,11,2772,296,6,3681,27,15
CELL0122,76,288,1716,1873,2040,91,2200,19,1973,130,25,278,4,7
CELL0123,977,361,1544,754,1694,332,4115,14,819,1020,25,395,5,13
CELL0124,508,4978,4,166,1158,637,229,9,434,1051,14,1614,10,14
CELL0125,347,2587,1051,4993,356,40,3,14,155,3204,11,888,15,4
CELL0126,569,846,1068,3557,2481,102,2066,52,2740,314,24,320,8,19
CELL0127,964,2653,5033,1746,571,372,1744,4,1122,730,26,576,7,13
CELL0128,4207,193,1067,950,3121,2934,2510,19,891,1216,38,606,18,28
CELL0129,4163,474,18,52,114,1893,209,36,57,48,15,199,42,7
CELL0130,672,241,949,4015,795,15,886,19,169,5099,42,2069,17,9
CELL0131,83,334,1969,4831,4886,70,1232,5,557,333,15,105,36,17
CELL0132,264,114,5030,5098,2099,538,214,24,783,357,0,1165,17,7
CELL0133,409,1555,7,26,452,1212,76,62,205,266,4,8,14,5
CELL0134,331,317,3129,2537,1238,184,58,32,320,4485,10,5059,12,14
CELL0135,151,369,2044,798,209,549,45,2,279,5003,11,2085,22,13
CELL0136,135,648,767,1464,1870,578,174,9,243,4259,12,4704,11,9
CELL0137,585,223,4971,3068,1605,293,676,17,1397,1059,9,562,3,38
CELL0138,730,444,450,2319,2674,38,4824,8,658,182,5,579,4,8
CELL0139,318,958,2767,1192,3024,899,2950,13,686,391,11,152,15,13
CELL0140,385,915,4996,1484,2255,339,774,12,162,619,8,473,3,24
CELL0141,4976,769,479,75,164,1498,57,38,231,4,11,7,18,17
CELL0142,112,185,4633,2591,4950,1295,845,11,420,774,10,355,7,29
CELL0143,289,593,2379,1913,500,608,0,9,598,2530,15,4078,17,4
CELL0144,1102,613,4939,5021,767,475,1030,12,271,518,7,421,19,48
CELL0145,5023,756,67,38,213,868,178,15,233,127,1,3,31,6
CELL0146,214,222,1829,3387,4847,28,2264,18,227,351,6,234,37,10
CELL0147,405,105,5015,2949,1796,113,21,15,1556,946,15,2021,14,20
CELL0148,399,1061,1377,2423,1899,49,1878,11,1346,552,12,335,14,4
CELL0149,464,4876,1894,227,164,1437,1529,13,5048,3423,3,4174,5,10
CELL0150,302,777,901,4410,3929,58,1247,40,894,935,24,84,9,26
CELL0151,4,690,798,4266,1241,75,4041,12,4871,204,8,267,4,12
CELL0152,241,1308,590,4906,3907,569,2280,46,1992,572,9,659,18,15
CELL0153,245,767,3616,4852,1165,550,858,27,334,1427,14,643,1,8
CELL0154,4908,1364,2,36,282,2925,7,16,93,5,14,153,13,31
CELL0155,644,160,1977,688,361,13,8,13,365,2600,8,1215,24,16
CELL0156,148,13,2488,1822,1317,12,88,5,208,4962,14,1406,30,13
CELL0157,195,425,1858,2384,4957,108,3563,30,3953,434,15,2,9,22
CELL0158,313,1324,4979,1801,631,647,286,7,397,5044,20,698,11,10
CELL0159,932,5061,804,286,673,858,198,7,3446,3452,17,2434,4,17
CELL0160,653,366,2154,2546,3381,46,1380,39,2069,117,2,362,17,7
CELL0161,3687,2106,231,188,214,1215,3,4,3,143,8,10,29,32
CELL0162,133,596,515,1701,468,42,144,20,278,4393,71,1111,12,1
CELL0163,3,15,959,1999,633,683,160,6,183,1759,5,702,13,7
