# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
CELL0000,7,21,1,1,5,7,0,12,4,0,0,1,11,2,24,2,2,5,1,12,36,14,3,1,2,4,0,0,0,3,13,3,3,1,3,0,0,5,6,5,8,0,8,7,2,3,33,12,4,1,1,1,8,8,24,5,0,0,8,7,20,16,30,8,18,8,11,1,3,12,9,11,4,0,2,0,19,13,2,9
CELL0001,7,12,1,1,4,3,1,13,3,3,0,1,8,1,27,2,1,3,1,8,20,10,2,0,3,3,3,2,0,3,7,1,4,0,2,0,0,4,4,6,16,0,1,5,1,3,20,9,1,0,2,2,14,6,19,9,2,1,10,12,21,17,24,15,14,4,13,3,3,19,5,16,3,2,5,0,20,18,1,10
CELL0002,21,22,1,11,6,17,9,1,17,11,0,4,3,1,2,0,8,2,3,0,0,2,1,5,4,0,19,26,0,41,4,16,2,2,1,5,2,4,4,0,23,15,3,2,1,3,3,11,1,25,23,15,9,2,2,2,1,6,12,3,1,5,1,2,6,0,0,2,14,1,15,17,1,3,3,17,0,10,4,7
CELL0003,3,5,6,4,6,2,0,1,7,4,9,3,13,2,6,0,15,9,1,16,7,0,5,7,3,4,23,6,2,8,1,2,0,2,5,6,1,4,0,1,0,4,3,25,4,7,5,4,0,14,26,1,2,6,2,3,14,2,1,12,5,3,6,5,3,5,14,5,4,4,5,0,6,20,21,2,3,5,3,19
CELL0004,3,2,4,6,3,0,0,1,6,2,2,4,3,1,6,3,14,8,5,5,2,0,6,4,4,0,14,3,0,13,0,1,0,4,0,1,1,1,0,1,3,1,1,15,3,3,2,2,1,9,21,0,2,3,1,1,13,0,1,13,3,1,5,8,4,1,13,2,2,3,2,0,0,9,18,3,2,2,3,13
CELL0005,5,7,12,20,19,2,3,4,10,33,3,12,1,20,7,6,0,9,5,10,5,1,30,11,1,14,11,2,6,5,14,3,9,8,1,1,5,9,10,0,11,2,27,3,0,6,0,7,5,9,2,9,12,20,4,2,20,1,1,5,107,8,13,1,23,28,20,6,8,8,2,66,2,2,12,58,1,5,5,10
CELL0006,6,2,17,11,10,8,0,6,3,15,4,3,2,5,6,2,1,1,3,6,7,4,15,5,3,4,7,3,3,2,7,4,2,3,0,6,2,4,6,0,10,2,8,1,0,7,0,4,0,7,4,13,5,20,1,5,17,1,0,6,72,6,7,3,20,15,15,1,3,9,4,58,1,1,4,48,1,2,5,8
CELL0007,5,7,0,0,8,3,1,5,0,1,0,0,3,2,18,3,1,1,2,8,11,7,0,0,0,1,0,1,1,2,5,1,3,3,3,1,0,3,0,5,3,1,1,4,2,12,16,10,0,3,1,2,5,5,11,3,0,1,5,1,15,6,23,7,9,0,11,0,1,2,1,15,2,1,2,2,14,7,2,2
CELL0008,4,2,3,13,10,0,4,3,5,5,8,9,13,1,8,1,19,7,12,17,3,0,7,6,2,3,31,4,5,9,0,1,1,3,6,3,1,1,1,1,2,2,3,30,4,0,3,4,0,12,23,3,4,9,1,2,16,3,1,10,3,6,6,6,5,2,9,3,3,2,4,0,3,22,17,5,1,1,0,21
CELL0009,4,0,11,10,9,1,0,3,5,16,4,7,1,5,4,2,0,2,2,7,4,2,9,12,1,7,6,2,5,1,4,3,3,2,0,1,0,5,1,0,6,5,16,1,0,2,0,8,1,7,3,10,2,23,0,0,11,0,2,4,62,7,6,1,16,17,10,0,2,0,2,37,2,0,5,31,0,3,1,7
