# synthetic, for demo only -- 5 cell types x 110 cells x 160 genes, seed=572
cell_id,cell_type,G000,G001,G002,G003,G004,G005,G006,G007,G008,G009,G010,G011,G012,G013,G014,G015,G016,G017,G018,G019,G020,G021,G022,G023,G024,G025,G026,G027,G028,G029,G030,G031,G032,G033,G034,G035,G036,G037,G038,G039,G040,G041,G042,G043,G044,G045,G046,G047,G048,G049,G050,G051,G052,G053,G054,G055,G056,G057,G058,G059,G060,G061,G062,G063,G064,G065,G066,G067,G068,G069,G070,G071,G072,G073,G074,G075,G076,G077,G078,G079,G080,G081,G082,G083,G084,G085,G086,G087,G088,G089,G090,G091,G092,G093,G094,G095,G096,G097,G098,G099,G100,G101,G102,G103,G104,G105,G106,G107,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G121,G122,G123,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G135,G136,G137,G138,G139,G140,G141,G142,G143,G144,G145,G146,G147,G148,G149,G150,G151,G152,G153,G154,G155,G156,G157,G158,G159
C0000,Tcell,15,2,7,0,1,7,3,6,9,6,10,0,4,8,4,3,6,3,2,7,8,9,2,4,10,4,3,15,5,1,22,13,2,7,5,4,9,2,4,2,2,3,1,5,9,0,11,6,9,12,10,4,5,2,7,4,3,7,2,1,2,0,6,7,0,1,2,3,5,2,1,6,9,0,3,5,6,5,1,0,0,2,6,3,4,1,8,7,3,4,4,2,0,0,1,3,4,4,1,2,8,2,4,0,0,3,6,0,0,1,0,3,0,3,3,11,6,6,1,1,2,0,9,3,4,1,3,2,2,3,0,3,7,0,4,2,2,9,4,0,2,8,0,2,3,1,5,7,2,2,3,2,1,5,4,0,1,3,5,1
C0001,Tcell,4,2,6,0,2,2,5,2,5,1,4,0,1,2,0,2,2,1,0,0,0,1,1,1,3,0,0,4,2,0,5,2,0,1,4,0,2,1,0,4,0,0,0,1,0,0,0,2,4,0,5,0,0,1,2,1,2,2,1,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,4,2,1,1,2,0,1,0,3,0,0,1,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,1,1,4,0,2,1,0,0,3,0,0,1,0,0,1,1,0,0,4,0,3,0,1,1,0,0,0,2,0,1,1,1,3,1,1,1,0,1,0,1,1,0,0,2,1,2
C0002,Tcell,19,4,8,0,1,10,12,7,23,5,11,2,5,12,11,5,9,2,1,11,19,6,4,8,11,4,10,19,4,2,22,19,1,5,7,3,12,1,2,10,2,6,2,15,4,5,15,4,9,7,19,6,3,5,17,5,4,10,4,2,6,0,7,17,5,5,0,8,4,2,3,9,13,3,5,6,4,4,9,2,2,6,4,1,6,5,13,14,7,5,10,3,1,11,3,5,4,4,4,3,9,5,6,5,1,11,13,4,2,1,1,1,2,1,7,9,11,8,1,5,0,0,9,4,3,3,2,6,1,5,6,5,6,1,8,2,4,7,6,1,1,14,1,7,4,2,9,9,3,3,0,1,4,5,0,1,2,2,5,5
C0003,Tcell,17,3,6,2,3,7,3,2,13,4,10,0,1,8,6,4,6,6,1,8,12,4,2,2,5,2,2,7,3,3,21,11,1,6,5,3,7,7,2,10,0,2,1,7,5,2,7,3,9,12,16,5,0,2,11,0,2,7,6,2,6,0,11,9,1,0,0,1,0,1,2,3,12,3,3,0,2,6,4,2,3,6,5,4,0,3,7,9,5,5,2,3,0,4,8,6,5,2,3,6,9,4,0,2,3,8,11,2,0,0,2,2,3,4,9,4,11,4,2,2,1,1,9,4,1,1,0,2,2,7,2,4,2,0,4,2,3,8,2,0,2,9,2,2,2,3,11,3,0,3,2,3,1,8,2,0,1,4,3,2
C0004,Tcell,18,2,4,0,6,6,3,7,14,4,12,0,2,6,6,2,7,1,2,7,15,1,2,11,10,4,8,17,3,5,12,13,0,2,6,3,5,4,6,9,0,0,1,8,2,0,8,4,9,8,13,5,4,2,7,3,2,13,4,1,4,1,6,10,0,2,0,1,5,0,2,8,12,4,7,4,1,8,4,0,0,9,5,0,3,2,1,6,2,6,4,0,0,7,2,1,2,1,1,2,11,0,4,2,0,5,12,3,2,1,0,1,5,1,4,6,9,7,4,0,0,0,7,2,4,4,2,1,0,2,0,4,8,0,5,1,0,2,1,2,2,6,0,2,4,4,15,5,1,6,0,4,2,4,3,0,1,5,8,0
C0005,Tcell,17,7,8,2,3,24,13,3,20,4,15,2,8,15,10,2,7,3,0,12,10,9,1,7,11,2,10,24,6,1,30,13,2,6,11,1,15,3,6,14,2,13,2,20,7,2,7,1,14,14,27,12,4,4,10,2,13,14,5,3,4,2,7,15,1,1,0,7,6,1,4,7,15,1,7,9,5,10,4,1,5,9,4,5,3,3,16,19,2,4,7,4,1,4,5,2,5,6,4,3,12,1,6,1,5,11,4,5,1,2,0,3,3,3,7,10,4,14,3,4,2,1,13,5,2,9,6,5,2,3,2,7,5,1,8,4,4,11,4,3,4,11,3,2,4,3,10,10,2,7,1,2,3,8,4,0,2,3,11,2
C0006,Tcell,9,2,2,0,3,3,4,3,7,1,5,2,1,5,1,2,5,3,1,0,3,3,1,4,1,3,3,7,1,2,3,1,1,1,3,3,4,1,6,4,2,0,1,6,1,0,1,2,0,5,8,3,1,2,1,2,0,4,0,1,4,0,4,6,1,0,0,1,2,0,0,4,6,0,3,1,1,0,1,0,0,1,1,2,0,1,4,4,2,3,0,0,0,4,0,1,3,0,0,1,3,1,1,0,0,3,7,3,0,1,0,0,4,1,3,7,4,3,1,1,0,0,2,1,0,3,1,0,0,1,2,3,3,0,3,0,1,0,2,0,2,5,0,0,1,2,2,5,0,0,0,2,0,0,0,0,3,0,4,1
C0007,Tcell,15,1,4,2,2,2,3,4,11,3,8,1,1,2,3,0,5,5,1,3,2,1,1,5,1,2,3,4,3,2,11,5,1,3,3,1,5,2,2,0,2,5,0,7,1,4,3,4,5,4,8,4,1,3,2,0,3,1,2,0,3,0,3,2,0,0,0,1,4,0,1,5,2,0,1,1,0,3,2,2,1,5,4,2,1,2,3,2,2,0,4,0,0,3,3,2,5,1,0,0,6,5,2,0,3,2,4,0,0,1,0,2,3,0,2,8,3,3,3,0,2,0,4,2,1,2,4,2,2,3,0,3,1,0,1,0,2,5,4,0,1,7,0,0,0,3,9,6,0,1,2,2,1,6,3,0,2,2,1,1
C0008,Tcell,11,5,5,1,7,7,8,2,10,6,10,1,3,9,6,2,9,2,3,3,5,1,1,9,5,0,3,14,5,1,17,10,8,6,3,0,3,1,5,7,1,7,0,4,5,2,5,7,9,8,15,3,1,3,8,3,7,5,6,1,6,0,7,11,3,1,1,3,1,2,2,5,8,4,1,0,2,1,3,1,2,2,2,0,2,4,10,5,6,3,3,0,0,6,2,2,3,2,2,2,11,1,3,2,0,3,5,0,0,0,1,3,2,1,0,7,3,4,5,2,4,0,6,3,5,6,2,3,1,3,2,5,0,1,7,3,1,6,1,2,2,10,1,2,2,1,9,6,2,4,4,3,0,8,0,0,4,2,2,2
C0009,Tcell,12,3,4,2,7,11,4,6,10,4,9,0,3,6,7,2,5,2,2,3,6,0,1,4,9,2,1,14,1,3,10,6,1,4,4,1,4,1,3,7,2,9,3,6,4,0,6,3,8,8,18,6,2,1,9,3,5,13,4,0,7,1,5,6,2,2,0,3,0,0,3,2,13,5,4,3,4,4,3,1,2,10,6,4,1,2,11,15,3,4,5,1,0,5,2,1,4,5,2,1,9,1,3,0,2,6,8,3,0,0,0,1,3,4,3,3,5,2,1,1,3,1,7,1,1,1,2,4,0,3,1,4,7,3,5,0,1,7,1,2,0,7,0,3,4,2,4,3,1,1,1,5,2,9,1,1,2,1,1,0
