"cell","cell_type"
"cell0001","CellTypeA"
"cell0002","CellTypeA"
"cell0003","CellTypeA"
"cell0004","CellTypeA"
"cell0005","CellTypeA"
"cell0006","CellTypeA"
"cell0007","CellTypeA"
"cell0008","CellTypeA"
"cell0009","CellTypeA"
"cell0010","CellTypeA"
"cell0011","CellTypeA"
"cell0012","CellTypeA"
"cell0013","CellTypeA"
"cell0014","CellTypeA"
"cell0015","CellTypeA"
"cell0016","CellTypeA"
"cell0017","CellTypeA"
"cell0018","CellTypeA"
"cell0019","CellTypeA"
"cell0020","CellTypeA"
"cell0021","CellTypeA"
"cell0022","CellTypeA"
"cell0023","CellTypeA"
"cell0024","CellTypeA"
"cell0025","CellTypeA"
"cell0026","CellTypeA"
"cell0027","CellTypeA"
"cell0028","CellTypeA"
"cell0029","CellTypeA"
"cell0030","CellTypeA"
"cell0031","CellTypeA"
"cell0032","CellTypeA"
"cell0033","CellTypeA"
"cell0034","CellTypeA"
"cell0035","CellTypeA"
"cell0036","CellTypeA"
"cell0037","CellTypeA"
"cell0038","CellTypeA"
"cell0039","CellTypeA"
"cell0040","CellTypeA"
"cell0041","CellTypeA"
"cell0042","CellTypeA"
"cell0043","CellTypeA"
"cell0044","CellTypeA"
"cell0045","CellTypeA"
"cell0046","CellTypeA"
"cell0047","CellTypeA"
"cell0048","CellTypeA"
"cell0049","CellTypeA"
"cell0050","CellTypeA"
"cell0051","CellTypeA"
"cell0052","CellTypeA"
"cell0053","CellTypeA"
"cell0054","CellTypeA"
"cell0055","CellTypeA"
"cell0056","CellTypeA"
"cell0057","CellTypeA"
"cell0058","CellTypeA"
"cell0059","CellTypeA"
"cell0060","CellTypeA"
"cell0061","CellTypeB"
"cell0062","CellTypeB"
"cell0063","CellTypeB"
"cell0064","CellTypeB"
"cell0065","CellTypeB"
"cell0066","CellTypeB"
"cell0067","CellTypeB"
"cell0068","CellTypeB"
"cell0069","CellTypeB"
"cell0070","CellTypeB"
"cell0071","CellTypeB"
"cell0072","CellTypeB"
"cell0073","CellTypeB"
"cell0074","CellTypeB"
"cell0075","CellTypeB"
"cell0076","CellTypeB"
"cell0077","CellTypeB"
"cell0078","CellTypeB"
"cell0079","CellTypeB"
"cell0080","CellTypeB"
"cell0081","CellTypeB"
"cell0082","CellTypeB"
"cell0083","CellTypeB"
"cell0084","CellTypeB"
"cell0085","CellTypeB"
"cell0086","CellTypeB"
"cell0087","CellTypeB"
"cell0088","CellTypeB"
"cell0089","CellTypeB"
"cell0090","CellTypeB"
"cell0091","CellTypeB"
"cell0092","CellTypeB"
"cell0093","CellTypeB"
"cell0094","CellTypeB"
"cell0095","CellTypeB"
"cell0096","CellTypeB"
"cell0097","CellTypeB"
"cell0098","CellTypeB"
"cell0099","CellTypeB"
"cell0100","CellTypeB"
"cell0101","CellTypeB"
"cell0102","CellTypeB"
"cell0103","CellTypeB"
"cell0104","CellTypeB"
"cell0105","CellTypeB"
"cell0106","CellTypeB"
"cell0107","CellTypeB"
