"","x","y","CellTypeA","CellTypeB","CellTypeC","CellTypeD"
"spot001",11.5606720177347,10.3659987148641,0.129,0.2258,0.0645,0.5806
"spot002",8.29716912382195,1.09204496732106,0.1,0.5667,0.2667,0.0667
"spot003",8.75631975441248,3.04788746923712,0,0.8,0.0333,0.1667
"spot004",8.71649432368347,9.62946494424853,0.0333,0.1667,0.1333,0.6667
"spot005",1.79644693534317,2.35837062091956,0.2903,0.3548,0.129,0.2258
"spot006",3.40492337161595,1.45220036992358,0.4828,0.0345,0.0345,0.4483
"spot007",9.9904842210056,10.0757511802912,0.3,0.1667,0.1,0.4333
"spot008",2.37316191942624,9.08794454355079,0.0333,0.0667,0.7,0.2
"spot009",9.39181079654857,8.66857617906747,0.0667,0.0333,0.0333,0.8667
"spot010",2.18526158054137,1.66330572077342,0.6333,0.0667,0.2333,0.0667
"spot011",9.51018047778234,10.4586630387426,0.1613,0.0645,0,0.7742
"spot012",2.11419056014756,2.06549395136742,0.6129,0.0323,0.0323,0.3226
"spot013",9.27758735864018,10.8243381797312,0.0667,0.1667,0.0333,0.7333
"spot014",8.78247081891235,9.6269922703592,0.3667,0,0.0333,0.6
"spot015",3.24104129669962,2.41369675692381,0.5667,0,0.2333,0.2
"spot016",8.46723357754816,9.26006104496825,0.1667,0.1333,0.1333,0.5667
"spot017",3.76344656569695,9.68310963459142,0.1667,0.0333,0.5333,0.2667
"spot018",3.88092728155287,8.67048094198931,0.0323,0.2903,0.6452,0.0323
"spot019",3.34613233883798,3.39636061950627,0.6897,0.069,0.069,0.1724
"spot020",9.38192418465359,7.95298960084792,0.0333,0.1333,0.1,0.7333
"spot021",3.34351537293844,4.00354489483571,0.7667,0.0667,0.0667,0.1
"spot022",2.8318276897168,7.87099953487489,0.0333,0.1333,0.8333,0
"spot023",9.78140771406449,9.80670898122342,0.1333,0.0667,0,0.8
"spot024",9.70172683757925,1.95558235700059,0.0667,0.8,0.1,0.0333
"spot025",2.74010911607382,6.986804213339,0.1,0.1333,0.7,0.0667
"spot026",7.91709113436931,1.65162006281444,0.1379,0.7586,0,0.1034
"spot027",2.69004854885982,9.36840452160281,0,0.1,0.7,0.2
"spot028",9.63872454776007,3.14456851775462,0.0333,0.6,0.1667,0.2
"spot029",4.54504847282184,5.82642984111465,0,0,0.9333,0.0667
"spot030",10.2173949113861,3.90864152998952,0.1,0.5,0.0667,0.3333
"spot031",9.63550332869005,4.02319940706534,0.1667,0.7333,0.0667,0.0333
"spot032",10.5445326644884,2.77615219797927,0.0333,0.6,0,0.3667
"spot033",9.59704203461727,6.87793832418153,0.129,0.0323,0.0645,0.7742
"spot034",7.6328686655776,3.75617105599144,0.0968,0.7742,0.0968,0.0323
"spot035",9.32481159305952,3.91354212044356,0.1034,0.6897,0.1034,0.1034
"spot036",9.59055425434818,9.38825248685918,0.0333,0,0.0333,0.9333
"spot037",3.16935696608873,8.99386252580705,0.1667,0.1333,0.5333,0.1667
"spot038",9.00356249647891,9.99907342250968,0.0968,0.0968,0.0645,0.7419
"spot039",1.86754306246383,2.89892510371004,0.6452,0.2581,0.0323,0.0645
"spot040",2.07375248918953,1.76876607939426,0.8667,0.1,0,0.0333
"spot041",3.31260323762715,7.69116058076297,0.2,0.0333,0.6667,0.1
"spot042",2.88004016587649,9.66230850633896,0.4483,0.0345,0.4828,0.0345
"spot043",9.08495931382081,2.69495112893505,0.0968,0.8065,0.0645,0.0323
"spot044",9.03324924352776,7.89948241969452,0.1667,0,0.0667,0.7667
"spot045",1.70026532347768,3.18699199035602,0.6667,0.0333,0.0667,0.2333
"spot046",6.75190822005729,2.88956043050081,0,0.6333,0,0.3667
"spot047",4.00570408173684,11.4908159330819,0.0667,0.0333,0.9,0
"spot048",0.300553940547806,3.27008454937381,0.6207,0.3448,0,0.0345
"spot049",2.88370389703236,9.7844612682878,0.1667,0.0667,0.4,0.3667
"spot050",7.45741627481752,8.66711174003267,0.0667,0,0.3333,0.6
"spot051",2.20285099674475,2.30292294227508,0.7931,0.1379,0.069,0
"spot052",5.07522472088804,3.09304905175604,0.6667,0.0333,0.0667,0.2333
"spot053",4.50798820978367,9.37658892816192,0,0.1034,0.8276,0.069
"spot054",3.09235838695071,8.39481489209532,0.0345,0.3793,0.5862,0
"spot055",3.0078022208035,9.35427976380462,0.069,0,0.7241,0.2069
"spot056",8.55071023848277,4.31285532558597,0,0.5333,0.1,0.3667
"spot057",3.88177761609985,10.6872656862454,0.0333,0.1333,0.8333,0
"spot058",3.12695311714808,4.49081296782208,0.8667,0.0667,0.0667,0
"spot059",7.28883928425914,10.3892233838874,0.2667,0,0.0667,0.6667
"spot060",11.0880804454243,8.05361425089655,0.3667,0.0667,0.1333,0.4333
"spot061",8.56320845542686,3.14782975970846,0.0667,0.5667,0.0333,0.3333
"spot062",3.33712078593929,9.53432658673146,0.3871,0.0323,0.5484,0.0323
"spot063",1.97276251726834,2.73280958965149,0.7,0.1667,0.1,0.0333
"spot064",8.85269642589107,3.65124830397878,0.1667,0.4667,0.1333,0.2333
"spot065",3.30868923849796,9.71827868165047,0.0333,0.2333,0.6333,0.1
"spot066",3.71971799882454,3.75250189179384,0.7,0.1,0.1333,0.0667
"spot067",7.25207051864219,8.794113656543,0.0333,0.5667,0.0333,0.3667
"spot068",9.62821785957858,3.18341931822722,0,0.6,0.0333,0.3667
"spot069",1.94469574419477,5.39248861342864,0.7931,0.069,0.1034,0.0345
"spot070",3.19854636555127,6.88632869969393,0.2069,0.0345,0.7586,0
"spot071",8.37426743321396,4.01548269771635,0.0667,0.8333,0.0667,0.0333
"spot072",4.05700666126081,2.19566556419403,0.6552,0.0345,0,0.3103
"spot073",8.50660153531783,2.49789101135398,0.2,0.7333,0.0333,0.0333
"spot074",7.50086384458611,3.66030781162577,0.1034,0.6207,0.2069,0.069
"spot075",3.22380822913521,8.71899908014296,0.0667,0.0333,0.8,0.1
"spot076",9.0284756964218,9.27018333244284,0.0667,0,0.2,0.7333
"spot077",7.90436061877846,7.29806236366348,0.1,0.2,0.0333,0.6667
"spot078",8.36771950483357,9.28612915807029,0.1333,0.0667,0.0667,0.7333
"spot079",2.18667127294614,3.79565003088209,0.6452,0.0968,0.1613,0.0968
"spot080",8.174206288703,8.60848359010789,0,0.5667,0.0333,0.4
"spot081",4.20165037511456,1.10451239991925,0.6333,0.2333,0.1,0.0333
"spot082",4.68716799678171,9.60848326372385,0.069,0.2759,0.6552,0
"spot083",8.54676878350415,7.26411106661851,0.3,0.2333,0.1,0.3667
"spot084",9.38768686370274,11.5502666723436,0.1,0.0333,0.1667,0.7
"spot085",1.14998723882354,1.97457244592515,0.5806,0.129,0.1613,0.129
"spot086",2.01860261208494,3.42533710366655,0.3667,0.4,0,0.2333
"spot087",2.38633866203934,11.5197711504473,0,0.0345,0.8621,0.1034
"spot088",8.63269421454183,9.40711847480706,0.0333,0,0.0667,0.9
"spot089",7.83802975650334,9.03435883043952,0.0667,0,0.3,0.6333
"spot090",9.28086446104812,9.54290074649531,0.0323,0.129,0.3226,0.5161
"spot091",9.90812861633627,7.08231636530696,0.069,0.1034,0.1034,0.7241
"spot092",9.02750974058715,8.65278715615084,0.2333,0.0333,0.2,0.5333
"spot093",2.45950117476775,9.88796705655959,0.1333,0.0333,0.8333,0
"spot094",9.08367438551601,4.39298151925271,0,0.6333,0.2333,0.1333
"spot095",10.4645252791875,9.04676224438699,0.0667,0.1,0,0.8333
"spot096",4.83738785084677,7.31863096998921,0.2333,0,0.7,0.0667
"spot097",1.23485613797002,3.28390771640306,0.6667,0.2333,0,0.1
"spot098",3.39855339557772,9.34235150869113,0,0.3667,0.4,0.2333
"spot099",10.0429247560022,8.34436210202863,0.2581,0.0645,0.0968,0.5806
"spot100",4.79703776506645,2.63808287318112,0.7097,0.0968,0.0968,0.0968
