# synthetic, for demo only -- generated by 578_spatialex_omics_translation.py
cell_id,PanelA_00,PanelA_01,PanelA_02,PanelA_03,PanelA_04,PanelA_05,PanelA_06,PanelA_07,PanelA_08,PanelA_09,PanelA_10,PanelA_11,PanelA_12,PanelA_13,PanelA_14,PanelA_15,PanelA_16,PanelA_17,PanelA_18,PanelA_19,PanelA_20,PanelA_21,PanelA_22,PanelA_23,PanelA_24,PanelA_25,PanelA_26,PanelA_27,PanelA_28,PanelA_29
S1_C0000,0.6931,2.3026,1.9459,0.0,1.3863,0.0,1.0986,1.3863,0.0,1.6094,2.6391,1.7918,1.0986,3.4965,2.3979,0.6931,2.0794,1.7918,0.6931,1.9459,0.6931,1.0986,0.6931,1.3863,0.6931,1.7918,1.6094,0.6931,1.3863,0.6931
S1_C0001,0.6931,1.3863,1.3863,2.0794,1.7918,3.2189,1.3863,2.8904,3.2581,0.0,3.9318,3.8712,5.2832,1.0986,2.0794,2.0794,0.0,0.0,3.5264,0.6931,5.2417,4.0943,0.6931,1.6094,0.0,1.6094,1.7918,1.3863,1.0986,1.3863
S1_C0002,3.8286,1.3863,1.6094,0.6931,1.6094,0.0,1.0986,0.6931,1.0986,1.9459,0.6931,0.0,0.0,2.5649,1.0986,1.7918,1.3863,1.9459,0.0,1.6094,1.0986,1.0986,2.0794,3.2189,0.6931,0.0,0.6931,0.6931,1.3863,0.6931
S1_C0003,0.0,0.0,2.3026,2.0794,1.0986,0.0,1.6094,2.8332,0.0,1.6094,2.0794,3.1781,0.0,2.3979,1.9459,2.1972,0.0,0.6931,0.0,1.0986,1.6094,0.0,0.6931,5.2204,1.6094,2.1972,3.989,0.6931,0.0,2.8904
S1_C0004,2.7726,2.3026,0.6931,0.6931,1.0986,4.8598,2.4849,1.3863,4.5326,2.1972,3.1781,0.0,3.6636,3.2958,3.2958,0.6931,5.4116,3.7612,2.7081,1.6094,1.3863,0.0,0.0,1.7918,0.0,0.6931,0.6931,0.0,1.6094,0.0
S1_C0005,0.0,0.6931,2.3026,2.3026,1.0986,0.0,0.0,2.0794,0.0,0.6931,1.6094,2.5649,0.0,2.1972,1.0986,2.3979,0.0,1.3863,0.0,0.6931,1.0986,1.0986,1.6094,1.3863,1.0986,2.1972,4.7791,1.0986,1.0986,3.7842
S1_C0006,0.6931,0.0,2.3026,2.3979,1.3863,0.0,0.0,2.6391,0.0,1.0986,2.3979,2.0794,0.0,5.2679,0.6931,1.9459,0.0,0.6931,0.0,1.6094,0.6931,0.0,1.0986,5.366,1.3863,1.6094,3.9512,0.0,0.6931,2.0794
S1_C0007,5.0039,0.6931,1.0986,2.1972,1.3863,0.0,1.3863,1.3863,0.0,1.3863,2.9444,4.654,0.0,1.9459,0.0,2.5649,0.0,1.0986,0.0,1.3863,0.0,3.7136,1.9459,1.0986,0.0,1.0986,4.7185,0.6931,2.7726,2.7081
S1_C0008,1.3863,1.6094,1.6094,0.6931,1.3863,2.3979,1.6094,0.0,0.0,1.3863,1.7918,1.0986,1.9459,2.6391,2.7081,0.6931,0.0,2.3979,0.0,1.7918,2.7726,0.0,0.6931,5.2883,1.3863,0.6931,0.6931,0.0,1.0986,0.6931
S1_C0009,4.3567,1.0986,0.0,0.6931,1.3863,1.0986,1.3863,1.0986,0.0,2.0794,0.0,0.0,0.0,1.6094,0.6931,1.3863,3.5553,0.6931,0.0,2.0794,0.0,1.6094,2.1972,1.0986,1.3863,0.6931,0.6931,2.1972,1.9459,2.1972
