# synthetic, for demo only -- generated by 578_spatialex_omics_translation.py
cell_id,PanelB_00,PanelB_01,PanelB_02,PanelB_03,PanelB_04,PanelB_05,PanelB_06,PanelB_07,PanelB_08,PanelB_09,PanelB_10,PanelB_11,PanelB_12,PanelB_13,PanelB_14,PanelB_15,PanelB_16,PanelB_17,PanelB_18,PanelB_19,PanelB_20,PanelB_21,PanelB_22,PanelB_23,PanelB_24,PanelB_25,PanelB_26,PanelB_27,PanelB_28,PanelB_29
S1_C0000,0.6931,2.1972,1.9459,0.0,2.6391,0.6931,0.0,1.6094,1.3863,1.0986,1.7918,1.6094,1.7918,1.0986,0.0,1.6094,0.0,1.0986,1.0986,0.0,1.3863,0.6931,1.3863,0.6931,0.6931,1.0986,1.3863,1.3863,0.6931,2.3979
S1_C0001,3.4012,0.6931,4.1109,3.2958,0.0,3.1355,3.1355,1.6094,1.3863,0.6931,2.9957,1.0986,1.9459,2.1972,5.2781,1.7918,2.3026,2.1972,0.0,0.6931,2.4849,0.0,1.0986,2.5649,2.8332,1.3863,1.3863,0.6931,1.0986,2.4849
S1_C0002,1.7918,5.247,1.9459,0.0,3.5553,3.2581,0.0,1.3863,1.3863,1.6094,0.0,1.3863,2.6391,1.0986,1.9459,2.0794,1.3863,2.6391,2.0794,3.2581,2.4849,1.9459,1.3863,0.6931,1.7918,1.3863,0.6931,1.3863,1.7918,1.9459
S1_C0003,0.0,0.0,2.3026,0.0,0.6931,0.0,4.7707,2.0794,1.0986,0.6931,0.6931,0.6931,2.5649,1.0986,0.6931,0.6931,0.0,1.0986,1.0986,0.0,0.6931,2.3026,1.3863,1.0986,1.9459,1.7918,2.5649,0.0,1.0986,0.6931
S1_C0004,1.7918,0.6931,1.0986,0.0,0.0,1.0986,0.0,0.6931,1.6094,0.6931,1.0986,1.3863,0.6931,0.6931,3.3322,2.0794,2.0794,1.0986,0.0,2.3979,0.6931,0.0,2.0794,1.0986,1.0986,1.3863,1.9459,2.4849,1.9459,3.2581
S1_C0005,0.6931,1.6094,2.3026,0.6931,2.8332,0.6931,3.3322,1.3863,0.0,0.0,0.0,1.3863,2.3979,1.9459,1.3863,1.3863,0.0,0.6931,1.7918,0.0,1.3863,2.0794,0.0,1.0986,1.3863,0.6931,1.9459,0.0,1.0986,1.6094
S1_C0006,0.0,2.9444,2.5649,0.0,3.6376,0.6931,3.1355,1.6094,1.6094,0.0,0.0,1.7918,3.7377,0.0,1.3863,1.6094,0.0,0.0,2.3026,0.0,3.0445,1.3863,1.0986,1.3863,1.0986,1.6094,1.9459,1.3863,0.6931,2.0794
S1_C0007,0.6931,5.3423,4.9345,2.9444,3.5264,3.7612,0.0,0.0,1.9459,0.0,0.0,2.0794,5.3375,3.091,1.0986,3.4012,0.6931,2.4849,1.7918,2.0794,1.9459,1.9459,1.7918,1.7918,3.3322,0.0,0.0,1.0986,3.434,3.2189
S1_C0008,1.6094,2.0794,0.6931,0.0,1.3863,0.6931,2.3979,2.0794,1.0986,2.1972,0.6931,0.6931,1.0986,1.9459,2.3026,0.0,0.6931,1.0986,1.6094,1.7918,3.5835,1.0986,1.0986,1.6094,1.0986,1.7918,0.0,1.0986,1.3863,1.7918
S1_C0009,0.0,4.2627,0.0,1.9459,2.6391,2.7726,0.0,0.0,1.7918,1.9459,1.0986,0.6931,0.6931,0.0,0.0,1.9459,1.9459,2.6391,2.3979,2.7081,1.0986,1.0986,1.6094,1.0986,0.6931,0.0,0.0,1.6094,2.7081,0.0
S1_C0010,1.3863,1.7918,0.0,0.0,3.2189,1.3863,0.0,0.6931,0.0,1.6094,0.0,1.0986,1.6094,1.6094,2.0794,1.0986,1.3863,1.7918,2.3026,3.0445,0.0,2.3979,0.6931,0.6931,0.0,1.3863,0.6931,1.0986,0.6931,1.0986
S1_C0011,2.3979,5.4027,2.4849,1.0986,4.0943,3.4657,0.6931,0.6931,1.9459,1.3863,0.6931,1.6094,3.9512,2.5649,0.6931,2.3026,0.0,2.1972,2.0794,3.8067,2.7726,0.0,1.3863,0.6931,1.6094,1.7918,0.0,1.0986,2.5649,2.6391
S1_C0012,1.0986,5.3423,3.2958,0.0,2.6391,1.3863,0.0,1.3863,0.0,0.0,0.6931,1.6094,4.625,2.4849,1.3863,2.6391,0.6931,1.3863,1.6094,1.0986,1.9459,0.6931,1.0986,1.6094,2.6391,0.0,1.6094,0.6931,2.3026,2.8904
S1_C0013,0.6931,0.0,0.0,0.6931,2.8332,0.0,2.7081,1.3863,0.6931,2.5649,2.0794,0.0,1.0986,1.3863,0.6931,0.0,1.3863,0.0,2.3979,0.6931,1.9459,2.6391,1.6094,1.0986,0.0,1.9459,0.6931,1.6094,0.0,0.0
S1_C0014,0.0,5.3327,3.7842,2.1972,4.1431,4.3307,0.6931,0.0,1.9459,0.6931,0.0,1.7918,5.3613,2.6391,0.6931,3.0445,0.0,2.1972,2.3979,2.7081,2.8904,0.0,0.0,1.3863,2.9957,0.6931,0.0,1.0986,3.1355,3.2958
S1_C0015,0.0,0.0,0.0,1.7918,0.0,1.0986,0.6931,1.6094,2.1972,2.6391,3.7612,0.6931,0.0,0.0,0.6931,1.0986,4.7185,0.0,0.6931,0.0,0.0,0.6931,1.3863,1.0986,0.0,1.3863,0.0,3.1781,1.0986,0.0
S1_C0016,1.0986,0.0,0.6931,1.3863,2.7726,0.0,1.9459,0.6931,1.0986,1.0986,0.0,1.0986,1.0986,2.0794,1.3863,1.0986,0.6931,1.0986,2.3026,1.7918,0.0,2.3026,1.3863,0.0,1.0986,0.6931,2.4849,0.6931,0.6931,0.0
S1_C0017,2.4849,0.0,4.0254,2.0794,0.0,2.7081,4.9345,2.3026,1.6094,1.7918,3.2581,1.3863,2.9444,2.0794,5.3375,1.6094,2.9444,1.7918,0.0,0.0,3.434,1.6094,0.0,2.5649,3.2189,0.6931,1.7918,1.0986,0.6931,2.0794
S1_C0018,1.0986,5.037,0.0,1.6094,3.6376,2.8904,0.0,1.7918,2.7081,3.1781,0.6931,0.0,0.0,1.6094,0.0,1.7918,0.0,0.6931,2.0794,2.3979,1.0986,1.0986,0.0,1.9459,1.0986,1.0986,0.6931,1.7918,1.0986,1.3863
S1_C0019,0.0,0.0,0.6931,0.6931,0.0,1.6094,1.0986,1.0986,1.9459,1.0986,1.6094,0.0,0.0,1.0986,3.4012,0.0,2.3026,1.9459,0.0,0.6931,0.0,0.0,2.0794,1.3863,0.0,2.0794,1.7918,1.7918,0.0,2.0794
S1_C0020,0.6931,1.7918,0.0,0.0,2.9444,1.3863,1.0986,1.9459,2.3979,2.0794,1.0986,1.3863,0.0,1.0986,0.0,1.0986,0.6931,0.0,1.6094,0.0,2.1972,0.0,1.3863,1.0986,0.6931,1.6094,1.3863,2.3979,0.0,2.3026
S1_C0021,0.6931,0.0,0.0,2.0794,0.0,1.0986,1.0986,0.6931,1.0986,2.0794,2.0794,1.0986,0.0,0.6931,1.6094,0.0,4.4308,1.0986,0.6931,0.6931,0.6931,0.0,1.7918,1.0986,1.0986,1.7918,1.0986,2.0794,0.0,0.0
