# synthetic, for demo only -- generated by 578_spatialex_omics_translation.py
cell_id,HE000,HE001,HE002,HE003,HE004,HE005,HE006,HE007,HE008,HE009,HE010,HE011,HE012,HE013,HE014,HE015,HE016,HE017,HE018,HE019,HE020,HE021,HE022,HE023,HE024,HE025,HE026,HE027,HE028,HE029,HE030,HE031,HE032,HE033,HE034,HE035,HE036,HE037,HE038,HE039,HE040,HE041,HE042,HE043,HE044,HE045,HE046,HE047,HE048,HE049,HE050,HE051,HE052,HE053,HE054,HE055,HE056,HE057,HE058,HE059,HE060,HE061,HE062,HE063
S2_C0000,-0.0748,2.0551,4.3985,2.0363,5.6055,-3.0982,-7.2385,-4.4664,-2.6631,-3.0652,5.5165,-4.4456,1.9762,-5.9324,5.6832,3.4027,-0.6105,1.7104,5.1073,-0.362,-4.4335,-2.4798,0.0319,1.5584,-4.2517,1.2636,-3.173,9.7472,-2.3378,-2.9078,-2.1669,11.3672,-0.3879,-0.1126,0.9494,-2.3437,-3.8327,0.3387,-0.7584,-1.5406,-1.2741,-1.7252,-10.3972,0.4197,-4.5838,-9.1293,0.7726,-11.3191,-0.1132,-5.0924,4.6814,4.6353,3.6035,7.9726,-1.4388,0.4877,9.2651,-2.9037,9.1783,0.5664,2.9517,-2.2916,-0.7597,9.3164
S2_C0001,0.8505,-1.6238,2.5561,0.5355,5.1334,3.6228,0.845,2.4398,3.1869,1.6528,-2.2681,-0.764,-1.0116,1.4858,-0.2096,-1.26,1.35,2.0359,0.6818,-5.073,-0.978,4.9905,5.2851,-1.5753,-2.1142,-0.5013,-1.605,-5.8602,4.0346,3.7471,-2.1573,-1.4282,4.715,-0.9385,-0.4868,-0.588,6.1305,-2.7661,2.0849,-0.193,1.5355,4.1749,3.2286,-4.4023,-6.7002,1.8812,-1.795,4.9519,-3.1219,4.9368,-4.1383,1.0274,5.3419,-2.6588,1.4134,2.2194,-1.742,1.649,-2.5965,-0.1986,-0.6124,-6.1814,-4.3528,-4.0873
S2_C0002,0.6821,1.3006,3.874,-3.5224,6.5767,-0.9324,-5.261,-3.7868,-2.0646,-3.0642,6.0133,-3.6263,5.1033,-4.1929,2.1451,2.7737,0.5883,3.8789,3.2969,1.1097,-1.1508,0.1983,1.1984,-0.4802,-4.8109,5.9451,-2.861,6.069,1.5316,-2.6374,1.7629,8.0597,-0.3251,0.6519,-0.6742,0.3626,-4.417,-2.1944,1.8906,-1.9725,1.3891,-3.1906,-7.2229,-2.2215,-4.7239,-6.7197,-0.3324,-3.492,0.8422,-5.4895,4.6543,5.7626,2.1397,5.4424,1.7564,1.3479,4.4482,-1.5468,3.9658,-2.0115,3.1828,-0.9068,1.2882,5.5271
S2_C0003,-0.6663,0.9765,3.7099,3.0955,-4.1128,-3.5845,-2.3903,4.4414,3.1741,-4.552,-0.8162,1.5751,0.7372,4.3854,0.9053,-1.1932,-2.1956,3.7102,-0.6586,7.7101,-1.1177,1.1448,-0.2163,2.9713,-1.0689,1.8868,-2.6945,7.5646,-4.8048,-5.1002,9.8301,-0.3007,-1.5307,2.5354,-0.6064,-1.8414,1.4027,-0.9238,-2.1026,-6.2535,4.0929,-3.6597,-4.8461,-0.319,-5.5355,-0.2823,-7.0571,2.5437,5.4311,-6.1451,2.9895,-0.9518,2.6076,-1.017,3.395,9.2921,-2.7651,-3.3783,0.5104,-3.5743,4.3585,0.4565,3.5366,1.8372
S2_C0004,1.9193,-1.1837,0.4942,1.8281,4.8645,3.8482,0.4917,4.3997,2.2797,2.5462,-3.3597,-0.5105,-1.0393,3.2695,-0.2498,-0.2469,2.9626,-0.1655,0.4928,-4.5942,-1.3087,6.0836,8.364,-1.3865,-0.0558,1.6132,-1.165,-7.4073,6.2281,5.0512,-3.0596,-1.64,4.7891,-2.0158,0.2255,1.6387,5.208,-2.4143,1.799,0.3376,1.76,7.9445,5.9549,-3.0547,-6.8558,-0.4927,-3.8792,3.7359,-3.3594,6.0182,-3.6718,0.0941,4.5041,-2.8595,0.5123,2.1484,-3.9148,-0.2193,-4.201,-2.7329,-4.2668,-7.9582,-4.734,-2.6259
S2_C0005,-0.1017,-0.7206,0.172,1.8226,2.0433,-2.4883,-0.8854,-2.0916,-3.1719,-3.222,-0.5587,-2.0343,-3.078,-2.2228,0.1526,-0.505,-1.8962,-1.3808,4.6495,2.9913,-2.8737,-1.5146,-2.4657,1.9434,-0.1215,-2.9529,-3.6986,4.7529,-1.107,0.5397,-5.3666,3.9492,-5.4684,0.5379,0.2687,-0.0949,-4.6033,0.3215,2.1051,2.8261,-5.37,-0.2358,-2.5499,2.1971,3.65,-3.3011,4.9408,-3.2875,1.5502,-3.016,2.4873,-2.1443,0.2083,5.0829,-6.9031,-1.8685,7.4745,-0.1321,2.0555,1.979,2.1097,-2.7081,3.0483,1.2257
S2_C0006,0.3714,0.5833,2.5465,1.4142,-3.2398,-1.5872,-1.4752,4.1069,0.1275,-3.1097,-1.1893,3.6697,2.7635,3.1007,0.034,-0.5951,-3.1451,5.9586,-1.6577,8.1608,-0.3544,4.0851,-0.426,2.4072,-0.6065,4.1063,-2.6598,5.1313,-2.6793,-6.722,6.8535,-3.4817,0.9996,2.4681,-3.2664,-2.0156,0.7067,1.1165,-0.7898,-5.5128,5.5708,-3.8532,-4.4155,0.054,-4.8954,-0.0969,-5.5093,2.609,4.939,-0.5785,3.8344,0.9708,1.2135,-1.4357,4.3187,7.175,-1.3,-2.231,-0.124,-4.611,4.7323,1.6349,1.9359,1.7315
S2_C0007,0.3617,2.3767,1.0817,1.5536,-3.9067,-2.8101,3.4703,2.0204,2.0432,-2.1551,2.0407,-1.373,-4.1955,1.7971,-2.7351,-0.8814,-0.6012,-0.7728,0.8072,-1.3491,2.0943,0.6723,1.7118,1.1208,2.9396,3.0819,-0.5443,-2.1262,0.4667,0.5983,0.9689,-0.3495,1.3353,-0.2111,-2.1429,0.8355,1.6957,0.7343,0.5443,3.6944,0.1494,-0.2714,3.9654,-1.3947,-2.1123,3.422,-1.742,4.7172,1.2914,2.3841,-0.383,-1.6594,-0.8067,-1.8424,0.1063,0.8398,-3.6711,-0.1814,-3.756,-3.5334,-3.2882,-0.6446,1.308,-3.8216
S2_C0008,-2.1203,-0.7633,-2.9413,0.7439,-0.7902,-0.5286,-0.265,-2.2403,2.0034,4.3327,-0.9531,4.5154,5.6686,-1.7868,-0.3029,3.8782,0.9815,2.3355,-5.3585,0.37,-0.7903,-1.1512,-3.1475,-0.6004,-3.0625,1.5807,2.9769,6.7004,1.0567,-4.3262,-6.0115,0.2616,-0.9913,2.7524,-1.3841,-0.2589,-0.4704,0.0485,-1.8537,-6.3005,6.5492,-0.9795,-0.8291,-1.8803,0.7173,0.3221,-1.5414,-6.4795,-2.494,0.3913,-3.3939,1.6851,0.1845,0.0872,0.085,-2.1382,1.0378,1.4527,2.1651,4.8993,3.212,2.5863,-4.6529,-1.0167
S2_C0009,0.7109,-1.2192,-4.8256,6.9505,-1.6673,-4.4966,0.6806,-1.7434,-2.2942,-0.4062,-0.8912,-0.9374,-1.4954,-5.8272,2.928,1.8022,-1.836,-3.292,-2.7421,2.5509,-3.7203,-2.1328,-8.6471,4.8678,0.6384,-1.0319,-0.004,9.66,-4.4846,-5.626,-10.4836,3.5783,-2.8895,5.2122,-0.1532,-2.7085,-4.5013,1.4483,-2.4868,-0.179,2.2058,1.1064,-4.5629,2.1088,2.4386,-0.0792,2.021,-12.8975,1.8507,-0.3919,-1.5903,-2.8775,2.3166,4.212,-5.9541,-0.3284,5.3469,-1.2181,4.4746,5.3923,1.0225,-2.4496,0.326,-0.2477
