,Gene000,Gene001,Gene002,Gene003,Gene004,Gene005,Gene006,Gene007,Gene008,Gene009,Gene010,Gene011,Gene012,Gene013,Gene014,Gene015,Gene016,Gene017,Gene018,Gene019,Gene020,Gene021,Gene022,Gene023,Gene024,Gene025,Gene026,Gene027,Gene028,Gene029,Gene030,Gene031,Gene032,Gene033,Gene034,Gene035,Gene036,Gene037,Gene038,Gene039,Gene040,Gene041,Gene042,Gene043,Gene044,Gene045,Gene046,Gene047,Gene048,Gene049,Gene050,Gene051,Gene052,Gene053,Gene054,Gene055,Gene056,Gene057,Gene058,Gene059
met0000,0.5730325712816771,0.39443993367681085,0.5182751932057401,0.689681427279253,0.499915693068761,0.43929131137204064,0.6157918585876142,0.4221590222182424,0.45055343609947,0.4481765220454686,0.5396941203780948,0.41627059286390117,0.42746947993751455,0.5622478886700212,0.634956268422219,0.5430847923689603,0.47030378816000007,0.5015755591844261,0.5972511179032248,0.4387404899897981,0.17336173437865826,0.47698059386092795,0.39942536725237066,0.4531948750931576,0.5673113866841247,0.5155619778652191,0.5977264016606821,0.5579231049430534,0.30422952756200494,0.6148279988598971,0.5704034994384505,0.4575544482553848,0.5468565402680979,0.5427437727304796,0.44199960568725377,0.4733690745695938,0.49838682428192754,0.446428150681368,0.45628571964452336,0.48821884700877644,0.6076756732748476,0.40269297536990156,0.6207517950520578,0.6211570674977005,0.5779715893672059,0.6721876015486621,0.4765772336732587,0.6463272164529592,0.49774791256623496,0.7002577507258207,0.43569007613397015,0.40352830288437097,0.6694197314037525,0.4782310990402738,0.6218808767175921,0.5738775362505367,0.14973101025199315,0.5709532419539242,0.44345420442700323,0.37707898525351835
met0001,0.6817055714713774,0.42337645685078046,0.6158480962990283,0.4353190080063141,0.5492294586254735,0.32033945381233075,0.4844215092033192,0.45533517324092926,0.43243430127304117,0.39875708937289245,0.5711000409104249,0.5258524752868478,0.503727709510701,0.2698448017791642,0.49924102293806427,0.427775803740558,0.6701229180247981,0.5099083460157867,0.30344635119452207,0.39836501173256195,0.35695614580493307,0.5797127271161764,0.309419128380417,0.4650736063783136,0.3373815088221426,0.29414870405640287,0.5457593013525714,0.6001331525873896,0.31608399310295293,0.4664439255661924,0.41207219045146576,0.6521657317652699,0.6187856047712702,0.538872499974003,0.4586753721203924,0.649860644334548,0.5269709627759406,0.5696525182391204,0.6619275849120849,0.531612081983132,0.57182291510024,0.7650229817462957,0.5324999250518623,0.5607616297951022,0.28822029499235424,0.7765089638628547,0.5985549360264117,0.5263661377474781,0.5332822295087872,0.6125528871313639,0.47666116090389354,0.3117402927096659,0.6759411555045524,0.558775607566905,0.6360284591418548,0.6259493580326391,0.6244388462845688,0.6525009736549727,0.5786721775964863,0.6379590713879283
met0002,0.6128195839355145,0.4724095280644587,0.3691005321575106,0.5777899509346028,0.35079391270388055,0.32049088642336426,0.5563789397902742,0.39482182480511063,0.28581851290980753,0.3494921539225159,0.5943491303154057,0.47089212846186196,0.40755551083054703,0.4655358398853383,0.6857202444935427,0.5121966995874397,0.5261311509865572,0.8191219873648821,0.5046864826524214,0.37238409069000245,0.7052255984201092,0.40841544463801993,0.7050375625833072,0.3968497667828053,0.34708439486173887,0.36478030053013316,0.3662994213238233,0.44910347423146507,0.2558241164295719,0.3720594101868694,0.48206015221949644,0.639801051084641,0.6331106350683573,0.5229075306760078,0.454748096762842,0.6212362588199871,0.6788227942343282,0.5470439208317773,0.5378626406500197,0.6249806270427003,0.7568024203728783,0.7302441145222685,0.6580886806333482,0.48088252812496995,0.5660121442516676,0.5819142294790957,0.4362215936497847,0.5866263232761137,0.5951854511671991,0.5216350887851158,0.44304888752309374,0.6902870280215846,0.36547414770832354,0.6097149865316729,0.6922514332499041,0.6828005586210768,0.3414972796523283,0.508803087868991,0.5311081223949755,0.5988207050070906
met0003,0.5865267551337943,0.3758753282916547,0.36069331295441404,0.32089513764454247,0.4169256451992704,0.4642153788182827,0.31602264140557557,0.5932659906253426,0.6817294588694397,0.4947098372766303,0.1972891434124249,0.4491671830476252,0.220328251776758,0.4425280086885287,0.5692553211790503,0.5893932583315944,0.44458656385269035,0.49334100744461645,0.7152622731984462,0.6246436329914312,0.601485362324903,0.5603409239422316,0.6934782541926431,0.6976983838096577,0.44723607451466446,0.2627657090704376,0.25540290988319864,0.2717617631012513,0.5202359353016276,0.5248180799295923,0.7373508781183922,0.6375692091988794,0.5952360507935401,0.7070565099625873,0.48391267906903684,0.5001074759679948,0.5876644916178699,0.6939109167472514,0.5934296937073478,0.6485358702415573,0.6162054381590213,0.5189598778716874,0.6507678218386848,0.4144379884844236,0.5264135448631009,0.5741380445891389,0.5686587487275778,0.5202513520775445,0.5885291109434297,0.6705050057939624,0.4607187925441071,0.5069430751286372,0.6443097327899628,0.6319963959242677,0.4479451649182679,0.5621568002065872,0.46831517052890304,0.5045293337560117,0.4485577470206128,0.2700755536024521
met0004,0.5645913415374441,0.4866313140345186,0.529556316101295,0.5855361973553641,0.29820199486256055,0.4629735724231671,0.49266736830103397,0.5099264981316484,0.6396978225628093,0.33697255787114283,0.5357848152351286,0.4305864591962595,0.5063450612834328,0.5397858019696722,0.40402420609394085,0.5246478195169573,0.5384686771868075,0.4896817016372708,0.6309384600757791,0.5939870731574628,0.4824918474412138,0.3804846464360325,0.5251918250177506,0.40341896572591984,0.4851555562756801,0.3837139808281961,0.42916310457463525,0.410733921180196,0.33603987215616427,0.259585403126163,0.5608583858080145,0.5259093581112452,0.4432364108069923,0.6851367138135969,0.5109233144945416,0.5927639495225927,0.5073731874194006,0.6591688597801348,0.7248568296446366,0.6477784530666927,0.5836848568594645,0.48314619887684374,0.48040235028347106,0.5332381890000685,0.3718208011705879,0.7260040237521691,0.6322006587905817,0.3657718987098603,0.6402921903174077,0.5436466587498934,0.6061938943744805,0.5603593105297037,0.5617907380105834,0.5396628006347907,0.6818246652287872,0.5069795391965211,0.5813991436328146,0.49983734401923724,0.5045641625865774,0.48006526092037033
met0005,0.3705501961907478,0.19627416713266102,0.6068902436348615,0.4570780496246375,0.4959779550197978,0.4704935096972469,0.6103021963683474,0.6246713228550204,0.5911654065815578,0.6025235881854397,0.6647238607161354,0.49678671861647944,0.6414934834677304,0.5276624349625453,0.6392740228996655,0.37849055554698396,0.43440122544847437,0.628013895485861,0.45219861999751165,0.43442955398469624,0.45504110962019795,0.46316789820027277,0.33827301157006756,0.6427245047274277,0.5007175880557144,0.5044834782892942,0.5096919357555849,0.5653841101400271,0.21360438598527254,0.6340763311572796,0.403926567600752,0.4739700534422192,0.4282979388218957,0.42665677398962765,0.37517493794836715,0.5760198222049916,0.6736830301332317,0.20131197213065916,0.3906896272137147,0.6076187147536471,0.5812395432706035,0.5722899451788204,0.5717327545025951,0.42170002959382663,0.5801549232684374,0.3475072504248919,0.5712338402277347,0.6941864960023302,0.4562526802898449,0.41345265889514954,0.4740390378636261,0.6011463360655775,0.6098252323411486,0.45759124811337215,0.5971866207869726,0.7293300930044561,0.40725149859418147,0.3524783471447546,0.6418898818715639,0.5034637704153898
met0006,0.35797714664607433,0.4572788941902291,0.6410739575665239,0.5481681985333978,0.29211128461901964,0.3965559539665138,0.3169967467145168,0.544785944570348,0.6433171619208459,0.4684635984492598,0.2811581245090855,0.4752812083493542,0.44830696631343697,0.5524939494223744,0.42216987130077094,0.323821798397241,0.4303009259331119,0.20820334066406182,0.5062984208765713,0.35622267111083916,0.2586507468012422,0.011399763249564862,0.5490805213634332,0.353993145170443,0.37082425709709665,0.3811126360250737,0.60263122609248,0.3898645729027254,0.5922193373080764,0.41661633143341703,0.4232296632334408,0.5026738815144682,0.6119501242900576,0.654237964736608,0.541222985814676,0.5778377245746877,0.46836557410895613,0.3983098779393248,0.5197576172132595,0.5503971542370187,0.5226854482294077,0.7229042998365096,0.6231548139161515,0.5299107356541953,0.28666246700686987,0.6342607038343018,0.5524192484922692,0.6253239596941793,0.46263719413394444,0.7543354603589525,0.4923329895445661,0.7558220376424817,0.5618501918989954,0.7992829094248495,0.5595266139869224,0.4102492566469267,0.6610124940941773,0.6145538869467378,0.4307008605879343,0.5149482050073004
met0007,0.5526151012858612,0.4144515510353977,0.32034563613701905,0.5781764095272097,0.41127502754234313,0.2554049347692284,0.696162201971388,0.6455505215969067,0.6016596811429206,0.5324466768934358,0.43692752457863004,0.5226514638925576,0.608236188787456,0.5312314949588288,0.5571417493006431,0.5027021713885463,0.564449990102615,0.4047557840073729,0.5281883644791677,0.5031212439212318,0.36967484406913875,0.12344534692479991,0.5323915720628932,0.4354137956701261,0.30050859460467394,0.4363911058136922,0.4221907164475766,0.3730446485897617,0.5026758544448832,0.3164401947398511,0.47734059088214514,0.4865569529291271,0.07144045612675812,0.5312580752463674,0.4153432474436297,0.5407915581142669,0.3513328227024216,0.42830493685910265,0.5918113586108723,0.5242759229537289,0.45742867221619526,0.5861825780574129,0.5689645246593501,0.618752528063322,0.5810819585679269,0.5371373106055038,0.5037619207545645,0.6977116848854332,0.7155067628460449,0.6495672325611246,0.45800353439503994,0.5894786797854024,0.7504407244448775,0.5223396525800732,0.3750468653763184,0.5245860094134893,0.43252145923300794,0.595017655725234,0.5062420017671129,0.5811838464956947
met0008,0.5427034943665229,0.6336762886376839,0.5205374268355474,0.39671364009580107,0.39298435913317525,0.37660641016379537,0.6993894317943967,0.31435596681984296,0.5208659457048073,0.6514981444363062,0.4482277782386039,0.5393982294090268,0.35487516246077705,0.43591671868671755,0.47307235561594585,0.2975730739174971,0.33453927036005654,0.5271258380582077,0.5755010102039946,0.5887063049054626,0.4155157977396589,0.44257745348092364,0.7023351257547051,0.4267825576707708,0.29141467562299056,0.4080411299589594,0.44157747260104047,0.4905907371819924,0.3812282736256168,0.6051132491758755,0.4947486432516304,0.398927753615706,0.5478668409740088,0.6073509363186844,0.5155153053985743,0.474079107190384,0.6751140214017453,0.5439624830812365,0.6864915415246475,0.4127658786411807,0.5175175082720896,0.5767738569610584,0.5122588335869712,0.4363847645653086,0.41450681528571387,0.7008983530085218,0.567680649600868,0.7620603636757808,0.512187619468763,0.5834003914364055,0.5059778331327124,0.5489782077324767,0.5182094827110155,0.4113724308125205,0.7316154885602125,0.514484426999604,0.5686714770989169,0.4632820390385697,0.5836046831700049,0.3458532057330288
met0009,0.6375450067749993,0.4562604553101937,0.43666689719851104,0.5284559581959456,0.5561632721437317,0.7174764344408676,0.46240081733998106,0.4633822749272188,0.5119650534284679,0.4292400895990297,0.4243279212315507,0.5014098822801827,0.4494023460922406,0.22515417447522543,0.7002247282389187,0.5537863383215945,0.6495607685404592,0.41879506091730706,0.6288044441177648,0.5756845728847945,0.5036127941324002,0.5560928423003452,0.4792470289291163,0.4303196167631658,0.23352062154030845,0.38509027306514515,0.5407967280985139,0.40350900071073886,0.5885093175379092,0.43801956774764933,0.48552631244699157,0.46777841755311117,0.5773637346404231,0.7651637423246113,0.5797210182953572,0.65425173438836,0.5755828531376203,0.7291090717791411,0.6581107302807322,0.6887245615777406,0.6012167136417038,0.6781973996690512,0.6224233475297333,0.6353852311859571,0.5054796650447929,0.4809793470923548,0.7052333924907168,0.4514005237221114,0.5669444893600081,0.5300108196264589,0.41345872366018677,0.5908265916799303,0.6760767826240239,0.6123965221126922,0.5684682459131686,0.35045121718134387,0.5271493126107455,0.4858642047711282,0.6568447918863577,0.3633361232484815
