,Gene000,Gene001,Gene002,Gene003,Gene004,Gene005,Gene006,Gene007,Gene008,Gene009,Gene010,Gene011,Gene012,Gene013,Gene014,Gene015,Gene016,Gene017,Gene018,Gene019,Gene020,Gene021,Gene022,Gene023,Gene024,Gene025,Gene026,Gene027,Gene028,Gene029,Gene030,Gene031,Gene032,Gene033,Gene034,Gene035,Gene036,Gene037,Gene038,Gene039,Gene040,Gene041,Gene042,Gene043,Gene044,Gene045,Gene046,Gene047,Gene048,Gene049,Gene050,Gene051,Gene052,Gene053,Gene054,Gene055,Gene056,Gene057,Gene058,Gene059
rna0000,0.0,16.0,7.0,7.0,10.0,12.0,0.0,7.0,6.0,24.0,23.0,8.0,12.0,0.0,11.0,17.0,17.0,10.0,9.0,23.0,16.0,63.0,4.0,0.0,17.0,22.0,10.0,26.0,0.0,0.0,0.0,3.0,17.0,5.0,5.0,12.0,10.0,6.0,21.0,3.0,11.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,10.0,5.0,5.0,2.0,0.0,0.0,0.0,3.0,4.0,4.0,20.0,13.0
rna0001,12.0,0.0,9.0,1.0,0.0,2.0,0.0,2.0,0.0,17.0,3.0,6.0,0.0,4.0,7.0,8.0,9.0,3.0,0.0,9.0,13.0,15.0,0.0,6.0,0.0,0.0,5.0,3.0,10.0,17.0,4.0,0.0,0.0,12.0,3.0,0.0,5.0,8.0,28.0,4.0,1.0,0.0,6.0,1.0,2.0,13.0,6.0,1.0,21.0,25.0,0.0,8.0,5.0,0.0,5.0,14.0,17.0,0.0,0.0,14.0
rna0002,0.0,8.0,15.0,7.0,0.0,0.0,7.0,5.0,3.0,0.0,9.0,15.0,19.0,7.0,9.0,6.0,4.0,0.0,8.0,2.0,5.0,0.0,2.0,0.0,11.0,0.0,2.0,0.0,9.0,10.0,5.0,2.0,6.0,1.0,8.0,0.0,3.0,0.0,7.0,0.0,3.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,5.0,3.0,0.0,2.0,3.0,4.0,5.0,12.0,13.0
rna0003,5.0,19.0,0.0,6.0,0.0,12.0,7.0,3.0,4.0,0.0,16.0,0.0,6.0,0.0,5.0,17.0,8.0,0.0,13.0,6.0,13.0,41.0,6.0,24.0,18.0,11.0,17.0,0.0,0.0,0.0,3.0,6.0,14.0,0.0,4.0,9.0,17.0,7.0,19.0,0.0,7.0,6.0,4.0,11.0,2.0,3.0,6.0,0.0,0.0,5.0,7.0,2.0,2.0,9.0,7.0,7.0,7.0,0.0,0.0,16.0
rna0004,10.0,4.0,0.0,2.0,0.0,2.0,5.0,3.0,0.0,14.0,2.0,3.0,3.0,2.0,2.0,11.0,0.0,1.0,0.0,5.0,11.0,8.0,0.0,0.0,11.0,0.0,6.0,2.0,8.0,10.0,3.0,5.0,8.0,0.0,1.0,8.0,2.0,6.0,24.0,0.0,4.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,5.0,6.0,0.0,8.0,7.0,0.0,13.0,1.0,13.0,15.0
rna0005,11.0,9.0,7.0,6.0,8.0,4.0,0.0,0.0,0.0,15.0,22.0,10.0,19.0,5.0,8.0,8.0,4.0,13.0,2.0,4.0,15.0,0.0,0.0,19.0,13.0,0.0,5.0,10.0,9.0,11.0,4.0,0.0,8.0,0.0,5.0,8.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,3.0,6.0,1.0,0.0,4.0,3.0,3.0,10.0,0.0,0.0,4.0,0.0,3.0,5.0,1.0,0.0,14.0
rna0006,8.0,15.0,4.0,8.0,0.0,4.0,0.0,3.0,1.0,25.0,25.0,3.0,0.0,9.0,0.0,0.0,16.0,20.0,11.0,0.0,5.0,52.0,10.0,27.0,17.0,17.0,16.0,18.0,10.0,42.0,8.0,2.0,11.0,8.0,1.0,5.0,0.0,5.0,5.0,5.0,7.0,3.0,3.0,0.0,4.0,2.0,8.0,3.0,7.0,9.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,5.0,17.0,0.0
rna0007,8.0,24.0,14.0,0.0,3.0,9.0,4.0,4.0,5.0,0.0,7.0,15.0,5.0,0.0,8.0,26.0,6.0,0.0,7.0,0.0,11.0,30.0,5.0,23.0,13.0,5.0,3.0,9.0,23.0,0.0,7.0,7.0,17.0,7.0,13.0,19.0,16.0,18.0,25.0,13.0,22.0,11.0,0.0,0.0,5.0,4.0,12.0,2.0,11.0,9.0,3.0,8.0,0.0,2.0,2.0,5.0,0.0,6.0,0.0,0.0
rna0008,19.0,0.0,9.0,0.0,9.0,8.0,6.0,8.0,10.0,16.0,11.0,7.0,6.0,0.0,14.0,26.0,15.0,10.0,13.0,21.0,11.0,29.0,0.0,19.0,0.0,18.0,17.0,8.0,27.0,39.0,9.0,11.0,25.0,21.0,4.0,0.0,18.0,0.0,39.0,17.0,25.0,16.0,0.0,16.0,0.0,11.0,20.0,4.0,0.0,0.0,13.0,11.0,6.0,13.0,0.0,12.0,22.0,6.0,18.0,0.0
rna0009,12.0,0.0,18.0,2.0,0.0,12.0,9.0,11.0,8.0,0.0,20.0,20.0,15.0,0.0,0.0,8.0,3.0,0.0,7.0,0.0,10.0,18.0,1.0,0.0,28.0,13.0,7.0,16.0,0.0,18.0,0.0,3.0,7.0,1.0,6.0,4.0,8.0,5.0,12.0,5.0,5.0,0.0,3.0,11.0,0.0,1.0,4.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,7.0,0.0,6.0,6.0,10.0
