cell,layer
rna0000,L4
rna0001,L6
rna0002,L2_3
rna0003,L4
rna0004,L6
rna0005,L2_3
rna0006,L4
rna0007,L5
rna0008,L5
rna0009,L2_3
rna0010,L2_3
rna0011,L5
rna0012,L5
rna0013,L2_3
rna0014,L5
rna0015,L2_3
rna0016,L4
rna0017,L6
rna0018,L4
rna0019,L5
rna0020,L6
rna0021,L6
rna0022,L5
rna0023,L5
rna0024,L5
rna0025,L2_3
rna0026,L2_3
rna0027,L5
rna0028,L5
rna0029,L4
rna0030,L2_3
rna0031,L5
rna0032,L5
rna0033,L6
rna0034,L4
rna0035,L6
rna0036,L4
rna0037,L4
rna0038,L2_3
rna0039,L6
rna0040,L6
rna0041,L4
rna0042,L4
rna0043,L2_3
rna0044,L4
rna0045,L2_3
rna0046,L4
rna0047,L2_3
rna0048,L4
rna0049,L6
rna0050,L2_3
rna0051,L2_3
rna0052,L6
rna0053,L5
rna0054,L4
rna0055,L2_3
rna0056,L6
rna0057,L4
rna0058,L5
rna0059,L6
rna0060,L5
rna0061,L4
rna0062,L5
rna0063,L6
rna0064,L2_3
rna0065,L6
rna0066,L2_3
rna0067,L6
rna0068,L5
rna0069,L2_3
rna0070,L4
rna0071,L2_3
rna0072,L2_3
rna0073,L2_3
rna0074,L5
rna0075,L4
rna0076,L4
rna0077,L6
rna0078,L5
rna0079,L6
rna0080,L5
rna0081,L4
rna0082,L2_3
rna0083,L5
rna0084,L2_3
rna0085,L4
rna0086,L5
rna0087,L6
rna0088,L4
rna0089,L4
rna0090,L2_3
rna0091,L6
rna0092,L4
rna0093,L2_3
rna0094,L5
rna0095,L5
rna0096,L6
rna0097,L2_3
rna0098,L5
rna0099,L4
rna0100,L4
rna0101,L4
rna0102,L4
rna0103,L6
rna0104,L2_3
rna0105,L5
rna0106,L4
rna0107,L2_3
rna0108,L4
rna0109,L4
rna0110,L2_3
rna0111,L5
rna0112,L6
rna0113,L2_3
rna0114,L5
rna0115,L5
rna0116,L4
rna0117,L5
rna0118,L5
rna0119,L5
rna0120,L4
rna0121,L4
rna0122,L6
rna0123,L2_3
rna0124,L5
rna0125,L5
rna0126,L5
rna0127,L2_3
rna0128,L5
rna0129,L2_3
rna0130,L4
rna0131,L2_3
rna0132,L6
rna0133,L4
rna0134,L4
rna0135,L5
rna0136,L6
rna0137,L5
rna0138,L4
rna0139,L2_3
rna0140,L2_3
rna0141,L2_3
rna0142,L5
rna0143,L4
rna0144,L2_3
rna0145,L2_3
rna0146,L4
rna0147,L6
rna0148,L5
rna0149,L6
rna0150,L4
rna0151,L4
rna0152,L2_3
rna0153,L6
rna0154,L5
rna0155,L5
rna0156,L5
rna0157,L5
rna0158,L6
rna0159,L5
rna0160,L5
rna0161,L4
rna0162,L6
rna0163,L2_3
rna0164,L5
rna0165,L6
rna0166,L2_3
rna0167,L5
rna0168,L2_3
rna0169,L4
rna0170,L5
rna0171,L6
rna0172,L6
rna0173,L4
rna0174,L5
rna0175,L6
rna0176,L4
rna0177,L4
rna0178,L4
rna0179,L5
rna0180,L6
rna0181,L4
rna0182,L6
rna0183,L4
rna0184,L4
rna0185,L6
rna0186,L6
rna0187,L4
rna0188,L2_3
rna0189,L4
rna0190,L2_3
rna0191,L4
rna0192,L2_3
rna0193,L2_3
rna0194,L4
rna0195,L5
rna0196,L4
rna0197,L5
rna0198,L6
rna0199,L5
rna0200,L6
rna0201,L6
rna0202,L4
rna0203,L5
rna0204,L2_3
rna0205,L4
rna0206,L6
rna0207,L5
rna0208,L5
rna0209,L6
rna0210,L2_3
rna0211,L5
rna0212,L4
rna0213,L5
rna0214,L5
rna0215,L2_3
rna0216,L2_3
rna0217,L2_3
rna0218,L4
rna0219,L4
rna0220,L4
rna0221,L6
rna0222,L6
rna0223,L4
rna0224,L2_3
rna0225,L2_3
rna0226,L6
rna0227,L4
rna0228,L4
rna0229,L4
rna0230,L6
rna0231,L2_3
rna0232,L5
rna0233,L4
rna0234,L4
rna0235,L2_3
rna0236,L6
rna0237,L5
rna0238,L5
rna0239,L2_3
rna0240,L6
rna0241,L2_3
rna0242,L4
rna0243,L4
rna0244,L6
rna0245,L2_3
rna0246,L6
rna0247,L6
rna0248,L4
rna0249,L4
rna0250,L5
rna0251,L6
rna0252,L6
rna0253,L5
rna0254,L5
rna0255,L5
rna0256,L4
rna0257,L2_3
rna0258,L5
rna0259,L2_3
rna0260,L2_3
rna0261,L2_3
rna0262,L6
rna0263,L2_3
rna0264,L6
rna0265,L6
rna0266,L2_3
rna0267,L4
rna0268,L4
rna0269,L5
rna0270,L5
rna0271,L2_3
rna0272,L4
rna0273,L2_3
rna0274,L4
rna0275,L6
rna0276,L6
rna0277,L4
rna0278,L5
rna0279,L6
rna0280,L6
rna0281,L2_3
rna0282,L5
rna0283,L2_3
rna0284,L4
rna0285,L4
rna0286,L6
rna0287,L5
rna0288,L5
rna0289,L6
rna0290,L5
rna0291,L5
rna0292,L2_3
rna0293,L4
rna0294,L4
rna0295,L4
rna0296,L2_3
rna0297,L5
rna0298,L6
rna0299,L2_3
rna0300,L4
rna0301,L5
rna0302,L2_3
rna0303,L6
rna0304,L2_3
rna0305,L5
rna0306,L5
rna0307,L6
rna0308,L5
rna0309,L2_3
rna0310,L4
rna0311,L2_3
rna0312,L6
rna0313,L6
rna0314,L5
rna0315,L6
rna0316,L4
rna0317,L4
rna0318,L4
rna0319,L2_3
