spot,x,y,layer
spot0000,0.0,0,L2_3
spot0001,1.0,0,L2_3
spot0002,2.0,0,L2_3
spot0003,3.0,0,L2_3
spot0004,4.0,0,L2_3
spot0005,5.0,0,L2_3
spot0006,6.0,0,L2_3
spot0007,7.0,0,L2_3
spot0008,8.0,0,L2_3
spot0009,9.0,0,L2_3
spot0010,10.0,0,L2_3
spot0011,11.0,0,L2_3
spot0012,12.0,0,L2_3
spot0013,13.0,0,L2_3
spot0014,0.5,1,L2_3
spot0015,1.5,1,L2_3
spot0016,2.5,1,L2_3
spot0017,3.5,1,L2_3
spot0018,4.5,1,L2_3
spot0019,5.5,1,L2_3
spot0020,6.5,1,L2_3
spot0021,7.5,1,L2_3
spot0022,8.5,1,L2_3
spot0023,9.5,1,L2_3
spot0024,10.5,1,L2_3
spot0025,11.5,1,L2_3
spot0026,12.5,1,L2_3
spot0027,13.5,1,L2_3
spot0028,0.0,2,L2_3
spot0029,1.0,2,L2_3
spot0030,2.0,2,L2_3
spot0031,3.0,2,L2_3
spot0032,4.0,2,L2_3
spot0033,5.0,2,L2_3
spot0034,6.0,2,L2_3
spot0035,7.0,2,L2_3
spot0036,8.0,2,L2_3
spot0037,9.0,2,L2_3
spot0038,10.0,2,L2_3
spot0039,11.0,2,L2_3
spot0040,12.0,2,L2_3
spot0041,13.0,2,L2_3
spot0042,0.5,3,L2_3
spot0043,1.5,3,L2_3
spot0044,2.5,3,L2_3
spot0045,3.5,3,L2_3
spot0046,4.5,3,L2_3
spot0047,5.5,3,L2_3
spot0048,6.5,3,L2_3
spot0049,7.5,3,L2_3
spot0050,8.5,3,L2_3
spot0051,9.5,3,L2_3
spot0052,10.5,3,L2_3
spot0053,11.5,3,L2_3
spot0054,12.5,3,L2_3
spot0055,13.5,3,L2_3
spot0056,0.0,4,L4
spot0057,1.0,4,L4
spot0058,2.0,4,L4
spot0059,3.0,4,L4
spot0060,4.0,4,L4
spot0061,5.0,4,L4
spot0062,6.0,4,L4
spot0063,7.0,4,L4
spot0064,8.0,4,L4
spot0065,9.0,4,L4
spot0066,10.0,4,L4
spot0067,11.0,4,L4
spot0068,12.0,4,L4
spot0069,13.0,4,L4
spot0070,0.5,5,L4
spot0071,1.5,5,L4
spot0072,2.5,5,L4
spot0073,3.5,5,L4
spot0074,4.5,5,L4
spot0075,5.5,5,L4
spot0076,6.5,5,L4
spot0077,7.5,5,L4
spot0078,8.5,5,L4
spot0079,9.5,5,L4
spot0080,10.5,5,L4
spot0081,11.5,5,L4
spot0082,12.5,5,L4
spot0083,13.5,5,L4
spot0084,0.0,6,L4
spot0085,1.0,6,L4
spot0086,2.0,6,L4
spot0087,3.0,6,L4
spot0088,4.0,6,L4
spot0089,5.0,6,L4
spot0090,6.0,6,L4
spot0091,7.0,6,L4
spot0092,8.0,6,L4
spot0093,9.0,6,L4
spot0094,10.0,6,L4
spot0095,11.0,6,L4
spot0096,12.0,6,L4
spot0097,13.0,6,L4
spot0098,0.5,7,L4
spot0099,1.5,7,L4
spot0100,2.5,7,L4
spot0101,3.5,7,L4
spot0102,4.5,7,L4
spot0103,5.5,7,L4
spot0104,6.5,7,L4
spot0105,7.5,7,L4
spot0106,8.5,7,L4
spot0107,9.5,7,L4
spot0108,10.5,7,L4
spot0109,11.5,7,L4
spot0110,12.5,7,L4
spot0111,13.5,7,L4
spot0112,0.0,8,L5
spot0113,1.0,8,L5
spot0114,2.0,8,L5
spot0115,3.0,8,L5
spot0116,4.0,8,L5
spot0117,5.0,8,L5
spot0118,6.0,8,L5
spot0119,7.0,8,L5
spot0120,8.0,8,L5
spot0121,9.0,8,L5
spot0122,10.0,8,L5
spot0123,11.0,8,L5
spot0124,12.0,8,L5
spot0125,13.0,8,L5
spot0126,0.5,9,L5
spot0127,1.5,9,L5
spot0128,2.5,9,L5
spot0129,3.5,9,L5
spot0130,4.5,9,L5
spot0131,5.5,9,L5
spot0132,6.5,9,L5
spot0133,7.5,9,L5
spot0134,8.5,9,L5
spot0135,9.5,9,L5
spot0136,10.5,9,L5
spot0137,11.5,9,L5
spot0138,12.5,9,L5
spot0139,13.5,9,L5
spot0140,0.0,10,L5
spot0141,1.0,10,L5
spot0142,2.0,10,L5
spot0143,3.0,10,L5
spot0144,4.0,10,L5
spot0145,5.0,10,L5
spot0146,6.0,10,L5
spot0147,7.0,10,L5
spot0148,8.0,10,L5
spot0149,9.0,10,L5
spot0150,10.0,10,L5
spot0151,11.0,10,L5
spot0152,12.0,10,L5
spot0153,13.0,10,L5
spot0154,0.5,11,L5
spot0155,1.5,11,L5
spot0156,2.5,11,L5
spot0157,3.5,11,L5
spot0158,4.5,11,L5
spot0159,5.5,11,L5
spot0160,6.5,11,L5
spot0161,7.5,11,L5
spot0162,8.5,11,L5
spot0163,9.5,11,L5
spot0164,10.5,11,L5
spot0165,11.5,11,L5
spot0166,12.5,11,L5
spot0167,13.5,11,L5
spot0168,0.0,12,L6
spot0169,1.0,12,L6
spot0170,2.0,12,L6
spot0171,3.0,12,L6
spot0172,4.0,12,L6
spot0173,5.0,12,L6
spot0174,6.0,12,L6
spot0175,7.0,12,L6
spot0176,8.0,12,L6
spot0177,9.0,12,L6
spot0178,10.0,12,L6
spot0179,11.0,12,L6
spot0180,12.0,12,L6
spot0181,13.0,12,L6
spot0182,0.5,13,L6
spot0183,1.5,13,L6
spot0184,2.5,13,L6
spot0185,3.5,13,L6
spot0186,4.5,13,L6
spot0187,5.5,13,L6
spot0188,6.5,13,L6
spot0189,7.5,13,L6
spot0190,8.5,13,L6
spot0191,9.5,13,L6
spot0192,10.5,13,L6
spot0193,11.5,13,L6
spot0194,12.5,13,L6
spot0195,13.5,13,L6
spot0196,0.0,14,L6
spot0197,1.0,14,L6
spot0198,2.0,14,L6
spot0199,3.0,14,L6
