,Gene000,Gene001,Gene002,Gene003,Gene004,Gene005,Gene006,Gene007,Gene008,Gene009,Gene010,Gene011,Gene012,Gene013,Gene014,Gene015,Gene016,Gene017,Gene018,Gene019,Gene020,Gene021,Gene022,Gene023,Gene024,Gene025,Gene026,Gene027,Gene028,Gene029,Gene030,Gene031,Gene032,Gene033,Gene034,Gene035,Gene036,Gene037,Gene038,Gene039,Gene040,Gene041,Gene042,Gene043,Gene044,Gene045,Gene046,Gene047,Gene048,Gene049,Gene050,Gene051,Gene052,Gene053,Gene054,Gene055,Gene056,Gene057,Gene058,Gene059
spot0000,11.0,15.0,13.0,13.0,11.0,25.0,8.0,12.0,11.0,17.0,12.0,17.0,23.0,16.0,13.0,13.0,11.0,10.0,11.0,11.0,21.0,21.0,7.0,15.0,22.0,28.0,9.0,10.0,20.0,19.0,9.0,4.0,3.0,4.0,17.0,11.0,9.0,7.0,3.0,12.0,11.0,7.0,4.0,8.0,11.0,3.0,5.0,9.0,2.0,4.0,12.0,5.0,2.0,8.0,4.0,5.0,5.0,10.0,9.0,14.0
spot0001,14.0,12.0,9.0,8.0,19.0,21.0,8.0,14.0,13.0,19.0,9.0,15.0,13.0,12.0,13.0,6.0,6.0,10.0,8.0,7.0,11.0,23.0,11.0,13.0,19.0,30.0,8.0,19.0,14.0,15.0,8.0,2.0,8.0,4.0,14.0,6.0,11.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,11.0,4.0,6.0,10.0,4.0,3.0,19.0,9.0,1.0,2.0,1.0,1.0,10.0,14.0,5.0,17.0
spot0002,14.0,12.0,18.0,12.0,10.0,21.0,9.0,11.0,15.0,10.0,10.0,19.0,14.0,19.0,13.0,8.0,12.0,11.0,9.0,9.0,14.0,15.0,9.0,15.0,27.0,34.0,16.0,14.0,13.0,21.0,16.0,4.0,5.0,3.0,11.0,6.0,9.0,7.0,4.0,10.0,4.0,8.0,4.0,4.0,5.0,8.0,4.0,4.0,6.0,5.0,14.0,3.0,3.0,1.0,5.0,6.0,3.0,8.0,9.0,14.0
spot0003,16.0,15.0,11.0,6.0,23.0,22.0,9.0,11.0,12.0,20.0,19.0,21.0,21.0,12.0,10.0,5.0,9.0,15.0,4.0,5.0,11.0,24.0,7.0,10.0,26.0,33.0,11.0,19.0,14.0,20.0,10.0,9.0,8.0,2.0,11.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,7.0,3.0,6.0,9.0,4.0,1.0,12.0,5.0,4.0,5.0,7.0,5.0,2.0,10.0,7.0,11.0
spot0004,12.0,14.0,14.0,14.0,13.0,29.0,9.0,15.0,13.0,17.0,14.0,21.0,14.0,14.0,15.0,6.0,5.0,12.0,6.0,7.0,14.0,12.0,7.0,16.0,22.0,22.0,7.0,18.0,11.0,18.0,8.0,9.0,4.0,5.0,11.0,7.0,6.0,6.0,5.0,9.0,5.0,4.0,10.0,7.0,5.0,3.0,12.0,5.0,8.0,0.0,20.0,6.0,2.0,4.0,6.0,6.0,12.0,7.0,7.0,16.0
spot0005,15.0,15.0,15.0,9.0,10.0,23.0,17.0,14.0,13.0,22.0,18.0,12.0,14.0,14.0,16.0,4.0,10.0,9.0,9.0,9.0,8.0,26.0,4.0,9.0,20.0,30.0,10.0,16.0,21.0,22.0,10.0,3.0,5.0,5.0,11.0,5.0,2.0,9.0,7.0,4.0,10.0,7.0,9.0,4.0,6.0,3.0,9.0,4.0,2.0,1.0,25.0,8.0,1.0,2.0,4.0,3.0,12.0,17.0,5.0,20.0
spot0006,10.0,17.0,20.0,16.0,20.0,21.0,10.0,10.0,10.0,18.0,16.0,22.0,20.0,18.0,11.0,10.0,8.0,8.0,8.0,9.0,13.0,19.0,4.0,14.0,20.0,28.0,12.0,16.0,13.0,11.0,4.0,8.0,6.0,5.0,12.0,8.0,4.0,5.0,10.0,6.0,1.0,9.0,6.0,4.0,7.0,3.0,7.0,9.0,4.0,0.0,10.0,5.0,2.0,6.0,5.0,4.0,9.0,10.0,9.0,14.0
spot0007,10.0,14.0,13.0,9.0,16.0,24.0,6.0,16.0,15.0,18.0,11.0,18.0,12.0,12.0,21.0,4.0,8.0,9.0,5.0,7.0,12.0,24.0,7.0,11.0,19.0,33.0,8.0,18.0,19.0,24.0,11.0,7.0,3.0,5.0,7.0,10.0,10.0,6.0,8.0,5.0,7.0,1.0,5.0,4.0,9.0,5.0,5.0,4.0,4.0,2.0,16.0,7.0,3.0,5.0,8.0,7.0,9.0,13.0,10.0,17.0
spot0008,12.0,10.0,13.0,5.0,22.0,31.0,16.0,17.0,14.0,15.0,14.0,11.0,15.0,12.0,10.0,12.0,7.0,11.0,4.0,12.0,13.0,18.0,5.0,20.0,23.0,28.0,9.0,22.0,14.0,17.0,10.0,8.0,9.0,5.0,16.0,3.0,13.0,6.0,6.0,7.0,6.0,8.0,5.0,3.0,8.0,3.0,3.0,8.0,7.0,3.0,20.0,3.0,1.0,5.0,4.0,5.0,5.0,13.0,3.0,17.0
spot0009,9.0,14.0,11.0,14.0,15.0,16.0,12.0,19.0,20.0,16.0,15.0,9.0,15.0,16.0,24.0,11.0,6.0,16.0,7.0,10.0,12.0,24.0,6.0,11.0,15.0,43.0,6.0,16.0,14.0,16.0,8.0,9.0,7.0,4.0,7.0,11.0,3.0,1.0,7.0,1.0,9.0,3.0,4.0,3.0,10.0,3.0,8.0,11.0,5.0,5.0,15.0,6.0,4.0,5.0,5.0,6.0,9.0,7.0,9.0,26.0
