# synthetic, for demo only -- generated by 580_novae_spatial_fm.py
cell_id,slide,x,y,domain_true,cell_type_true,G000,G001,G002,G003,G004,G005,G006,G007,G008,G009,G010,G011,G012,G013,G014,G015,G016,G017,G018,G019,G020,G021,G022,G023,G024,G025,G026,G027,G028,G029,G030,G031,G032,G033,G034,G035,G036,G037,G038,G039
s1_c0000,slide1,0.053,0.176,D0,CT2,10,3,7,8,4,3,0,0,0,5,6,2,4,1,1,0,2,1,1,4,2,1,1,2,1,1,2,0,1,2,3,2,0,5,0,1,5,6,2,0
s1_c0001,slide1,0.728,-0.064,D0,CT0,0,4,2,9,0,2,0,1,1,2,4,0,2,1,2,1,1,2,1,4,0,10,2,5,12,6,3,3,2,0,0,3,0,6,2,3,2,0,1,2
s1_c0002,slide1,2.116,0.135,D0,CT0,5,5,4,3,1,4,0,1,0,1,3,0,2,1,0,1,0,4,1,2,1,1,5,4,13,4,2,0,1,0,3,4,3,9,1,3,3,4,0,3
s1_c0003,slide1,2.959,-0.124,D0,CT1,1,1,3,0,1,0,1,1,0,1,2,4,1,0,0,0,2,3,3,2,1,1,0,1,2,4,2,4,3,2,1,0,0,3,0,3,1,1,0,2
s1_c0004,slide1,4.065,-0.122,D0,CT3,1,5,3,2,0,0,0,0,1,0,4,2,0,0,0,3,1,0,1,0,0,2,4,2,6,4,0,1,1,2,0,2,1,1,0,4,0,3,1,3
s1_c0005,slide1,4.939,0.107,D0,CT0,4,4,0,3,0,1,1,0,2,1,1,1,4,1,1,1,3,2,0,3,0,4,2,4,9,3,2,0,1,0,2,1,1,5,2,3,2,0,1,1
s1_c0006,slide1,6.058,-0.108,D0,CT0,0,3,1,7,1,1,0,0,1,2,3,0,2,1,1,3,1,1,0,2,1,7,4,2,12,7,2,1,0,1,0,5,2,6,3,1,5,0,1,3
s1_c0007,slide1,6.807,0.138,D0,CT0,4,1,0,5,0,0,0,0,0,2,4,2,4,2,1,1,0,2,0,6,1,8,4,5,9,1,1,0,2,2,0,1,1,6,0,1,7,1,3,5
s1_c0008,slide1,8.214,0.431,D0,CT0,3,5,4,6,0,0,0,0,0,3,4,0,6,0,0,0,0,2,0,2,0,5,7,5,13,10,2,0,1,1,1,3,1,3,4,1,3,1,0,3
s1_c0009,slide1,8.693,-0.304,D2,CT0,1,2,0,2,1,1,0,1,4,1,1,0,4,0,2,1,0,0,0,1,0,5,4,7,9,3,2,1,1,0,2,0,1,8,3,7,2,1,1,5
s1_c0010,slide1,9.813,-0.135,D2,CT0,4,10,0,4,1,1,0,0,1,2,2,2,4,1,2,1,0,2,1,1,0,5,2,3,5,3,0,1,2,1,3,4,0,6,2,4,2,1,2,2
s1_c0011,slide1,11.042,0.202,D2,CT2,6,2,6,5,0,1,0,0,0,5,2,1,3,3,2,0,2,4,1,8,3,3,1,3,2,4,2,2,1,3,2,2,2,6,0,0,6,5,6,2
s1_c0012,slide1,12.263,-0.026,D2,CT1,3,2,2,3,0,0,3,1,2,1,4,3,1,0,0,5,1,1,1,0,2,3,1,0,2,3,3,4,0,2,2,0,2,0,1,3,1,0,2,0
s1_c0013,slide1,13.05,0.209,D2,CT0,2,5,1,6,0,0,0,0,0,3,2,3,2,0,1,2,3,2,1,5,1,4,3,5,10,5,1,1,0,1,0,3,2,9,0,4,1,1,4,2
s1_c0014,slide1,13.955,-0.182,D2,CT3,2,5,4,1,0,1,2,1,3,0,1,1,0,1,0,3,2,0,0,0,4,1,2,0,8,5,0,4,0,0,4,2,5,1,1,3,0,4,2,1
