!Series_title	"synthetic demo series"
!Series_geo_accession	"GSE00000"
"ID_REF"	"S01_con"	"S02_con"	"S03_con"	"S01_tre"	"S02_tre"	"S03_tre"
"PROBE0001"	7.435	8.41	8.074	9.938	7.016	8.775
"PROBE0002"	9.109	7.174	6.709	7.17	10	6.343
"PROBE0003"	8.692	5.131	7.964	9.169	6.637	9.251
"PROBE0004"	7.693	4.462	6.446	7.05	8.407	6.218
"PROBE0005"	8.343	10.083	7.627	7.329	5.643	5.828
"PROBE0006"	6.12	6.181	6.503	7.591	4.495	7.387
"PROBE0007"	6.212	9.018	4.756	7.442	7.246	9.086
"PROBE0008"	6.014	9.104	6.375	8.21	5.165	5.505
"PROBE0009"	7.853	7.717	5.28	6.985	6.506	4.836
"PROBE0010"	7.323	6.803	3.092	9.371	6.458	8.308
"PROBE0011"	5.834	6.93	6.976	6.456	6.692	7.25
"PROBE0012"	6.885	4.547	5.8	7.33	6.104	6.01
"PROBE0013"	6.521	6.158	7.22	7.409	9.284	5.378
"PROBE0014"	5.364	7.621	5.619	4.703	5.8	8.62
"PROBE0015"	6.714	7.948	7.277	7.104	6.168	6.564
"PROBE0016"	8.019	6.469	6.051	6.051	7.698	8.917
"PROBE0017"	7.587	5.174	5.858	7.53	4.147	5.624
"PROBE0018"	8.313	7.45	8.249	4.66	6.107	5.074
"PROBE0019"	8.732	5.05	7.472	5.514	9.55	7.429
"PROBE0020"	6.428	9.773	6.178	6.648	7.173	6.797
"PROBE0021"	7.206	9.175	6.002	7.773	8.607	8.755
"PROBE0022"	8.907	8.321	9.479	4.088	9.267	10.271
"PROBE0023"	9.35	8.626	9.392	9.233	6.075	6.858
"PROBE0024"	6.371	6.599	7.937	6.524	6.831	5.898
"PROBE0025"	6.303	6.266	3.846	7.72	6.807	7.576
"PROBE0026"	4.201	8.532	5.5	5.454	5.888	7.157
"PROBE0027"	5.252	6.609	7.096	7.903	7.353	6.039
"PROBE0028"	9.877	5.026	7.736	5.326	5.983	6.875
"PROBE0029"	7.587	9.786	8.738	8.03	9.202	6.561
"PROBE0030"	8.544	7.622	8.407	6.932	5.192	8.582
