target,TF0,TF1,TF2,TF3,TF4,TF5
TG00,0,1,0,0,0,1
TG01,0,0,0,1,0,1
TG02,0,1,0,0,0,1
TG03,0,0,0,0,1,0
TG04,0,1,0,0,1,0
TG05,0,0,0,0,1,0
TG06,0,1,0,0,0,0
TG07,1,0,0,0,0,0
TG08,0,0,1,0,0,0
TG09,0,1,0,0,1,0
TG10,0,0,0,1,0,0
TG11,0,0,0,0,0,1
TG12,0,0,0,1,0,0
TG13,0,0,1,0,0,0
TG14,0,0,0,0,0,1
TG15,0,0,0,1,1,0
TG16,1,0,0,0,0,0
TG17,0,1,0,0,0,0
TG18,0,1,0,0,0,0
TG19,1,0,0,0,0,1
TG20,1,0,1,0,0,0
TG21,1,0,0,0,0,0
TG22,0,1,0,1,0,0
TG23,0,0,0,0,1,0
TG24,0,1,0,0,0,0
TG25,0,0,0,0,1,0
TG26,1,1,0,0,0,0
TG27,0,0,1,0,0,0
TG28,1,0,0,0,1,0
TG29,1,0,0,1,0,0
TG30,1,1,0,0,0,0
TG31,0,1,0,0,0,0
TG32,0,0,1,0,0,0
TG33,0,0,0,1,1,0
TG34,0,0,0,0,0,1
TG35,0,0,0,0,1,0
TG36,0,0,1,0,0,0
TG37,0,0,0,1,1,0
TG38,0,0,0,1,0,1
TG39,0,0,1,0,1,0
TG40,0,0,0,1,0,0
TG41,0,0,0,0,0,1
TG42,1,0,0,0,0,0
TG43,0,0,0,0,0,1
TG44,0,0,1,0,0,1
TG45,0,0,1,0,0,0
TG46,1,0,0,0,1,0
TG47,0,0,1,1,0,0
TG48,0,0,1,0,0,0
TG49,0,0,1,0,0,0
TG50,0,1,0,0,1,0
TG51,0,1,0,0,0,0
TG52,0,0,1,0,1,0
TG53,0,0,0,0,0,1
