# synthetic, for demo only -- generated by _make_example_data.py (seed=2026)
gene,true_direction
G000,-1
G001,-1
G002,-1
G003,-1
G004,-1
G005,-1
G006,-1
G007,-1
G008,1
G009,1
G010,-1
G011,-1
G012,1
G013,1
G014,-1
G015,1
G016,-1
G017,-1
G018,1
G019,-1
G020,1
G021,1
G022,-1
G023,1
G024,1
G025,-1
G026,1
G027,-1
G028,1
G029,-1
G030,-1
G031,-1
G032,-1
G033,1
G034,1
G035,1
G036,1
G037,1
G038,1
G039,-1
G040,1
G041,1
G042,1
G043,1
G044,-1
G045,-1
G046,-1
G047,1
G048,-1
G049,-1
G050,-1
G051,1
G052,-1
G053,-1
G054,1
G055,1
G056,1
G057,-1
G058,1
G059,-1
