# synthetic, for demo only -- generated by _make_example_data.py (seed=2026)
cell,x,y,true_time,cluster
C0000,9.846,12.171,0.6075,mid
C0001,11.222,15.005,0.6898,late
C0002,10.038,0.788,0.2766,early
C0003,4.354,18.147,0.6024,mid
C0004,15.026,17.009,0.8861,late
C0005,7.068,7.902,0.4427,mid
C0006,19.042,17.861,0.9542,late
C0007,7.075,2.898,0.2631,early
C0008,2.134,0.982,0.0491,early
C0009,8.04,2.444,0.2117,early
C0010,6.121,19.04,0.7161,late
C0011,8.007,3.844,0.2656,early
C0012,17.163,14.24,0.7951,late
C0013,5.01,1.252,0.1932,early
C0014,10.983,18.734,0.7204,late
C0015,1.902,16.841,0.5248,mid
C0016,2.959,0.094,0.0482,early
C0017,6.861,15.988,0.5513,mid
C0018,3.03,7.89,0.2671,early
C0019,12.864,1.013,0.3309,mid
C0020,14.131,2.91,0.468,mid
C0021,1.887,2.979,0.2087,early
C0022,14.043,13.919,0.7756,late
C0023,14.95,0.965,0.45,mid
C0024,9.837,13.973,0.6025,mid
C0025,7.916,0.238,0.2117,early
C0026,13.922,4.069,0.4857,mid
C0027,9.057,0.832,0.2654,early
C0028,2.813,4.933,0.2193,early
C0029,10.099,5.914,0.3683,mid
C0030,5.902,3.565,0.3451,mid
C0031,3.94,4.047,0.1509,early
C0032,1.067,9.064,0.2662,early
C0033,0.951,17.966,0.5446,mid
C0034,8.125,9.98,0.4446,mid
C0035,18.655,8.153,0.762,late
C0036,5.838,3.206,0.1743,early
C0037,16.254,9.114,0.6346,mid
C0038,17.136,18.279,0.8169,late
C0039,12.835,16.038,0.8149,late
C0040,13.036,1.855,0.3378,mid
C0041,15.302,2.913,0.4497,mid
C0042,6.89,10.04,0.4889,mid
C0043,7.155,13.91,0.5759,mid
C0044,15.91,8.076,0.6882,late
C0045,4.786,6.884,0.3452,mid
C0046,5.874,12.935,0.5441,mid
C0047,17.979,3.277,0.5394,mid
C0048,9.136,17.003,0.6869,late
C0049,14.966,8.131,0.6485,mid
C0050,18.064,2.134,0.5733,mid
C0051,8.207,0.849,0.2916,early
C0052,-0.338,12.997,0.3002,early
C0053,11.012,10.043,0.5033,mid
C0054,1.91,11.965,0.3076,early
C0055,17.084,2.092,0.4853,mid
C0056,9.2,15.675,0.6529,mid
C0057,16.753,10.219,0.6532,mid
C0058,12.091,19.119,0.8145,late
C0059,14.957,3.929,0.5329,mid
C0060,17.03,8.859,0.7339,late
C0061,-0.23,3.833,0.0723,early
C0062,10.017,3.096,0.3787,mid
C0063,6.248,6.056,0.2653,early
C0064,15.071,15.253,0.7675,late
C0065,9.884,14.856,0.6597,mid
C0066,7.919,10.986,0.4695,mid
C0067,8.303,11.948,0.4981,mid
C0068,14.196,12.929,0.7302,late
C0069,7.074,13.102,0.4855,mid
C0070,5.08,5.113,0.2795,early
C0071,0.897,3.218,0.1096,early
C0072,9.147,8.895,0.5046,mid
C0073,0.076,6.839,0.2259,early
C0074,6.014,16.824,0.6113,mid
C0075,0.108,2.445,0.0492,early
C0076,13.221,19.11,0.9032,late
C0077,17.865,11.057,0.7735,late
C0078,12.178,15.987,0.6999,late
C0079,7.019,16.746,0.6374,mid
C0080,8.872,3.723,0.306,early
C0081,11.287,11.071,0.4657,mid
C0082,4.109,13.97,0.4321,mid
C0083,-0.219,9.026,0.2186,early
C0084,10.905,6.855,0.4488,mid
C0085,8.008,6.016,0.2971,early
C0086,2.973,15.884,0.4829,mid
C0087,13.852,2.001,0.4431,mid
C0088,2.183,9.759,0.2625,early
C0089,9.901,1.976,0.3306,mid
C0090,16.976,11.911,0.6614,late
C0091,14.289,15.06,0.8,late
C0092,4.852,1.718,0.1507,early
C0093,18.974,11.222,0.7299,late
C0094,11.029,17.653,0.8127,late
C0095,11.793,11.018,0.627,mid
C0096,7.16,7.021,0.4254,mid
C0097,1.022,17.161,0.4981,mid
C0098,11.188,-0.101,0.3144,early
C0099,18.066,18.856,0.9535,late
C0100,15.839,1.088,0.4708,mid
C0101,13.786,1.025,0.3902,mid
C0102,4.047,5.129,0.2151,early
C0103,0.827,8.057,0.2299,early
C0104,3.981,13.223,0.3933,mid
C0105,0.889,1.833,0.0769,early
C0106,2.075,8.872,0.3152,early
C0107,-0.194,3.137,0.0901,early
C0108,19.065,-0.467,0.5216,mid
C0109,6.862,1.834,0.2189,early
C0110,10.097,16.221,0.6969,late
C0111,16.309,16.106,0.8561,late
C0112,4.836,14.83,0.6173,mid
C0113,13.857,8.073,0.5157,mid
C0114,16.19,3.712,0.6279,mid
C0115,17.091,19.139,0.9183,late
C0116,8.047,19.485,0.7104,late
C0117,16.08,11.005,0.7292,late
C0118,6.092,1.918,0.2453,early
C0119,9.835,4.063,0.3691,mid
C0120,11.173,7.965,0.5186,mid
C0121,4.139,1.944,0.2353,early
C0122,10.245,18.032,0.8757,late
C0123,1.08,14.115,0.4249,mid
C0124,13.797,11.973,0.7157,late
C0125,8.276,3.005,0.2973,early
C0126,15.21,0.133,0.4908,mid
C0127,18.726,19.106,0.991,late
C0128,-0.163,5.039,0.16,early
C0129,11.938,9.003,0.5031,mid
