cell_id,sample_id,batch,if_control
ctrl_b1_c000,ctrl_b1,b1,True
ctrl_b1_c001,ctrl_b1,b1,True
ctrl_b1_c002,ctrl_b1,b1,True
ctrl_b1_c003,ctrl_b1,b1,True
ctrl_b1_c004,ctrl_b1,b1,True
ctrl_b1_c005,ctrl_b1,b1,True
ctrl_b1_c006,ctrl_b1,b1,True
ctrl_b1_c007,ctrl_b1,b1,True
ctrl_b1_c008,ctrl_b1,b1,True
ctrl_b1_c009,ctrl_b1,b1,True
ctrl_b1_c010,ctrl_b1,b1,True
ctrl_b1_c011,ctrl_b1,b1,True
ctrl_b1_c012,ctrl_b1,b1,True
ctrl_b1_c013,ctrl_b1,b1,True
ctrl_b1_c014,ctrl_b1,b1,True
ctrl_b1_c015,ctrl_b1,b1,True
ctrl_b1_c016,ctrl_b1,b1,True
ctrl_b1_c017,ctrl_b1,b1,True
ctrl_b1_c018,ctrl_b1,b1,True
ctrl_b1_c019,ctrl_b1,b1,True
ctrl_b1_c020,ctrl_b1,b1,True
ctrl_b1_c021,ctrl_b1,b1,True
ctrl_b1_c022,ctrl_b1,b1,True
ctrl_b1_c023,ctrl_b1,b1,True
ctrl_b1_c024,ctrl_b1,b1,True
ctrl_b1_c025,ctrl_b1,b1,True
ctrl_b1_c026,ctrl_b1,b1,True
ctrl_b1_c027,ctrl_b1,b1,True
ctrl_b1_c028,ctrl_b1,b1,True
ctrl_b1_c029,ctrl_b1,b1,True
ctrl_b1_c030,ctrl_b1,b1,True
ctrl_b1_c031,ctrl_b1,b1,True
ctrl_b1_c032,ctrl_b1,b1,True
ctrl_b1_c033,ctrl_b1,b1,True
ctrl_b1_c034,ctrl_b1,b1,True
ctrl_b1_c035,ctrl_b1,b1,True
ctrl_b1_c036,ctrl_b1,b1,True
ctrl_b1_c037,ctrl_b1,b1,True
ctrl_b1_c038,ctrl_b1,b1,True
ctrl_b1_c039,ctrl_b1,b1,True
ctrl_b1_c040,ctrl_b1,b1,True
ctrl_b1_c041,ctrl_b1,b1,True
ctrl_b1_c042,ctrl_b1,b1,True
ctrl_b1_c043,ctrl_b1,b1,True
ctrl_b1_c044,ctrl_b1,b1,True
ctrl_b1_c045,ctrl_b1,b1,True
ctrl_b1_c046,ctrl_b1,b1,True
ctrl_b1_c047,ctrl_b1,b1,True
ctrl_b1_c048,ctrl_b1,b1,True
ctrl_b1_c049,ctrl_b1,b1,True
ctrl_b1_c050,ctrl_b1,b1,True
ctrl_b1_c051,ctrl_b1,b1,True
ctrl_b1_c052,ctrl_b1,b1,True
ctrl_b1_c053,ctrl_b1,b1,True
ctrl_b1_c054,ctrl_b1,b1,True
ctrl_b1_c055,ctrl_b1,b1,True
ctrl_b1_c056,ctrl_b1,b1,True
ctrl_b1_c057,ctrl_b1,b1,True
ctrl_b1_c058,ctrl_b1,b1,True
ctrl_b1_c059,ctrl_b1,b1,True
ctrl_b1_c060,ctrl_b1,b1,True
ctrl_b1_c061,ctrl_b1,b1,True
ctrl_b1_c062,ctrl_b1,b1,True
ctrl_b1_c063,ctrl_b1,b1,True
ctrl_b1_c064,ctrl_b1,b1,True
ctrl_b1_c065,ctrl_b1,b1,True
ctrl_b1_c066,ctrl_b1,b1,True
ctrl_b1_c067,ctrl_b1,b1,True
ctrl_b1_c068,ctrl_b1,b1,True
ctrl_b1_c069,ctrl_b1,b1,True
ctrl_b1_c070,ctrl_b1,b1,True
ctrl_b1_c071,ctrl_b1,b1,True
ctrl_b1_c072,ctrl_b1,b1,True
ctrl_b1_c073,ctrl_b1,b1,True
ctrl_b1_c074,ctrl_b1,b1,True
ctrl_b1_c075,ctrl_b1,b1,True
ctrl_b1_c076,ctrl_b1,b1,True
ctrl_b1_c077,ctrl_b1,b1,True
ctrl_b1_c078,ctrl_b1,b1,True
ctrl_b1_c079,ctrl_b1,b1,True
ctrl_b1_c080,ctrl_b1,b1,True
ctrl_b1_c081,ctrl_b1,b1,True
ctrl_b1_c082,ctrl_b1,b1,True
ctrl_b1_c083,ctrl_b1,b1,True
ctrl_b1_c084,ctrl_b1,b1,True
ctrl_b1_c085,ctrl_b1,b1,True
ctrl_b1_c086,ctrl_b1,b1,True
ctrl_b1_c087,ctrl_b1,b1,True
ctrl_b1_c088,ctrl_b1,b1,True
ctrl_b1_c089,ctrl_b1,b1,True
ctrl_b1_c090,ctrl_b1,b1,True
ctrl_b1_c091,ctrl_b1,b1,True
ctrl_b1_c092,ctrl_b1,b1,True
ctrl_b1_c093,ctrl_b1,b1,True
ctrl_b1_c094,ctrl_b1,b1,True
ctrl_b1_c095,ctrl_b1,b1,True
ctrl_b1_c096,ctrl_b1,b1,True
ctrl_b1_c097,ctrl_b1,b1,True
ctrl_b1_c098,ctrl_b1,b1,True
ctrl_b1_c099,ctrl_b1,b1,True
ctrl_b1_c100,ctrl_b1,b1,True
ctrl_b1_c101,ctrl_b1,b1,True
ctrl_b1_c102,ctrl_b1,b1,True
ctrl_b1_c103,ctrl_b1,b1,True
ctrl_b1_c104,ctrl_b1,b1,True
ctrl_b1_c105,ctrl_b1,b1,True
ctrl_b1_c106,ctrl_b1,b1,True
ctrl_b1_c107,ctrl_b1,b1,True
ctrl_b1_c108,ctrl_b1,b1,True
ctrl_b1_c109,ctrl_b1,b1,True
ctrl_b1_c110,ctrl_b1,b1,True
ctrl_b1_c111,ctrl_b1,b1,True
ctrl_b1_c112,ctrl_b1,b1,True
ctrl_b1_c113,ctrl_b1,b1,True
ctrl_b1_c114,ctrl_b1,b1,True
ctrl_b1_c115,ctrl_b1,b1,True
ctrl_b1_c116,ctrl_b1,b1,True
ctrl_b1_c117,ctrl_b1,b1,True
ctrl_b1_c118,ctrl_b1,b1,True
ctrl_b1_c119,ctrl_b1,b1,True
ctrl_b1_c120,ctrl_b1,b1,True
ctrl_b1_c121,ctrl_b1,b1,True
ctrl_b1_c122,ctrl_b1,b1,True
ctrl_b1_c123,ctrl_b1,b1,True
ctrl_b1_c124,ctrl_b1,b1,True
ctrl_b1_c125,ctrl_b1,b1,True
ctrl_b1_c126,ctrl_b1,b1,True
ctrl_b1_c127,ctrl_b1,b1,True
ctrl_b1_c128,ctrl_b1,b1,True
ctrl_b1_c129,ctrl_b1,b1,True
ctrl_b1_c130,ctrl_b1,b1,True
ctrl_b1_c131,ctrl_b1,b1,True
ctrl_b1_c132,ctrl_b1,b1,True
ctrl_b1_c133,ctrl_b1,b1,True
ctrl_b1_c134,ctrl_b1,b1,True
ctrl_b1_c135,ctrl_b1,b1,True
ctrl_b1_c136,ctrl_b1,b1,True
ctrl_b1_c137,ctrl_b1,b1,True
ctrl_b1_c138,ctrl_b1,b1,True
ctrl_b1_c139,ctrl_b1,b1,True
ctrl_b1_c140,ctrl_b1,b1,True
ctrl_b1_c141,ctrl_b1,b1,True
ctrl_b1_c142,ctrl_b1,b1,True
ctrl_b1_c143,ctrl_b1,b1,True
ctrl_b1_c144,ctrl_b1,b1,True
ctrl_b1_c145,ctrl_b1,b1,True
ctrl_b1_c146,ctrl_b1,b1,True
ctrl_b1_c147,ctrl_b1,b1,True
ctrl_b1_c148,ctrl_b1,b1,True
ctrl_b1_c149,ctrl_b1,b1,True
pertA_b1_c000,pertA_b1,b1,False
pertA_b1_c001,pertA_b1,b1,False
pertA_b1_c002,pertA_b1,b1,False
pertA_b1_c003,pertA_b1,b1,False
pertA_b1_c004,pertA_b1,b1,False
pertA_b1_c005,pertA_b1,b1,False
pertA_b1_c006,pertA_b1,b1,False
pertA_b1_c007,pertA_b1,b1,False
pertA_b1_c008,pertA_b1,b1,False
pertA_b1_c009,pertA_b1,b1,False
pertA_b1_c010,pertA_b1,b1,False
pertA_b1_c011,pertA_b1,b1,False
pertA_b1_c012,pertA_b1,b1,False
pertA_b1_c013,pertA_b1,b1,False
pertA_b1_c014,pertA_b1,b1,False
pertA_b1_c015,pertA_b1,b1,False
pertA_b1_c016,pertA_b1,b1,False
pertA_b1_c017,pertA_b1,b1,False
pertA_b1_c018,pertA_b1,b1,False
pertA_b1_c019,pertA_b1,b1,False
pertA_b1_c020,pertA_b1,b1,False
pertA_b1_c021,pertA_b1,b1,False
pertA_b1_c022,pertA_b1,b1,False
pertA_b1_c023,pertA_b1,b1,False
pertA_b1_c024,pertA_b1,b1,False
pertA_b1_c025,pertA_b1,b1,False
pertA_b1_c026,pertA_b1,b1,False
pertA_b1_c027,pertA_b1,b1,False
pertA_b1_c028,pertA_b1,b1,False
pertA_b1_c029,pertA_b1,b1,False
pertA_b1_c030,pertA_b1,b1,False
pertA_b1_c031,pertA_b1,b1,False
pertA_b1_c032,pertA_b1,b1,False
pertA_b1_c033,pertA_b1,b1,False
pertA_b1_c034,pertA_b1,b1,False
pertA_b1_c035,pertA_b1,b1,False
pertA_b1_c036,pertA_b1,b1,False
pertA_b1_c037,pertA_b1,b1,False
pertA_b1_c038,pertA_b1,b1,False
pertA_b1_c039,pertA_b1,b1,False
pertA_b1_c040,pertA_b1,b1,False
pertA_b1_c041,pertA_b1,b1,False
pertA_b1_c042,pertA_b1,b1,False
pertA_b1_c043,pertA_b1,b1,False
pertA_b1_c044,pertA_b1,b1,False
pertA_b1_c045,pertA_b1,b1,False
pertA_b1_c046,pertA_b1,b1,False
pertA_b1_c047,pertA_b1,b1,False
pertA_b1_c048,pertA_b1,b1,False
pertA_b1_c049,pertA_b1,b1,False
pertA_b1_c050,pertA_b1,b1,False
pertA_b1_c051,pertA_b1,b1,False
pertA_b1_c052,pertA_b1,b1,False
pertA_b1_c053,pertA_b1,b1,False
pertA_b1_c054,pertA_b1,b1,False
pertA_b1_c055,pertA_b1,b1,False
pertA_b1_c056,pertA_b1,b1,False
pertA_b1_c057,pertA_b1,b1,False
pertA_b1_c058,pertA_b1,b1,False
pertA_b1_c059,pertA_b1,b1,False
pertA_b1_c060,pertA_b1,b1,False
pertA_b1_c061,pertA_b1,b1,False
pertA_b1_c062,pertA_b1,b1,False
pertA_b1_c063,pertA_b1,b1,False
pertA_b1_c064,pertA_b1,b1,False
pertA_b1_c065,pertA_b1,b1,False
pertA_b1_c066,pertA_b1,b1,False
pertA_b1_c067,pertA_b1,b1,False
pertA_b1_c068,pertA_b1,b1,False
pertA_b1_c069,pertA_b1,b1,False
pertA_b1_c070,pertA_b1,b1,False
pertA_b1_c071,pertA_b1,b1,False
pertA_b1_c072,pertA_b1,b1,False
pertA_b1_c073,pertA_b1,b1,False
pertA_b1_c074,pertA_b1,b1,False
pertA_b1_c075,pertA_b1,b1,False
pertA_b1_c076,pertA_b1,b1,False
pertA_b1_c077,pertA_b1,b1,False
