cell_id,PRG1_G1,PRG1_G2,PRG1_G3,PRG1_G4,PRG1_G5,PRG1_G6,PRG2_G1,PRG2_G2,PRG2_G3,PRG2_G4,PRG2_G5,PRG2_G6,PRG3_G1,PRG3_G2,PRG3_G3,PRG3_G4,PRG3_G5,PRG3_G6,PRG4_G1,PRG4_G2,PRG4_G3,PRG4_G4,PRG4_G5,PRG4_G6,PRG5_G1,PRG5_G2,PRG5_G3,PRG5_G4,PRG5_G5,PRG5_G6,PRG6_G1,PRG6_G2,PRG6_G3,PRG6_G4,PRG6_G5,PRG6_G6,PRG7_G1,PRG7_G2,PRG7_G3,PRG7_G4,PRG7_G5,PRG7_G6,PRG8_G1,PRG8_G2,PRG8_G3,PRG8_G4,PRG8_G5,PRG8_G6
ctrl_b1_c000,3.8864,3.2135,4.285,4.5692,3.2135,4.285,5.8833,6.219,6.3523,6.5751,6.4322,6.219,6.2654,5.8833,6.219,5.5742,5.5742,6.219,3.2135,4.9712,4.5692,3.8864,4.285,3.8864,3.8864,4.285,3.2135,4.5692,3.2135,3.8864,5.5742,5.7406,6.2654,5.6609,6.1703,6.219,0.0,3.8864,3.2135,4.7903,4.5692,4.285,3.8864,4.5692,4.285,3.8864,5.4792,3.2135
ctrl_b1_c001,5.5223,5.2898,5.5223,5.5223,5.48,5.3894,5.1189,5.3408,5.6021,5.5223,5.3408,5.8695,4.9862,5.6397,4.9126,5.3408,4.9862,5.563,5.6397,5.2898,5.809,5.4357,5.3408,5.3408,4.6525,5.2898,5.7774,5.7774,5.48,5.8397,5.4357,5.1189,5.1791,4.9862,5.6021,5.3408,3.7504,4.2999,2.4322,3.0805,3.9688,3.7504,5.3894,5.7447,5.5223,5.3894,5.6397,5.6397
ctrl_b1_c002,4.1572,4.8425,0.0,0.0,3.4796,3.4796,4.8425,4.5574,4.1572,4.1572,4.5574,0.0,0.0,5.0641,0.0,4.5574,4.1572,4.1572,6.2229,6.4456,6.3944,6.1585,6.5408,6.2229,3.4796,3.4796,4.5574,4.8425,5.0641,4.5574,4.1572,4.8425,4.5574,0.0,4.8425,4.1572,4.1572,4.5574,4.1572,0.0,4.1572,4.5574,6.5852,6.7816,6.3944,6.7453,6.3404,6.2834
ctrl_b1_c003,6.0397,5.8658,5.8658,6.0788,5.388,6.0397,5.766,6.0788,6.3755,5.8171,5.7121,6.1165,5.7121,5.9122,5.7121,5.5304,5.127,5.999,3.9367,4.2195,4.7728,4.2195,4.9053,2.8764,2.8764,3.541,3.541,4.2195,3.541,4.6201,5.6551,5.9565,6.0397,5.7121,6.0397,6.1528,4.2195,3.9367,2.8764,3.541,4.2195,3.541,4.2195,2.8764,2.8764,4.4397,4.2195,3.9367
ctrl_b1_c004,3.5792,0.0,3.5792,3.9753,3.9753,4.4786,2.9135,3.9753,4.2583,4.659,3.9753,3.5792,3.9753,4.8118,3.9753,3.9753,3.5792,5.0613,2.9135,3.5792,3.5792,4.4786,4.8118,2.9135,5.9514,5.4271,6.2608,6.356,6.2608,6.118,5.3474,5.7513,6.1557,5.5696,5.905,5.5696,5.6339,5.8563,5.6943,5.905,5.9514,5.9514,5.5696,5.5696,5.8563,6.0789,5.905,5.8052
ctrl_b1_c005,3.5974,4.2767,3.2055,4.2767,4.0972,3.5974,5.5659,5.9077,5.5195,5.471,5.3092,5.3092,3.8782,3.8782,4.0972,4.2767,4.0972,3.2055,5.5659,5.6933,5.9701,5.5195,5.1847,5.7323,5.1847,5.1161,6.0288,5.6102,5.9701,5.9077,5.3092,5.3092,5.6102,5.7323,5.1161,5.3092,5.6933,5.8062,5.6102,5.1847,5.471,5.7323,5.1847,5.6102,5.471,5.7323,5.5659,5.2489
ctrl_b1_c006,5.451,5.451,5.8724,5.451,4.813,5.6413,5.28,5.9705,5.597,5.9705,5.2158,5.7244,5.9389,5.3972,5.597,5.2158,5.7635,5.597,5.451,5.7244,5.7635,5.597,5.597,5.5021,3.9088,4.5919,3.9088,4.4598,4.1279,3.9088,5.3403,5.597,5.8011,5.5507,5.8374,5.3972,5.1471,5.6837,5.451,4.813,5.6837,5.2158,3.2355,2.581,4.1279,3.6278,4.3076,3.2355
ctrl_b1_c007,6.3625,5.9172,6.1398,6.6985,5.7102,6.4017,3.1842,3.1842,4.76,3.1842,4.2548,4.2548,3.1842,3.8564,3.8564,4.539,3.8564,5.6304,3.8564,3.1842,3.1842,4.2548,4.76,3.1842,4.2548,4.76,4.76,4.76,3.8564,4.76,5.9172,5.9172,6.2349,5.9777,6.0886,5.9172,5.4488,5.9777,6.1398,5.5437,6.1398,6.1398,0.0,3.1842,4.9408,4.539,4.2548,4.539
ctrl_b1_c008,6.0188,5.7061,6.0928,6.4488,6.0188,6.2865,5.8522,5.5952,6.0565,6.1616,5.7061,5.8522,5.8522,6.0188,5.4019,5.3281,5.4706,5.8522,5.8058,5.8965,6.0188,5.3281,5.9797,5.6522,3.4826,4.3803,3.8778,4.7132,3.8778,3.4826,4.1603,3.4826,3.8778,2.8198,4.8456,3.8778,4.3803,4.5606,3.4826,4.3803,4.1603,3.8778,3.4826,4.1603,4.3803,3.4826,3.4826,3.8778
ctrl_b1_c009,5.4915,5.7357,5.7357,6.0957,4.8024,5.7357,4.2212,3.3267,4.4011,3.3267,4.5535,4.5535,5.9668,5.8188,5.8579,5.5964,5.1676,5.4915,5.7781,5.9668,6.0006,5.1676,5.8955,5.4915,3.7201,3.7201,3.3267,4.2212,2.6688,4.0017,5.6914,5.7357,5.7781,5.8188,5.7357,5.645,4.4011,4.6857,0.0,4.0017,4.5535,0.0,5.8579,5.8579,5.4915,5.4915,6.065,5.2413
ctrl_b1_c010,5.1294,5.3732,5.8469,5.9492,4.5463,5.3732,5.0123,5.1294,5.604,5.6378,5.3732,5.7626,5.4562,5.7328,4.8797,5.3732,5.1294,5.7626,5.5691,5.1294,5.5329,5.2827,5.4953,5.0726,5.0726,5.3732,4.8797,5.0123,5.3732,5.7626,4.8797,5.1831,4.8797,5.5691,5.2341,5.4953,5.0123,5.4156,4.6407,4.8797,5.2341,5.2827,5.3732,5.1294,5.3732,5.0726,5.7021,5.1831
ctrl_b1_c011,4.1148,5.3558,4.5148,0.0,4.1148,3.4379,4.1148,0.0,5.3558,4.1148,3.4379,5.4888,4.7998,3.4379,4.5148,4.5148,3.4379,4.7998,6.7736,6.2404,6.2974,6.1799,6.5846,6.3514,4.1148,4.1148,3.4379,4.5148,4.1148,0.0,6.2404,6.1799,6.5421,6.6646,6.7023,5.9727,4.1148,3.4379,0.0,3.4379,0.0,4.7998,4.1148,4.1148,4.1148,3.4379,4.7998,5.3558
ctrl_b1_c012,6.2126,6.1294,5.8849,6.1294,5.8849,6.0387,4.3905,4.7918,4.3905,3.7097,4.6112,4.6112,6.2126,6.2518,6.4273,5.7031,5.9388,6.3946,4.6112,3.0407,3.7097,4.1069,4.7918,4.6112,3.0407,4.3905,3.7097,0.0,4.3905,0.0,5.5605,6.1294,6.1719,5.9388,6.5767,6.1294,4.3905,4.3905,3.0407,3.0407,0.0,4.6112,3.7097,3.0407,3.0407,3.0407,4.3905,4.9448
ctrl_b1_c013,6.2101,5.4747,6.1193,6.7374,5.715,6.3325,3.7886,3.1179,3.1179,4.1865,4.8721,4.1865,5.0251,3.1179,4.4704,3.7886,4.6913,4.1865,3.7886,0.0,4.1865,3.7886,3.7886,3.7886,6.2933,6.0195,6.0195,6.3702,6.1193,6.0195,5.5614,5.7837,6.5081,5.9656,6.4754,6.0707,0.0,3.1179,3.7886,3.7886,3.1179,4.1865,3.1179,3.1179,4.1865,4.4704,4.4704,3.7886
ctrl_b1_c014,3.4263,4.103,4.503,4.7879,0.0,3.4263,5.1906,5.0094,3.4263,4.503,5.0094,5.1906,4.103,3.4263,4.7879,4.503,4.503,0.0,6.6526,6.4858,6.4858,5.5942,6.4394,6.1035,4.503,0.0,4.103,4.103,4.503,4.103,4.103,4.7879,4.503,4.503,4.7879,3.4263,4.503,5.0094,4.7879,3.4263,5.0094,3.4263,6.5727,6.0347,6.2855,6.5302,6.6903,6.2284
ctrl_b1_c015,5.7808,5.4372,5.6477,5.8982,5.548,5.7808,4.4037,2.6713,4.2238,3.7227,4.5561,3.7227,5.8606,6.1282,5.6941,5.6477,5.548,6.1571,5.4372,5.8606,5.8982,4.8051,5.6941,5.8606,2.6713,2.6713,3.7227,4.4037,3.3293,3.7227,4.6883,5.4372,5.548,5.9695,6.0677,6.036,5.3769,5.7384,5.548,5.3126,5.8982,5.9345,3.3293,3.7227,4.5561,4.0043,2.6713,4.2238
ctrl_b1_c016,3.9873,3.7058,3.7058,3.7058,3.3125,3.7058,4.7879,4.3866,3.7058,3.9873,4.2067,3.7058,2.6552,3.7058,3.9873,2.6552,4.2067,3.9873,5.8433,5.8042,5.9522,5.5307,5.7211,5.3596,5.3596,5.9522,5.9172,5.7211,5.8042,6.1679,5.5307,4.987,5.8809,5.3596,5.8042,5.4199,5.6768,6.0504,5.0735,5.0735,5.9172,5.9522,5.5818,5.7635,5.9522,5.8809,5.9522,5.3596
ctrl_b1_c017,5.6356,5.858,5.9531,6.2953,5.063,5.8069,4.4803,4.4803,4.4803,2.9152,4.4803,0.0,2.9152,3.977,4.26,4.26,4.26,3.977,4.26,0.0,3.5808,3.977,4.8135,4.4803,5.8069,5.6356,6.1574,5.6356,5.858,6.0399,3.5808,4.6607,3.5808,2.9152,3.977,3.977,5.9974,5.753,5.3491,5.3491,6.2953,5.6356,5.753,5.9974,5.9067,6.3577,6.1198,5.9974
ctrl_b1_c018,4.2199,4.0004,3.7188,4.3997,4.0004,4.6843,5.3086,5.544,5.8942,5.8942,5.7768,5.8942,4.0004,3.7188,4.8011,4.2199,3.3254,0.0,5.24,4.0004,4.0004,4.3997,2.6676,4.0004,5.4901,5.5951,5.7768,5.544,5.6437,5.7768,5.4901,5.8566,5.9993,5.3729,5.5951,5.4901,5.4901,5.9305,5.3086,5.1663,5.3729,5.4332,5.8175,5.7343,5.9305,5.8942,6.0944,5.7768
ctrl_b1_c019,4.0742,5.1614,4.0742,4.0742,0.0,5.1614,4.0742,0.0,4.0742,0.0,0.0,4.0742,0.0,0.0,4.0742,4.7588,4.0742,0.0,7.2766,7.3899,7.0536,6.6233,7.1024,6.4565,5.1614,4.0742,4.0742,5.1614,0.0,5.1614,4.7588,4.0742,4.0742,5.1614,4.7588,0.0,4.0742,5.1614,4.7588,4.7588,4.7588,4.7588,0.0,4.7588,4.0742,4.7588,0.0,4.7588
ctrl_b1_c020,6.7734,5.6444,6.3357,6.5585,6.1735,6.0486,4.049,3.3731,4.4486,4.7334,3.3731,4.049,4.049,0.0,4.4486,4.9547,5.1359,5.1359,4.049,5.2892,3.3731,4.7334,4.7334,4.049,4.4486,4.4486,3.3731,3.3731,4.049,0.0,6.6717,6.3357,6.6354,6.3357,6.7406,6.4309,4.4486,4.4486,4.4486,0.0,4.049,0.0,3.3731,4.7334,4.049,4.4486,4.4486,3.3731
ctrl_b1_c021,5.8017,5.8528,5.6908,5.9015,5.6908,6.0347,3.9719,3.5758,4.4751,0.0,4.4751,2.9102,4.6555,3.9719,4.2548,4.6555,5.1626,4.4751,6.0347,5.5661,5.7478,5.8017,6.1145,6.1522,4.2548,3.5758,3.5758,4.6555,3.9719,3.9719,4.2548,3.9719,3.9719,3.5758,4.2548,2.9102,5.1626,6.1145,5.7478,5.4236,5.8017,5.6908,6.1145,5.9922,6.0754,6.1885,5.8528,5.6908
ctrl_b1_c022,5.794,5.8891,5.689,5.7429,5.7429,5.8427,3.914,3.5185,4.1967,3.5185,3.5185,4.1967,3.5185,4.1967,3.914,4.7498,4.1967,3.914,5.689,5.8891,5.689,5.5074,5.794,5.2852,4.1967,4.8823,2.8545,4.1967,3.5185,4.7498,0.0,4.1967,3.5185,4.1967,4.1967,3.914,5.5716,6.4078,5.8891,5.632,6.2936,5.9758,6.0933,5.8427,5.9758,6.0166,6.3523,5.9334
ctrl_b1_c023,5.7044,5.4431,5.4431,5.8471,5.221,5.6653,4.2491,3.1787,4.2491,3.1787,3.5702,4.2491,5.5823,5.742,5.0146,5.221,5.221,5.9719,5.742,5.742,5.8133,5.221,5.4431,5.1568,3.8508,4.2491,3.5702,4.6498,3.1787,3.8508,5.0882,5.6653,5.538,5.2813,5.6247,5.538,5.0882,5.9719,5.392,4.9351,5.6247,5.6653,5.8798,5.4916,5.8798,5.7783,5.9719,5.392
ctrl_b1_c024,5.9067,5.1678,5.9974,5.8069,6.0806,6.2626,5.753,5.753,5.858,6.2626,6.0806,6.2287,3.977,2.9152,4.26,4.6607,4.8135,3.977,5.9067,5.4288,6.2626,5.753,5.2625,5.9067,0.0,2.9152,4.4803,3.5808,3.5808,4.946,3.5808,4.946,3.977,3.5808,4.26,2.9152,5.4288,6.2626,5.6356,5.8069,5.696,5.5713,3.5808,2.9152,4.26,4.26,4.26,4.26
ctrl_b1_c025,5.5682,5.4733,5.4733,5.6125,5.6125,5.2512,4.0995,3.5997,4.2791,2.5543,4.0995,4.5633,5.6549,5.7347,5.187,5.4733,5.3684,5.5682,5.8086,5.8086,5.5219,5.1184,5.6956,5.6549,2.5543,4.0995,3.2078,4.0995,3.8805,4.4313,5.6125,5.3115,5.6125,5.6125,5.8774,5.8086,5.187,5.7347,4.7844,4.9653,5.6956,4.9653,5.8086,5.8774,5.4733,5.9417,5.9417,5.2512
ctrl_b1_c026,5.1275,5.5529,5.3088,5.5953,5.0589,5.9995,5.3627,5.5086,5.5529,5.4137,5.4137,5.8177,5.5529,5.675,5.4137,5.7489,5.252,5.9127,4.0407,4.2201,3.5415,3.1504,4.2201,3.1504,4.9853,5.4137,5.882,5.636,5.675,5.7127,4.0407,4.5041,3.5415,3.1504,4.0407,4.2201,5.1275,6.1533,5.7127,5.252,5.4137,5.5953,5.9127,5.4623,5.0589,5.5086,5.882,5.4623
ctrl_b1_c027,4.2256,3.8274,4.2256,4.2256,3.8274,4.2256,4.2256,3.8274,0.0,3.1558,4.2256,4.2256,3.1558,3.8274,4.5096,4.2256,4.9114,3.8274,3.8274,3.1558,4.2256,4.2256,5.0645,3.1558,4.2256,4.2256,3.8274,4.7306,4.5096,3.1558,6.059,6.0051,6.1102,5.9481,6.0051,6.059,6.0051,6.2497,6.059,6.0051,6.1589,6.3329,6.2053,6.1102,6.0051,6.1102,6.6689,5.7545
ctrl_b1_c028,2.8153,4.7085,3.8732,3.4781,5.1572,4.1557,5.975,6.0141,6.1231,5.975,5.7014,5.975,2.8153,3.4781,4.3757,4.5559,3.8732,4.3757,5.8475,5.4659,5.8918,5.4659,5.9343,5.8918,4.1557,2.8153,4.1557,4.5559,3.8732,5.0625,5.5905,5.5301,5.9343,5.8475,5.8918,5.8475,3.4781,4.1557,2.8153,3.8732,4.5559,4.3757,5.8475,5.8475,6.1896,6.0141,6.088,5.3972
ctrl_b1_c029,2.6701,4.003,3.7214,4.003,0.0,3.7214,5.5466,6.0664,5.8593,5.6927,5.5977,6.002,4.003,4.2225,3.328,3.7214,4.4024,2.6701,4.4024,3.7214,4.003,4.4024,3.7214,4.2225,5.0029,5.6927,5.9332,5.7794,5.7794,6.0347,5.737,5.8593,5.5977,5.5466,5.7794,6.0664,5.169,5.8201,5.5466,5.169,5.3755,5.9682,5.7794,5.9682,5.3755,5.8969,5.5977,5.4359
ctrl_b1_c030,5.243,5.1788,5.8353,5.9018,5.414,5.56,5.4651,5.9018,5.3602,5.6874,5.414,5.414,3.8724,4.0914,4.0914,4.0914,4.0914,3.5917,5.8691,5.7265,5.5137,5.3602,5.4651,5.3033,5.56,5.4651,5.6043,5.3033,5.8691,5.6043,4.9571,5.3033,5.7265,5.56,5.8691,5.8003,4.7762,5.414,5.4651,5.7641,5.5137,5.6874,4.2709,3.1999,4.5551,4.6717,4.2709,3.8724
ctrl_b1_c031,6.6487,6.164,5.9309,6.5117,6.1215,6.2815,3.7019,4.6033,3.0332,4.3827,4.0991,4.0991,4.3827,4.0991,4.0991,3.0332,4.0991,4.9369,3.7019,4.3827,3.7019,4.0991,4.3827,3.7019,4.0991,4.3827,4.6033,3.0332,4.3827,3.7019,3.0332,4.3827,3.7019,0.0,4.0991,4.0991,5.5526,6.1215,6.0307,6.2438,6.0307,6.0771,6.2815,5.6952,5.5526,6.3867,6.164,5.82
ctrl_b1_c032,4.714,0.0,5.6249,4.714,0.0,0.0,0.0,0.0,4.714,5.1165,5.1165,5.1165,7.2706,6.9032,6.8461,6.3162,6.9572,7.3084,4.0298,4.0298,4.714,5.1165,4.0298,4.0298,4.714,4.0298,0.0,4.714,4.0298,0.0,0.0,4.0298,4.714,4.0298,5.1165,0.0,4.0298,4.0298,4.714,4.0298,0.0,5.4027,5.1165,4.0298,5.1165,0.0,4.0298,5.6249
ctrl_b1_c033,4.1634,4.5637,0.0,0.0,4.8488,3.4857,4.1634,4.1634,4.1634,4.5637,0.0,4.5637,0.0,0.0,4.5637,4.8488,4.5637,4.5637,0.0,4.5637,3.4857,5.2516,4.8488,3.4857,4.8488,4.5637,5.2516,5.538,3.4857,4.1634,6.1648,6.2897,6.6747,6.5006,6.4519,6.6747,6.022,6.6747,6.0959,6.1648,6.5006,5.7603,4.5637,5.0703,5.0703,3.4857,4.5637,4.8488
ctrl_b1_c034,5.6944,5.4235,5.2906,5.7851,5.2169,5.6458,4.45,3.3745,4.6025,3.7685,4.45,3.7685,5.9812,5.5946,5.5946,5.5946,5.5408,5.9812,0.0,2.715,4.0503,4.0503,4.45,4.45,5.5946,5.7851,5.5946,5.0508,5.9812,6.0828,5.6944,5.8275,5.8682,5.5408,5.8275,5.4839,4.45,4.8516,3.7685,4.6025,3.7685,4.0503,5.6944,5.6458,5.6944,5.7851,5.9073,5.6458
ctrl_b1_c035,5.905,5.3391,5.2787,5.6825,4.7073,5.7232,4.9064,5.2787,6.0,5.7999,5.5495,5.7623,5.5495,5.8362,5.2787,5.3391,4.9928,5.905,4.1267,4.5907,3.9076,0.0,3.9076,4.3064,5.3391,5.4498,5.5958,5.7232,5.2145,5.9693,4.3064,3.6266,4.1267,3.6266,3.9076,3.6266,4.9064,5.4498,5.2787,4.8118,5.9693,5.8362,6.0,5.4498,5.9377,5.5958,5.5009,5.4498
ctrl_b1_c036,5.6964,5.2733,5.3302,5.4837,5.1488,5.8391,5.53,5.3302,6.1507,5.53,5.7341,5.7703,5.0803,5.8391,5.6573,5.53,5.4837,5.4351,5.8053,5.4837,5.7703,5.3302,5.2733,5.5743,5.53,5.384,5.3302,5.4351,5.6573,5.7341,4.8408,5.1488,5.9341,5.6167,5.9639,5.384,3.5624,3.8429,2.5189,3.5624,4.6419,3.8429,3.8429,3.8429,4.5253,3.8429,4.6419,3.5624
ctrl_b1_c037,4.1929,3.795,3.795,4.8785,3.795,3.795,5.0316,3.1241,3.1241,3.1241,3.795,3.795,0.0,3.1241,3.795,4.6977,4.6977,4.4768,0.0,3.795,4.1929,4.4768,4.4768,3.1241,5.972,6.0771,6.1258,5.7215,5.972,6.6913,0.0,5.1643,4.6977,3.1241,0.0,4.4768,5.7215,6.339,5.7902,5.3863,6.1258,6.6639,6.2166,6.2591,6.026,5.915,6.339,6.1258
ctrl_b1_c038,0.0,4.5298,4.8148,0.0,3.4526,5.2176,6.195,6.6797,6.5998,6.5129,6.4177,6.7174,4.8148,4.8148,0.0,0.0,3.4526,4.5298,6.4665,5.8212,6.6406,6.3665,6.3665,5.908,4.8148,3.4526,5.0363,5.0363,4.1297,4.8148,3.4526,0.0,5.0363,4.5298,4.5298,3.4526,4.8148,4.1297,3.4526,3.4526,3.4526,5.2176,4.1297,3.4526,4.1297,4.5298,3.4526,3.4526
