TF	TG	Score
MidTF2	Gene11	0.9480386020941296
Decoy2	Gene20	0.9424780160265377
MidTF4	Gene21	0.9390515255291819
MidTF3	Gene18	0.9371704759698585
MidTF4	Gene20	0.9328840718443854
MidTF2	Gene09	0.9318361974762949
DriverB	Gene12	0.929577469975106
MidTF1	Gene06	0.9268452442025991
MidTF3	Gene16	0.9228238746453512
Decoy1	Gene18	0.9209695714498239
MidTF2	Gene08	0.9208618212271469
MidTF4	Gene24	0.9194120639133878
Decoy2	Gene22	0.9059742222882082
DriverA	MidTF1	0.9005936923242814
MidTF4	Gene19	0.8954560360982302
MidTF4	Gene22	0.8789495310172282
Decoy2	Gene24	0.8707522314873231
MidTF1	Gene01	0.8685297081149177
MidTF3	Gene14	0.864314280285523
Decoy1	Gene13	0.8530915381233166
MidTF3	Gene15	0.8437934287154918
MidTF3	Gene17	0.8416060468305238
Decoy1	Gene16	0.8344571511958999
MidTF1	Gene05	0.8187979511825437
DriverB	Gene08	0.8016432606158836
DriverB	Gene11	0.7980853808061511
MidTF1	Gene04	0.7821329543947403
Decoy1	Gene14	0.7617248640787082
DriverB	Gene10	0.7499583254750588
MidTF3	Gene13	0.7489690781950475
Decoy2	Gene23	0.7419951695231328
MidTF2	Gene12	0.7340180557236384
DriverA	Gene01	0.7301357466597148
DriverB	Gene09	0.7261508618863136
MidTF2	Gene10	0.7200914499396303
Decoy1	Gene15	0.7158623397422683
DriverA	Gene03	0.7118207359286113
DriverB	Gene07	0.6960440672979314
Decoy1	MidTF3	0.6844468242182642
DriverA	Gene05	0.669478453127569
MidTF4	Gene23	0.6429491678557215
DriverA	Gene02	0.642256883597499
DriverA	Gene06	0.6298061775872854
MidTF1	Gene03	0.6294052178037022
Decoy2	MidTF4	0.6101117867579356
Decoy2	Gene21	0.6095056048929992
Decoy1	Gene17	0.5959730533123622
MidTF2	Gene07	0.5921981118280919
DriverA	Gene04	0.5863012182476488
DriverB	MidTF2	0.5734272139220777
MidTF1	Gene02	0.5708085204257639
Decoy2	Gene19	0.5558825219861477
