# synthetic, for demo only -- ground-truth asymmetric coupling matrix J[target, regulator]
,Gene00,Gene01,Gene02,Gene03,Gene04,Gene05,Gene06,Gene07,Gene08,Gene09,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23
Gene00,0.0,0.0,1.3672621141579537,-1.171694829323802,0.0,-0.6475713212802707,0.0,0.0,0.9046164066487115,0.0,0.0,0.0,1.374340951939717,0.0,0.0,0.9252082693985013,0.0,0.8070916745367458,0.0,0.0,0.7977173922576859,0.0,0.0,0.0
Gene01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7806955427338594,0.0,0.0,0.0,1.3456477492907024,-0.9542022631796252,0.0,0.0,0.0,-0.9303170741447141,0.0
Gene02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2063608018851424,0.0,0.0,0.0,0.0,0.0
Gene03,0.0,0.0,0.0,0.0,0.6919461066247241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.278632966620048,0.0,0.0,0.0,0.0,-1.0234497281574162,0.0,0.0,0.0
Gene04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1360494794519487,0.0,0.0,0.0,0.0,0.0,-0.9317246794845366,0.0,0.0,1.0621503140142874,0.0
Gene06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.305045738190152,0.0,0.0,0.0,0.0,0.0,0.8470858901754088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3040784970432557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0187477819159358,1.0571164803646194,0.0,0.0,0.0,1.008565204434916,0.0,0.0,0.8754479830433001,0.0,0.0,-0.6226922920908168
Gene09,1.2581650241452014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3826125710721164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6324085689507477
