# synthetic, for demo only — 非真实数据,仅用于冒烟测试与展示图
# 行=细胞;intervention=该细胞被敲除的基因,'non-targeting'=对照;其余列=基因表达
intervention,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39
non-targeting,4.920096444909639,4.439778316422815,4.806920345561244,4.711434261282179,5.788038346605566,5.621804377928433,0.7858369297374881,5.52347073635401,5.271026475416109,1.4813212974525876,2.5325037480597103,4.315048515393913,7.1637649451428675,2.415208596607915,5.390973159182664,4.476993416452178,7.556622708348625,7.388576351648216,3.5154145550214144,6.269881884887263,2.2185146101044904,4.558930753217917,4.604557117781924,6.355634328110187,4.3263328428655505,4.543341458221541,8.269131604210314,4.800949940283687,1.6059683705882217,5.529382055542519,3.02038510849169,2.8540922985885615,7.374602712606247,4.624175337603338,3.8316603138512146,3.264756353410749,9.11784742104366,0.7931451210452267,2.6734800095509597,1.8279597134342565
non-targeting,4.810076664373787,0.863611004474621,7.171264027560931,5.092053668494991,6.210461057236866,6.196205611382273,0.04403188034796868,5.498403902408662,0.29530328001188,3.1008899597471724,4.051543046943666,2.5749683603567,6.587505144477082,5.178100503899729,0.5222889725027056,1.864736312391635,3.9250474290527464,4.745144944026936,5.694678875392482,3.744793312267592,7.813862044925957,1.347483291128496,5.95276445801046,5.4409748200876695,8.75697889788948,2.8589050851424056,4.3922786492239885,9.08962286360756,3.3743944007753224,6.004348281518965,2.293704530304114,1.8440826489181092,7.7174468708934505,3.030194206665824,4.103774961430972,5.423263232367331,4.246713488358184,2.063585875098635,2.2290951472026266,1.844675264136402
non-targeting,3.000524338807011,3.063362398071238,4.458453686440498,2.8069099620335014,5.885071730341872,7.648551878524777,3.2786601046576798,5.0817707084272765,3.3323972010706395,4.089132183816076,2.0720777124478102,2.5076591900092895,6.91874639979716,7.791887586951507,2.8431838783989516,0.0,6.5670642006659214,4.647661608813778,4.870385009682058,2.680699771279351,10.249580439275478,3.219312975002074,4.122693813305853,3.4577277386283742,0.8212850196671129,4.3699941445149335,6.146204080890033,6.767067271698901,3.2677518112152537,3.292063838183711,0.43452289219949014,3.482784401629627,5.7770172269775655,3.324540261837514,1.7769818329301381,2.1549928010773414,2.7177014116594593,4.284313348010414,6.06876569342999,2.340979623500096
non-targeting,0.6323971813719833,1.3953006753173387,6.63800764629068,5.762797141435284,4.8603035464359206,5.25556265455076,0.0,2.3662629601128455,0.9057397072016702,4.96506485785965,3.7383467039854383,3.7562829714102914,3.0904409623988225,2.368143172463629,2.6182345866116346,1.3953776572763257,6.692312134254099,3.2289358749288253,6.369703409881106,2.6361617538502546,6.941687733296465,2.970101050613676,1.3916071937966383,2.1557024001931033,5.434590096208698,7.400130965522036,3.7890713341117213,2.8130423722255116,5.0590777335623,4.746878402826771,1.2176725943374263,0.6881648650706742,3.8084957282906324,3.5518520992090163,2.6610256959160457,4.686193899772357,6.002432924791048,4.555199219532167,7.628503434394101,3.7493071579267627
non-targeting,0.0,1.2846538551184516,2.540457991177381,2.1784287044058903,6.132086439866812,4.86607550815438,1.7875244871848415,7.048526633277212,0.3567108068993998,3.2107204578304662,5.09936174236835,3.5124426804136237,4.845625666173284,4.992794806884233,3.612803830435796,3.989994543514925,5.8207198161239955,5.677851879039914,4.522682648315955,1.3417609488977607,5.922678786474049,4.367372017702235,0.0,6.733435397328846,6.457782897572289,3.195179844703587,4.279737214161292,5.20996821789355,5.840894251492615,4.9322087388445315,4.69484758580404,3.203896140424638,3.597512443757937,4.132506841590451,2.915036919724295,4.985184193572346,6.651097659531245,4.606137570284467,4.693254371784076,3.1321585229743287
non-targeting,4.481560204904374,0.42916853631516916,5.540298762129163,0.10102117535618715,5.3787906401375185,6.313681517140473,2.701289936955676,1.7662408432103005,4.067727902818815,5.348614133444449,3.725296597165491,4.737849901539572,4.469025854750628,5.679194846766595,4.992697463698276,1.1488163165857666,9.09002204306271,4.723504142475142,5.263692619442468,2.257542828019564,6.816786577473235,1.1442687106061011,1.3271832677318576,5.047311373057528,4.851829367587639,4.615160664153842,7.1853530799519225,3.707016854924794,3.5214819763330705,5.507196627116791,2.2369601225815603,0.6764764483079753,4.822842251419256,3.702252451572157,3.041486409758911,3.626320118166363,5.235639483076402,4.140877974646573,6.200613214725324,4.4905802719402335
non-targeting,3.852380695609471,0.7814005329092533,1.9487496181935375,0.0,3.1820709686244313,4.495569324437227,2.450490391408356,2.2201107013972097,3.7540198985732327,5.240390281554274,5.570396587163769,4.4728512585574745,6.639981815584777,3.6415291645449894,5.670997685084048,0.7333899792142686,4.213919774084088,7.467106642588297,7.837251903736565,3.696042030287912,3.9043628515373405,0.0,5.185956945623061,6.077777492075738,2.368177213716217,6.6480066121097865,7.307370754553048,5.4401308708117195,5.011062529240009,6.712477808760901,3.632606710331501,2.8345661489211924,6.423138028010598,6.777870535944307,3.8880487603243106,4.520237139202256,3.716596407337676,2.1961229406346847,4.988707565981013,3.26999307262418
non-targeting,3.744794575907742,4.2835548046061485,3.5155356483871385,3.7971445234432464,3.065243698152909,6.684353148927854,3.9733979943185695,5.1830846464967095,4.946809608770266,5.363431768414747,5.0176050757271575,3.7937963806640185,2.7244241142487855,4.2047120177572745,5.233745313563054,2.3650397995830104,6.913584093145503,6.257529217618483,2.749836919545378,4.8265337759642755,7.983545125340966,1.6794318818564054,3.713541471503279,5.6280125936368,4.647496269623839,4.0129861561897275,4.350092067982951,7.973150937960407,2.7610658191168893,4.002128470739653,3.9105173209036606,3.0356897038961375,3.3885698307407637,3.8792745803100646,2.5497527588059077,2.46959196451404,6.6427207020231975,1.954327934668219,4.819510996581368,4.741144643857073
non-targeting,4.223130120867913,0.8167923144343783,4.211754440646283,3.938304998068161,3.7561459394293992,7.287299852238158,0.0,8.40892187167849,0.12842035856076706,2.8727122018338296,2.70116575931649,4.505708225572842,6.220266961824999,2.9780517227208767,2.3336776353397104,2.9577681445980257,2.4524463356297606,6.58011349882912,1.0332762478677213,4.985927410035073,5.610810320472249,5.611094670412658,2.4181000052079713,4.377937397990912,7.184144023095318,3.908367166045912,3.2841782823769803,5.8388437030723574,2.1279407634977545,5.3744846011443075,4.932488584026414,3.8654358040005516,5.2290461006987,4.969156380179282,1.872522615027687,2.605289644950318,5.995295545063336,4.0084446862914715,3.628007032128457,3.8168378167571473
non-targeting,1.0972049552284737,4.853232764259242,5.906517948348272,1.48965419639238,5.041448394605211,3.616199776079129,1.744245135887148,3.9221577149915383,4.189607144874347,0.35508005865877657,3.8029887703535374,1.5378195068608376,7.278894378178791,4.277730640661423,0.44788643871638056,5.409084278291088,7.369265392461539,4.630599222015561,5.334527863662651,3.2392431936015553,5.894291334279272,6.121554772922446,2.504624806437208,8.300292800409016,5.8037667866470315,5.077239580489203,8.594908825291899,6.315197638522612,2.0770204954915252,5.8648879189138405,1.1407538367963697,0.0,3.5812195276297807,5.568042400122273,0.7778366318044199,1.6648771082087248,4.936553550684549,4.893778988464406,3.047194839357819,1.0894928842623888
