# synthetic, for demo only -- 400 cells x 132 genes, Poisson counts
# 12 TF programs x 8 targets + 24 unlinked genes; truth in ground_truth_edges.csv
cell,TF01,G001,G002,G003,G004,G005,G006,G007,G008,TF02,G009,G010,G011,G012,G013,G014,G015,G016,TF03,G017,G018,G019,G020,G021,G022,G023,G024,TF04,G025,G026,G027,G028,G029,G030,G031,G032,TF05,G033,G034,G035,G036,G037,G038,G039,G040,TF06,G041,G042,G043,G044,G045,G046,G047,G048,TF07,G049,G050,G051,G052,G053,G054,G055,G056,TF08,G057,G058,G059,G060,G061,G062,G063,G064,TF09,G065,G066,G067,G068,G069,G070,G071,G072,TF10,G073,G074,G075,G076,G077,G078,G079,G080,TF11,G081,G082,G083,G084,G085,G086,G087,G088,TF12,G089,G090,G091,G092,G093,G094,G095,G096,U001,U002,U003,U004,U005,U006,U007,U008,U009,U010,U011,U012,U013,U014,U015,U016,U017,U018,U019,U020,U021,U022,U023,U024
Cell0001,9,4,3,5,2,6,8,6,6,4,3,4,7,5,3,6,3,5,1,2,1,7,4,2,4,4,7,4,5,4,2,8,4,3,11,4,7,2,7,5,2,4,4,6,6,25,0,13,21,12,2,1,7,6,1,9,5,3,2,11,6,14,4,14,5,4,3,5,3,11,8,13,3,1,16,3,0,2,6,0,1,1,5,6,2,3,2,1,3,8,6,2,3,1,3,6,8,5,2,2,10,7,2,6,4,2,5,7,1,5,3,17,3,15,2,7,3,2,6,2,4,6,10,7,1,4,3,0,3,5,4,0
Cell0002,8,7,3,16,1,21,14,17,15,4,2,0,7,0,0,6,1,2,0,3,3,3,9,4,1,1,5,11,13,4,9,18,7,10,7,0,16,23,10,16,6,36,10,0,2,0,13,3,2,5,8,15,1,11,2,4,1,3,10,6,8,7,3,17,5,4,6,2,3,6,4,13,8,4,2,7,3,19,1,8,9,2,5,9,2,11,2,2,0,15,4,7,2,1,4,7,8,5,4,8,2,8,10,7,4,4,10,2,2,1,4,11,6,6,6,3,2,0,1,2,2,8,2,3,5,2,11,6,7,1,0,1
Cell0003,5,6,8,5,2,8,10,12,5,15,5,3,4,3,3,6,4,13,1,4,2,6,7,4,4,2,4,3,7,2,1,4,9,4,5,5,1,1,1,3,0,1,2,27,16,5,5,6,2,2,6,5,5,4,2,6,0,1,10,17,5,3,2,8,4,9,7,0,6,5,1,7,3,4,5,3,2,3,3,0,2,2,5,8,2,3,2,7,3,8,0,2,2,1,4,4,6,10,2,2,6,6,4,3,0,2,3,7,3,7,5,6,4,4,3,2,2,2,5,3,9,5,6,6,1,6,9,1,7,3,3,3
Cell0004,0,0,5,3,2,0,5,10,5,6,3,2,2,5,3,4,2,8,1,3,3,12,7,1,1,5,9,2,2,3,0,3,3,0,7,5,4,4,6,8,5,6,7,8,6,17,3,2,11,9,1,3,3,3,20,34,12,0,1,0,21,17,16,22,5,1,8,4,10,13,4,28,2,4,5,8,4,8,3,1,6,1,5,11,5,4,0,10,0,14,2,3,5,1,4,3,10,5,2,1,6,6,6,5,1,4,7,9,4,8,2,6,3,7,2,2,3,3,7,1,6,9,3,3,3,8,15,1,3,4,0,9
Cell0005,3,7,9,4,6,3,4,5,6,5,7,7,4,4,4,7,1,5,5,6,6,7,5,6,3,7,6,1,3,3,0,3,4,1,8,11,2,7,4,10,2,9,4,2,4,9,6,1,5,5,1,7,2,10,17,31,13,1,1,1,21,19,12,22,10,1,10,3,13,30,5,29,3,3,7,4,1,5,0,1,3,1,6,8,1,7,1,9,0,9,0,2,5,1,4,3,4,5,1,2,10,5,10,6,2,1,1,6,10,6,5,10,1,4,2,3,6,5,6,3,8,4,6,1,0,6,3,1,2,2,3,10
Cell0006,3,1,5,4,6,3,10,4,3,10,5,0,4,1,2,6,3,3,4,5,5,6,3,3,1,5,5,0,4,1,2,5,2,1,2,4,1,1,8,4,0,4,8,6,14,4,10,3,5,5,3,4,1,9,3,15,1,1,7,5,11,10,5,3,2,8,2,0,2,4,0,0,4,2,8,7,1,7,2,4,4,5,13,4,5,3,4,15,3,6,5,5,1,3,5,4,13,2,2,3,4,15,7,12,8,5,16,2,3,3,12,12,4,8,1,7,0,1,9,3,14,8,4,0,0,11,4,3,9,6,5,4
Cell0007,1,5,13,3,3,1,12,9,3,7,4,9,6,3,6,7,4,1,2,2,4,7,4,5,2,4,9,4,7,6,3,3,3,1,15,1,8,4,4,4,8,18,6,4,2,10,4,8,5,9,0,8,5,3,4,9,4,4,6,8,8,3,4,10,5,2,8,3,4,11,5,16,2,0,16,2,2,2,3,1,0,2,6,6,3,3,4,5,3,7,4,9,5,4,5,4,10,3,3,1,3,4,8,5,2,2,3,3,2,2,3,11,3,5,1,2,8,1,4,0,2,15,4,2,3,8,11,2,4,3,7,0
Cell0008,8,8,2,8,1,13,15,11,5,4,0,5,7,1,2,3,3,2,2,3,0,3,7,3,2,0,3,9,14,6,9,19,10,7,16,0,24,20,18,22,11,49,15,4,1,3,7,0,1,4,6,4,1,8,0,4,4,4,12,7,5,9,1,6,8,3,1,1,4,5,3,15,10,6,2,2,6,14,0,13,16,2,3,10,1,6,1,9,2,19,8,6,3,2,6,5,5,3,4,3,2,11,5,10,8,6,5,1,2,4,0,12,7,10,2,3,2,9,8,1,8,11,3,1,7,11,1,6,9,10,2,2
Cell0009,1,1,11,1,7,4,5,5,5,8,2,9,5,7,3,7,1,9,5,6,2,7,6,6,2,3,3,2,2,4,1,2,3,0,3,6,3,1,4,7,2,14,11,7,6,8,10,4,2,7,6,12,2,12,3,8,2,2,9,4,4,7,4,16,6,1,6,2,7,10,6,23,8,5,2,5,4,8,2,3,4,9,14,2,4,4,5,7,4,2,1,5,3,2,6,5,7,3,1,5,6,8,7,12,6,5,12,5,7,0,0,4,7,8,7,5,1,2,2,4,3,13,6,3,3,15,2,6,2,7,4,3
Cell0010,5,3,7,2,3,6,16,14,4,3,0,1,7,0,1,3,1,7,4,4,4,5,3,7,6,3,6,3,4,3,1,7,2,4,9,2,5,3,3,10,5,7,6,10,7,34,4,14,10,14,3,3,9,5,3,2,3,5,12,9,6,5,1,2,2,7,7,1,5,10,6,12,2,1,24,0,2,3,7,0,4,0,8,5,3,2,0,5,5,9,2,3,3,1,3,0,6,0,0,1,3,7,1,9,1,0,3,5,13,2,2,8,7,10,6,2,2,7,5,3,6,9,2,1,6,5,4,1,6,2,4,2
