"cell","cell_type","disease"
"C0001","Microglia","Disease"
"C0002","Microglia","Disease"
"C0003","Microglia","Disease"
"C0004","Microglia","Disease"
"C0005","Microglia","Disease"
"C0006","Microglia","Disease"
"C0007","Microglia","Disease"
"C0008","Microglia","Disease"
"C0009","Microglia","Disease"
"C0010","Microglia","Disease"
"C0011","Microglia","Disease"
"C0012","Microglia","Disease"
"C0013","Microglia","Disease"
"C0014","Microglia","Disease"
"C0015","Microglia","Disease"
"C0016","Microglia","Disease"
"C0017","Microglia","Disease"
"C0018","Microglia","Disease"
"C0019","Microglia","Disease"
"C0020","Microglia","Disease"
"C0021","Microglia","Disease"
"C0022","Microglia","Disease"
"C0023","Microglia","Disease"
"C0024","Microglia","Disease"
"C0025","Microglia","Disease"
"C0026","Microglia","Disease"
"C0027","Microglia","Disease"
"C0028","Microglia","Disease"
"C0029","Microglia","Disease"
"C0030","Microglia","Disease"
"C0031","Microglia","Control"
"C0032","Microglia","Control"
"C0033","Microglia","Control"
"C0034","Microglia","Control"
"C0035","Microglia","Control"
"C0036","Microglia","Control"
"C0037","Microglia","Control"
"C0038","Microglia","Control"
"C0039","Microglia","Control"
"C0040","Microglia","Control"
"C0041","Microglia","Control"
"C0042","Microglia","Control"
"C0043","Microglia","Control"
"C0044","Microglia","Control"
"C0045","Microglia","Control"
"C0046","Microglia","Control"
"C0047","Microglia","Control"
"C0048","Microglia","Control"
"C0049","Microglia","Control"
"C0050","Microglia","Control"
"C0051","Microglia","Control"
"C0052","Microglia","Control"
"C0053","Microglia","Control"
"C0054","Microglia","Control"
"C0055","Microglia","Control"
"C0056","Microglia","Control"
"C0057","Microglia","Control"
"C0058","Microglia","Control"
"C0059","Microglia","Control"
"C0060","Microglia","Control"
"C0061","Astrocyte","Disease"
"C0062","Astrocyte","Disease"
"C0063","Astrocyte","Disease"
"C0064","Astrocyte","Disease"
"C0065","Astrocyte","Disease"
"C0066","Astrocyte","Disease"
"C0067","Astrocyte","Disease"
"C0068","Astrocyte","Disease"
"C0069","Astrocyte","Disease"
"C0070","Astrocyte","Disease"
"C0071","Astrocyte","Disease"
"C0072","Astrocyte","Disease"
"C0073","Astrocyte","Disease"
"C0074","Astrocyte","Disease"
"C0075","Astrocyte","Disease"
"C0076","Astrocyte","Disease"
"C0077","Astrocyte","Disease"
"C0078","Astrocyte","Disease"
"C0079","Astrocyte","Disease"
"C0080","Astrocyte","Disease"
"C0081","Astrocyte","Disease"
"C0082","Astrocyte","Disease"
"C0083","Astrocyte","Disease"
"C0084","Astrocyte","Disease"
"C0085","Astrocyte","Disease"
"C0086","Astrocyte","Disease"
"C0087","Astrocyte","Disease"
