"","Drug01","Drug02","Drug03","Drug04","Drug05","Drug06","Drug07","Drug08","Drug09","Drug10","Drug11","Drug12","Drug13","Drug14","Drug15","Drug16","Drug17","Drug18","Drug19","Drug20"
"G001",-0.0346,0.1915,1.1017,-0.0897,-0.2537,0.7826,0.4578,-1.4547,0.6352,1.5643,0.4979,0.6008,-1.1226,-0.4062,-0.4049,0.4439,1.3934,-0.116,1.891,-0.5316
"G002",1.1591,-0.3304,-0.1194,-0.5135,-1.0445,-1.1007,-0.9917,-0.8598,-0.9025,1.3434,0.5649,-0.8157,-0.2537,0.0033,1.2073,-0.0305,-0.4906,-1.0372,-0.7253,1.9787
"G003",2.599,0.6595,-1.1616,0.0306,-0.6604,0.5231,0.1329,0.1441,-1.2404,-1.5482,1.5402,-1.2397,-0.6772,-1.0464,-0.4358,-1.8561,0.1926,0.6176,0.3677,-2.2848
"G004",-0.4257,-1.3235,-0.5756,-0.7895,0.0531,-0.1864,-1.2259,-0.3413,-0.2087,0.4902,-0.0285,-1.5657,-0.7322,-0.0326,-0.5463,-0.6761,-1.1907,1.7067,-1.0953,-0.0758
"G005",0.9638,-0.2274,-0.5159,-0.0705,1.4925,1.2855,0.0593,-0.3861,0.2823,0.072,0.6544,0.219,0.6571,1.0295,-0.458,0.2603,-1.117,-1.7164,-0.5602,1.2274
"G006",-0.4916,-1.5085,0.1128,-0.8259,2.4823,1.1005,0.7386,0.4566,-0.5637,0.0282,-1.917,-2.4716,0.9032,-1.7104,-0.7629,0.1194,1.8225,-1.1951,-0.1803,0.012
"G007",0.8243,-0.1847,0.0755,1.2757,-1.8657,1.087,0.9107,1.9959,-1.3526,-0.4393,-1.1326,0.1076,-0.0576,-0.0261,3.1035,0.6687,-1.214,1.0191,1.5096,-0.1711
"G008",-1.4692,0.4429,2.2877,-0.653,-0.1033,-1.7011,0.4309,-0.5677,1.1173,0.1312,1.0931,1.7524,0.5059,0.523,-0.5342,-0.9447,-0.5239,0.6404,-1.7452,0.3092
"G009",-0.0715,-0.736,0.373,-0.6987,0.3874,-0.0466,-0.3276,-0.2251,-0.2398,-1.7304,0.4446,-0.5747,0.6043,-0.0367,0.7018,-0.4741,-2.7511,-0.0554,-0.7117,0.9075
"G010",1.0162,0.7442,0.5501,0.9522,-0.1302,-0.0218,1.2033,0.3634,0.2693,-0.0561,0.5979,0.1413,-0.0641,1.2583,0.0443,-0.1892,-0.0475,-0.193,0.3474,0.7512
"G011",-0.567,-1.3293,-0.6331,0.4607,-0.1678,-1.0452,1.6496,-1.0358,0.0908,0.7575,-1.1699,0.1822,1.9846,0.1183,0.5226,0.8368,-1.8597,0.3148,-0.0313,1.0236
"G012",0.4706,1.5707,-0.0451,-0.3947,0.8467,-0.5809,0.6452,-0.1008,-0.8893,-0.9726,1.6453,0.1031,0.9333,1.5185,0.0387,-0.3553,-0.0328,-0.38,0.6135,-1.7005
"G013",-0.5255,2.0751,1.5286,0.0543,0.1441,0.3995,-0.0322,0.2561,1.2776,0.9416,0.2021,0.9107,0.2328,0.092,-0.7104,-0.6751,0.5853,0.4137,-0.5805,-0.423
"G014",-0.4064,-0.288,0.2407,1.5424,-0.5532,1.0483,0.6255,-1.4513,0.0318,-0.5683,-0.1328,0.1853,0.0809,0.0393,-1.0189,1.2827,0.2058,1.0899,-0.1567,-0.4485
"G015",0.1017,0.6507,-0.1061,-0.577,-0.9215,-0.7045,1.522,0.8127,0.6735,-0.0864,0.5216,1.3,0.9506,-1.0314,-0.779,-0.0377,0.0574,-1.3584,0.2601,3.4209
"G016",0.2615,1.591,0.9819,0.6291,0.515,-0.1719,-0.1583,2.1724,-0.4329,-0.148,1.7521,1.0674,0.9543,-1.2963,0.6703,-0.9095,-2.1935,-1.7477,0.6658,-1.0205
"G017",-0.3891,0.3465,-1.9922,-1.4157,-1.0042,-0.5772,0.138,2.4884,0.5375,0.9139,0.3481,0.5845,2.2313,1.1264,1.1402,0.6684,0.1542,1.0115,-1.7398,0.0038
"G018",0.4824,0.2875,-0.0569,1.6392,-1.1568,-2.3845,0.8776,-0.4492,-1.0464,-1.3746,1.1943,0.0178,-0.5174,-1.411,0.6083,-0.5491,-0.193,9e-04,-1.3099,0.2522
"G019",-3.455,0.8194,-1.2147,-0.6082,0.7049,-2.9905,-0.5323,0.3616,-1.0314,1.1896,0.4623,1.263,1.6583,-0.614,1.4851,-1.4066,0.7296,-0.0246,0.6353,0.1041
"G020",0.9722,-0.5741,1.3279,-0.013,-1.5928,-0.4805,-0.1347,-0.3139,-0.3172,-1.231,-2.793,1.2148,0.6766,-0.0469,-1.063,-0.9954,0.1775,-0.637,0.5924,-0.4235
