"drug_name","gene_names"
"Drug01","G213;G236;G226;G203;G234;G209;G212;G231;G227;G225;G210;G230"
"Drug02","G232;G201;G212;G211;G238;G210;G214;G202;G205;G221;G240;G216"
"Drug03","G204;G226;G222;G213;G237;G205;G210;G218;G207;G202;G214;G225"
"Drug04","G222;G203;G207;G234;G214;G221;G238;G204;G210;G212;G205;G213"
"Drug05","G258;G262;G241;G259;G260;G256;G255;G261;G264;G247"
"Drug06","G260;G270;G246;G251;G258;G266;G268;G253;G247;G252"
"Drug07","G245;G254;G270;G242;G248;G267;G250;G265;G262;G244"
"Drug08","G245;G248;G257;G246;G265;G263;G267;G256;G254;G260"
"Drug09","G386;G189;G209;G355;G042;G060;G244;G239;G282;G079;G176;G091"
"Drug10","G041;G183;G091;G047;G186;G203;G111;G222;G212;G026;G358;G162"
"Drug11","G184;G018;G370;G164;G351;G290;G202;G172;G349;G088;G070;G186"
"Drug12","G056;G005;G324;G257;G338;G190;G194;G116;G119;G017;G139;G175"
"Drug13","G203;G345;G283;G357;G067;G047;G089;G060;G252;G147;G358;G127"
"Drug14","G079;G297;G373;G214;G042;G243;G006;G216;G009;G182;G158;G091"
"Drug15","G183;G058;G196;G367;G343;G306;G364;G203;G289;G053;G257;G347"
"Drug16","G095;G360;G132;G212;G015;G139;G165;G232;G106;G037;G371;G352"
"Drug17","G105;G232;G042;G066;G224;G167;G189;G184;G047;G353;G247;G311"
"Drug18","G381;G106;G321;G313;G024;G308;G162;G045;G008;G228;G059;G356"
"Drug19","G312;G188;G234;G036;G154;G153;G052;G097;G173;G247;G033;G109"
"Drug20","G224;G269;G329;G124;G120;G204;G248;G150;G006;G178;G331;G396"
