"Gene","S01_con","S02_con","S03_con","S04_con","S05_con","S06_con","S07_con","S08_con","S09_con","S10_con","S11_con","S12_con","S13_con","S14_con","S15_con","S01_tra","S02_tra","S03_tra","S04_tra","S05_tra","S06_tra","S07_tra","S08_tra","S09_tra","S10_tra","S11_tra","S12_tra","S13_tra","S14_tra","S15_tra"
"GENE01",5.817,6.483,6.979,8.501,8.069,5.958,6.067,5.728,8.794,7.501,7.346,6.449,4.88,5.524,5.516,4.546,4.284,5.437,4.084,4.551,5.202,5.405,7.73,5.881,5.042,4.979,3.966,6.381,6.048,4.294
"GENE02",6.526,6.867,6.605,5.126,6.769,5.178,4.359,4.855,7.619,7.789,7.347,6.966,7.758,7.503,9.706,7.213,8.389,9.497,8.606,7.682,6.864,8.108,8.315,10.812,7.678,5.228,7.054,6.546,8.043,7.054
"GENE03",8.57,7.146,8.066,5.775,5.909,9.1,7.358,6.903,7.32,6.274,7.236,7.304,5.086,6.277,6.362,6.131,6.132,7.592,3.255,7.313,5.876,5.486,5.763,6.779,4.344,6.432,2.821,6.851,5.841,1.137
"GENE04",8.146,8.422,7.252,5.985,5.559,8.121,8.982,5.083,8.175,7.908,4.859,5.823,7.546,5.797,6.239,7.341,5.912,6.135,5.376,6.138,8.258,6.447,6.207,4.747,6.754,4.706,6.951,5.895,6.513,6.188
"GENE05",4.44,7.583,8.537,7.998,7.645,7.677,7.415,6.613,9.296,5.873,7.124,8.375,8.493,7.376,5.586,4.111,5.586,4.696,4.277,5.461,4.877,6.11,4.854,6.92,6.934,6.043,7.888,6.102,4.388,3.115
"GENE06",8.283,4.93,7.756,6.256,6.331,7.686,7.579,8.026,8.139,7.462,6.882,6.638,8.173,7.63,7.99,8.278,8.272,10.117,8.055,6.237,7.529,10.621,6.095,8.178,8.409,9.54,7.464,9.627,9.29,7.705
"GENE07",5.431,7.605,6.909,7.24,6.852,6.897,7.19,7.344,4.953,5.842,7.637,9.114,6.152,7.579,8.231,4.934,7.061,4.696,5.436,5.909,3.764,5.065,3.507,5.012,6.239,2.505,7.312,6.456,3.689,4.665
"GENE08",7.657,7.271,6.672,7.138,7.337,7.015,6.936,7.163,7.545,4.162,7.016,6.519,3.925,5.563,5.732,4.086,7.187,6.316,7.486,2.645,5.234,5.898,2.826,3.185,5.531,6.054,5.879,6.522,4.178,6.262
"GENE09",5.784,5.798,5.978,6.205,6.028,6.016,8.1,8.479,6.684,5.826,6.068,7.169,5.923,6.559,8.515,4.834,5.953,4.396,5.092,4.795,2.742,4.85,4.188,7.583,5.5,6.402,6.333,3.983,4.891,6.799
"GENE10",7.936,7.514,9.793,6.193,6.063,8.601,8.197,6.181,5.653,5.252,6.465,7.924,8.76,7.084,9.413,7.46,8.461,9.299,11.046,9.085,9.634,7.983,9.997,6.818,7.571,7.216,10.662,9.806,9.74,10.807
"GENE11",7.108,6.519,7,5.207,8.077,7.5,5.582,7.079,8.39,5.934,6.47,5.309,7.82,7.084,6.536,6.866,9.663,6.577,9.169,5.476,6.094,5.46,4.077,6.697,7.378,5.82,8.526,4.941,8.472,6.46
"GENE12",5.922,6.273,6.706,7.566,7.302,8.273,7.782,5.285,8.24,7.6,7.571,8.368,7.088,5.14,8.512,8.003,5.705,7.853,7.735,8.953,8.947,6.948,6.275,8.025,6.902,6.297,6.96,7.614,5.68,8.186
"GENE13",7.219,6.459,7.209,6.146,8.134,8.615,7.445,7.353,8.519,6.74,6.355,5.261,5.312,7.819,6.498,6.933,8.141,5.153,4.891,6.771,6.257,4.938,6.833,6.147,5.51,6.245,5.75,5.66,7.093,6.728
"GENE14",6.387,6.08,6.175,7.528,6.588,7.882,6.007,6.053,9.622,7.052,5.614,7.696,5.712,4.553,4.956,6.428,6.76,8.427,6.234,6.497,7.882,8.512,4.833,8.166,7.387,6.453,4.583,6.378,9.13,7.457
"GENE15",8.494,7.132,7.954,7.042,7.079,8.298,4.77,4.895,7.878,7.29,7.683,6.84,7.422,7.473,6.577,7.26,7.225,7.987,6.48,6.293,8.569,8.588,8.112,7.152,8.432,9.076,8.576,8.756,7.42,5.688
"GENE16",6.501,7.834,7.78,7.074,6.429,6.227,6.269,6.165,7.595,8.083,8.154,4.462,7.07,5.38,7.69,8.914,6.449,7.377,7.882,5.581,6.895,6.119,6.885,4.598,6.54,7.241,5.918,7.074,7.623,8.836
"GENE17",8.007,6.736,5.498,6.537,9.018,4.516,6.459,8.349,7.015,6.222,5.94,5.756,6.121,9.249,6.662,6.793,8.165,7.759,6.153,4.869,5.974,5.444,7.044,6.135,5.382,9.154,7.077,7.474,6.211,6.365
"GENE18",9.276,8.143,6.198,5.792,8.606,8.107,7.694,7.224,8.939,5.733,5.516,8.708,7.353,6.676,5.807,7.408,9.031,7.575,8.03,5.943,6.523,5.04,4.818,5.655,6.677,9.267,7.397,7.332,7.808,8.545
