"","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40"
"GENE01",10.879,8.068,6.088,7.371,6.495,8.556,3.756,6.967,7.157,5.418,7.763,7.665,9.554,8.994,9.766,10.068,9.698,10.204,7.67,8.555,9.093,15.267,11.484,15.497,12.572,9.411,10.848,9.265,12.207,8.56,7.577,13.555,9.508,7.595,9.674,12.226,12.463,13.735,6.91,9.362
"GENE02",7.976,8.897,6.123,6.268,9.085,9.703,3.396,3.593,4.608,5.239,8.77,10.449,11.261,10.349,7.677,8.282,8.533,7.978,6.603,12.268,9.303,11.63,14.407,12.647,11.817,9.806,10.5,7.934,11.21,12.152,9.244,11.682,10.879,12.105,10.429,13.848,8.595,8.546,10.682,9.464
"GENE03",9.368,9.492,8.516,7.697,9.476,8.621,4.303,5.921,5.337,6.559,9.618,8.644,8.527,7.486,7.011,8.8,6.956,10.072,6.109,11.354,10.062,14.716,9.01,12.535,11.938,8.887,9.909,5.148,9.767,8.368,10.179,12.691,7.443,11.129,10.441,12.976,10.112,13.95,9.904,10.179
"GENE04",9.772,10.719,6.834,7.586,9.462,9.665,4.525,4.883,5.291,8.172,9.39,9.656,9.454,7.536,8.166,8.004,7.199,10.959,5.763,12.1,9.853,11.615,13.02,14.195,11.02,11.418,12.192,7.83,11.794,8.759,9.865,10.787,7.68,6.867,11.017,11.303,10.413,10.744,8.278,10.738
"GENE05",9.429,7.528,8.326,6.725,5.517,8.343,4.799,7.106,8.638,6.531,7.145,10.906,9.562,10.485,8.755,11.923,8.899,7.305,7.261,9.775,10.823,11.179,11.788,14.981,14.993,8.489,10.707,9.065,11.23,10.77,6.217,8.878,8.704,11.032,10.407,11.289,10.874,10.275,13.507,8.294
"GENE06",8.664,10.573,7.686,5.14,10.663,8.476,4.664,5.853,7.13,7.834,10.482,8.962,11.195,8.454,6.839,4.217,10.813,8.624,5.753,7.91,11.029,11.037,11.618,12.182,7.766,10.986,11.93,8.063,13.391,9.166,10.618,7.908,10.819,10.742,10.462,11.337,8.882,13.834,11.965,10.097
"GENE07",11.09,9.123,7.408,8.195,9.114,9.286,7.867,4.938,7.9,6.905,5.702,10.179,10.057,8.346,7.534,8.777,10.847,6.774,6.433,9.946,5.855,12.29,11.093,11.935,11.735,11.384,10.339,8.293,12.099,9.847,12.036,11.791,8.367,8.662,10.23,13.321,8.855,10.749,10.41,12.453
"GENE08",8.681,10.177,5.292,7.975,7.548,10.052,2.95,6.431,5.157,4.824,9.432,8.88,7.451,9.506,6.811,8.82,5.399,9.148,5.62,9.313,11.964,11.953,13.913,12.035,12.278,8.206,12.799,9.105,12.765,9.998,11.5,9.072,10.778,9.048,11.159,12.376,10.924,13.571,12.395,11.605
"GENE09",11.028,9.381,6.163,6.746,9.055,6.13,7.378,8.229,7.197,8.122,7.233,5.732,6.955,7.519,9.525,8.32,6.749,6.38,5.918,11.334,8.684,7.516,6.309,6.236,7.775,9.534,7.886,7.794,9.934,8.588,11.112,9.307,7.672,6.096,7.502,7.369,10.028,8.037,7.205,8.526
"GENE10",7.906,9.081,8.269,5.608,6.543,7.95,8.524,7.753,8.844,10.064,5.124,8.034,6.881,10.8,9.085,5.663,10.129,6.46,9.433,7.38,7.144,9.578,9.444,5.328,9.122,4.837,9.377,8.641,9.756,6.731,8.398,8.18,8.575,9.294,8.29,7.491,10.455,8.83,9.543,5.62
"GENE11",9.957,6.435,8.851,8.307,6.356,7.894,10.443,11.03,7.733,5.658,5.201,9.077,8.212,8.389,6.451,8.324,6.404,8.433,6.024,7.676,6.328,8.284,10.11,8.466,8.186,8.345,7.483,7.635,9.239,6.734,6.422,8.709,6.441,7.135,8.908,8.777,8.72,7.138,10.065,8.325
"GENE12",11.43,7.865,7.261,7.482,8.074,6.862,8.133,7.206,7.827,8.487,8.368,8.734,7.994,8.242,8.836,8.281,5.58,8.136,8.11,9.594,9.358,7.841,5.538,7.782,6.833,10.268,6.384,7.522,8.486,6.557,8.754,9.9,6.577,7.802,9.437,6.696,6.896,6.607,9.997,7.828
"GENE13",5.917,8.935,8,8.379,6.202,6.448,9.859,7.294,7.892,7.765,11.335,7.739,8.552,9.397,7.617,9.888,8.9,8.394,7.148,8.931,8.492,7.096,6.31,8.964,10.115,8.833,9.502,7.619,8.571,8.017,9.65,7.272,7.844,8.88,6.799,7.759,7.125,4.999,9.882,8.031
"GENE14",7.582,6.57,9.684,6.059,8.285,7.054,5.533,5.681,9.816,9.317,8.41,6.173,7.014,7.91,6.33,8.785,10.599,8.104,6.412,9.01,9.617,6.056,8.887,7.998,7.559,9.372,11.444,8.958,9.804,9.822,10.83,7.308,7.687,8.803,8.064,7.786,7.083,7.067,7.569,9.339
"GENE15",7.8,7.186,10.16,6.561,9.947,8.88,10.17,7.939,7.078,9.125,9.696,8.97,7.435,8.073,8.632,9.673,10.902,7.207,8.389,11.951,7.91,5.061,6.566,8.614,8.916,7.17,7.511,9.232,9.653,6.667,9.217,7.652,5.317,7.41,11.504,6.852,8.905,9.091,7.18,10.172
"GENE16",8.954,8.871,6.354,9.629,6.449,7.376,6.964,9.336,9.014,8.452,9.258,6.625,9.112,6.391,7.516,6.564,8.799,7.805,8.56,8.249,7.635,8.32,6.963,7.256,7,8.448,10.203,11.503,7.908,8.327,10.127,9.591,8.806,7.189,7.307,7.01,7.646,6.347,9.881,7.622
"GENE17",7.574,9.152,7.824,8.606,6.892,6.823,7.585,4.893,9.348,10.239,7.018,6.122,7.851,4.561,9.32,7.813,9.079,10.43,9.897,10.858,11.362,8.038,7.332,6.56,6.41,9.66,7.645,6.525,8.547,7.016,8.659,7.288,5.075,8.389,9.111,7.539,12.356,6.261,7.892,7.104
"GENE18",4.015,8.696,9.802,8.88,8.07,8.245,6.336,7.625,6.216,5.712,9.431,8.892,7.019,6.189,7.708,8.288,8.84,7.973,8.488,8.381,4.946,10.048,7.483,9.167,7.091,6.006,9.385,6.939,10.539,6.367,6.084,7.737,7.377,6.233,6.952,6.677,7.598,7.342,6.976,7.628
