"method","gene","rank"
"variance","Gene002",1
"variance","Gene005",2
"variance","Gene003",3
"variance","Gene001",4
"variance","Gene006",5
"variance","Gene004",6
"variance","Gene007",7
"variance","Gene009",8
"variance","Gene008",9
"variance","Gene010",10
"variance","Gene012",11
"variance","Gene021",12
"variance","Gene016",13
"variance","Gene043",14
"variance","Gene056",15
"variance","Gene033",16
"variance","Gene053",17
"variance","Gene018",18
"variance","Gene045",19
"variance","Gene041",20
"variance","Gene024",21
"variance","Gene019",22
"variance","Gene046",23
"variance","Gene020",24
"variance","Gene028",25
"variance","Gene054",26
"variance","Gene015",27
"variance","Gene022",28
"variance","Gene060",29
"variance","Gene052",30
"mutual_info","Gene010",1
"mutual_info","Gene001",2
"mutual_info","Gene002",3
"mutual_info","Gene003",4
"mutual_info","Gene004",5
"mutual_info","Gene005",6
"mutual_info","Gene006",7
"mutual_info","Gene008",8
"mutual_info","Gene009",9
"mutual_info","Gene012",10
"mutual_info","Gene007",11
"mutual_info","Gene045",12
"mutual_info","Gene058",13
"mutual_info","Gene011",14
"mutual_info","Gene027",15
"mutual_info","Gene052",16
"mutual_info","Gene023",17
"mutual_info","Gene060",18
"mutual_info","Gene026",19
"mutual_info","Gene038",20
"mutual_info","Gene041",21
"mutual_info","Gene032",22
"mutual_info","Gene024",23
"mutual_info","Gene036",24
"mutual_info","Gene055",25
"mutual_info","Gene037",26
"mutual_info","Gene015",27
"mutual_info","Gene017",28
"mutual_info","Gene043",29
"mutual_info","Gene022",30
"lasso","Gene002",1
"lasso","Gene006",2
"lasso","Gene004",3
"lasso","Gene001",4
"lasso","Gene007",5
"lasso","Gene003",6
"lasso","Gene010",7
"lasso","Gene011",8
"lasso","Gene008",9
"lasso","Gene036",10
"lasso","Gene044",11
"lasso","Gene012",12
"lasso","Gene005",13
"lasso","Gene028",14
"lasso","Gene019",15
"lasso","Gene009",16
"lasso","Gene050",17
"lasso","Gene035",18
"lasso","Gene031",19
"lasso","Gene047",20
"lasso","Gene023",21
"lasso","Gene013",22
"lasso","Gene032",23
"lasso","Gene016",24
"lasso","Gene020",25
"lasso","Gene015",26
"lasso","Gene045",27
"lasso","Gene024",28
"lasso","Gene053",29
"lasso","Gene029",30
"randomforest","Gene002",1
"randomforest","Gene004",2
"randomforest","Gene001",3
"randomforest","Gene003",4
"randomforest","Gene009",5
"randomforest","Gene006",6
"randomforest","Gene007",7
"randomforest","Gene005",8
"randomforest","Gene008",9
"randomforest","Gene010",10
"randomforest","Gene011",11
"randomforest","Gene059",12
"randomforest","Gene018",13
"randomforest","Gene012",14
"randomforest","Gene019",15
"randomforest","Gene021",16
"randomforest","Gene016",17
"randomforest","Gene015",18
"randomforest","Gene027",19
"randomforest","Gene052",20
"randomforest","Gene024",21
"randomforest","Gene053",22
"randomforest","Gene037",23
"randomforest","Gene038",24
"randomforest","Gene043",25
"randomforest","Gene033",26
"randomforest","Gene014",27
"randomforest","Gene039",28
"randomforest","Gene045",29
"randomforest","Gene058",30
"relieff","Gene006",1
"relieff","Gene002",2
"relieff","Gene004",3
"relieff","Gene010",4
"relieff","Gene003",5
"relieff","Gene007",6
"relieff","Gene037",7
"relieff","Gene005",8
"relieff","Gene009",9
"relieff","Gene011",10
"relieff","Gene008",11
"relieff","Gene032",12
"relieff","Gene001",13
"relieff","Gene047",14
"relieff","Gene039",15
"relieff","Gene020",16
"relieff","Gene019",17
"relieff","Gene016",18
"relieff","Gene059",19
"relieff","Gene043",20
"relieff","Gene014",21
"relieff","Gene054",22
"relieff","Gene027",23
"relieff","Gene058",24
"relieff","Gene013",25
"relieff","Gene036",26
"relieff","Gene023",27
"relieff","Gene057",28
"relieff","Gene015",29
"relieff","Gene053",30
