"Gene","S01_con","S02_con","S03_con","S04_con","S05_con","S06_con","S07_con","S08_con","S09_con","S10_con","S01_tre","S02_tre","S03_tre","S04_tre","S05_tre","S06_tre","S07_tre","S08_tre","S09_tre","S10_tre"
"SSBL3P",9.276,5.783,7.919,8.312,9.218,5.877,7.749,9.984,10.582,8.786,8.606,10.458,10.103,8.147,7.048,10.197,9.774,5.891,10.022,9.268
"PRR34-AS1",8.062,6.679,9.852,11.165,10.201,8.95,9.13,11.966,6.299,8.518,9.971,5.88,7.125,9.406,10.363,6.099,8.449,8.206,8.415,8.34
"EPS15",5.954,7.851,7.779,8.744,8.456,10.559,6.94,6.999,10.052,8.565,6.881,6.993,6.596,5.874,10.596,7.021,5.579,6.572,7.861,8.884
"LOC130065672",7.717,4.909,7.114,9.98,8.009,9.751,8.321,8.143,9.214,8.761,9.368,4.601,9.101,6.555,9.672,7.995,5.977,8.546,6.364,8.946
"LOC105374521",7.388,10.117,8.505,9.49,4.591,10.834,8.315,8.175,6.51,8.752,10.059,8.793,10.192,12.579,8.736,10.805,9.059,10.878,10.458,11.154
"LOC127274951",7.273,3.956,8.457,9.635,7.07,8.279,10.439,9.351,7.501,7.863,8.378,7.844,10.322,6.297,7.162,8.541,8.705,6.043,8.706,7.437
"LOC127889175",9.212,8.273,7.874,7.55,10.387,9.197,8.975,10.493,8.294,10.154,7.477,5.747,4.004,6.882,7.262,4.276,7.289,5.069,6.074,7.069
"CRY2",10.414,5.472,6.566,7.615,7.297,8.4,7.864,10.268,9.492,6.355,7.819,8.773,6.582,6.614,6.846,7.705,5.618,8.935,6.259,8.475
"KRTAP10-4",8.345,9.723,7.749,7.037,9.771,7.533,6.583,6.211,8.335,7.588,8.319,9.464,4.852,8.427,8.965,7.486,8.451,6.622,8.298,9.317
"LOC124905240",8.564,8.6,7.187,8.409,9.859,5.491,10.498,9.695,7.249,6.057,8.817,6.746,9.018,8.418,8.064,9.974,8.81,8.078,5.554,8.13
"LOC126860433",9.105,8.291,6.254,6.802,8.548,7.286,7.383,7.65,9.281,8.671,8.178,7.862,7.713,7.199,7.984,8.068,7.778,6.958,10.245,8.926
"LOC126653372",8.003,7.337,8.339,9.349,7.302,7.498,6.347,9.889,8.394,10.968,8.669,8.901,8.145,11.292,6.224,8.911,8.35,10.205,7.463,8.662
"COL1A2-AS1",11.53,11.436,10.721,7.249,9.448,9.286,8.207,8.266,9.462,5.441,7.63,10.247,5.401,5.082,7.64,10.202,7.415,7.91,6.283,5.474
"LOC129995489",8.455,6.7,8.778,9.982,8.313,5.938,10.866,7.429,8.713,10.333,6.167,7.559,10.183,10.502,10.336,4.973,7.009,8.011,8.376,10.13
