"geneSymbol","GSE_B_S01","GSE_B_S02","GSE_B_S03","GSE_B_S04","GSE_B_S05","GSE_B_S06","GSE_B_S07","GSE_B_S08"
"LOC127818955",10.918,7.631,8.215,8.576,11.882,6.422,5.467,11.879
"LOC122861299",9.957,10.488,11.354,7.309,11.787,7.33,6.92,10.379
"LOC100131479",8.649,7.468,8.735,9.912,8.398,10.412,4.195,8.994
"LOC127888321",11.431,8.731,8.155,11.294,8.132,9.696,9.987,8.212
"LOC127818024",8.759,11.047,9.085,8.584,10.385,7.52,10.935,9.68
"LOC124901745",9.719,10.666,9.23,7.095,12.015,7.876,8.474,7.738
"SLEB12",6.417,9.294,9.019,10.733,7.137,7.629,8.326,7.204
"TRH-GTG1-3",7.324,9.034,8.155,10.107,8.254,7.788,8.633,5.276
"LOC129930260",8.805,8.68,8.763,6.376,10.021,8.293,8.318,9.331
"LOC126863253",7.621,9.245,9.012,9.085,8.137,8.455,9.273,9.229
"LOC130005262",4.372,11.757,11.394,9.531,9.532,11.93,7.32,10.421
"LOC129389824",5.091,9.971,5.381,12.233,9.194,8.201,9.357,7.596
"LOC129992905",7.084,8.45,10.97,7.709,7.904,9.276,6.598,10.025
"LOC132089191",8.921,5.972,8.804,11.16,8.656,9.357,10.715,10.051
"RTF2",8.395,7.811,9.366,12.165,9.54,8.726,7.763,7.049
"TRBJ2-2P",9.129,8.509,9.877,7.53,8.622,8.637,7.647,9.05
"TEX28P2",11.212,8.752,7.055,7.426,9.959,9.219,6.735,8.856
"LOC130065488",5.197,8.534,10.713,9.734,9.749,7.256,7.79,11.106
"LOC128966626",6.881,7.212,14.656,13.383,9.073,10.797,10.675,11.911
"CEP128",10.051,6.632,8.658,8.977,10.404,8.372,8.141,9.021
"LOC127407340",7.973,8.671,7.898,9.024,10.769,8.782,7.337,10.822
"LOC121852953",8.947,10.593,6.586,9.819,6.059,9.236,10.312,5.941
"LOC127884805",11.115,10.253,8.693,10.341,9.991,7.085,9.244,6.22
"LOC105375969",10.049,8.727,10.208,6.289,7.497,5.906,7.518,8.248
"LOC130057314",9.983,5.631,11.872,5.351,8.749,12.067,8.364,9.337
"LOC130055557",8.591,8.29,9.391,12.183,10.489,10.625,7.189,10.199
"LOC129998909",5.799,9.25,7.809,8.294,7.485,8.055,6.534,12.021
"LOC130002166",9.57,7.891,9.164,8.843,7.235,9.945,7.965,11.579
"LOC124908625",7.71,11.148,7.987,8.954,11.288,12.758,7.662,7.162
"LOC126860102",10.558,7.639,7.341,10.667,6.561,10.511,8.87,9.322
"LOC129992656",6.952,7.971,9.643,8.441,5.784,9.613,10.831,8.052
"LOC124903951",9.377,8.095,9.571,9.903,10.76,9.03,8.117,5.753
"DCHS1",10.265,6.735,8.668,8.86,13.274,9.012,12.133,10.336
"LOC108175348",7.738,6.738,11.89,10.392,8.543,9.637,12.304,7.636
"LOC130061402",8.509,9.118,7.493,5.904,10.785,9.949,7.897,8.209
"PNLDC1",10.449,8.514,13.618,10.918,7.336,10.388,5.695,8.459
"IS2",8.435,7.211,6.88,8.308,7.615,6.059,9.347,8.064
"LOC105377917",6.524,11.649,3.969,9.465,10.684,4.668,8.758,5.52
"LOC127273901",7.343,7.84,11.753,9.743,9.48,8.278,8.497,8.031
"CHD9NB",10.429,9.276,8.717,9.611,10.023,9.724,7.435,12.218
"GINS1",12.186,6.17,7.49,10.07,10.438,12.202,8.702,7.462
"LOC130062386",6.946,7.618,10.199,7.956,6.383,8.576,9.283,9.378
"LOC127887822",10.89,9.571,9.485,9.151,8.143,6.513,6.817,7.025
"LOC121366054",6.335,9.254,10.036,5.685,9.796,7.313,8.522,3.605
"LOC126859816",8.616,9.104,7.071,7.926,8.944,8.952,9.568,8.246
"LOC126861023",9.849,10.084,8.468,8.321,8.224,8.443,7.686,8.03
"LOC124902038",8.262,6.855,5.718,11.167,11.147,5.902,8.485,11.24
"LOC129999127",8.716,9.052,8.369,9.419,8.475,10.704,8.82,5.742
"LOC105378806",5.372,9.698,10.871,12.679,8.233,11.513,7.058,7.364
"LOC127822577",11.891,9.516,10.407,6.435,10.604,8.141,11.205,7.733
"LINC01119",8.244,11.998,10.112,7.77,10.227,6.721,6.279,7.384
"LOC124049160",10.104,8.822,8.929,7.232,7.687,7.814,13.001,10.021
"SNHG14",8.438,7.644,6.214,8.269,10.27,7.449,11.493,7.669
"LOC129933117",7.322,11.632,6.26,9.986,8.806,2.556,7.147,7.55
"LOC124907491",8.883,9.797,10.023,10.2,8.429,7.898,5.71,11.675
"LOC127825855",11.501,10.425,8.139,9.59,6.74,7.565,8.002,4.689
"LOC105371986",10.887,8.508,7.853,10.673,6.391,13.502,7.689,8.198
"LOC129934237",9.522,10.95,4.52,7.873,10.402,9.392,9.59,9.347
"ANIB10",10.658,10.492,8.631,7.942,9.595,8.864,8.213,7.23
"LOC127884394",5.498,6.893,11.001,8.41,10.204,8.647,12.881,9.735
"LOC127887696",9.444,6.696,6.677,10.689,10.3,10.284,4.791,13.525
"LOC127816819",9.598,12.301,10.028,10.725,10.335,9.384,8.99,4.903
"CFC1B",9.971,8.329,5.849,7.959,9.239,9.271,6.615,11.099
"LITATS1",11.513,8.911,9.281,10.592,4.889,6.095,6.498,9.897
"LOC127893187",10.422,7.495,7.626,9.528,7.563,7.189,12.068,7.415
"LOC130059670",8.319,5.699,11.827,9.43,6.148,9.386,7.949,8.07
"SOCS2P2",8.118,6.866,7.619,7.517,6.306,11.301,9.789,10.454
"LOC127401553",10.41,7.392,7.749,9.034,6.387,8.179,8.511,8.9
"LOC127821659",8.103,10.699,11.1,5.778,6.996,10.233,9.302,11.993
"LOC129937552",8.046,6.229,4.914,6.764,9.838,8.989,8.42,11.21
"LOC116216158",8.684,11.779,8.857,9.831,8.968,8.273,10.133,9.304
"CDK5RAP3P1",3.256,8.842,10.998,10.38,9.958,10.417,9.552,11.185
"IGLVI-68",9.967,9.252,7.726,9.242,8.063,8.958,12.093,7.153
"KLHL10",9.154,7.517,12.536,10.285,8.923,8.344,7.077,8.841
"LINC01427",8.609,11.076,10.726,7.976,10.044,10.634,8.456,10.415
"CDH23-AS1",8.466,8.13,10.479,9.926,7.496,6.575,12.209,10.739
"LOC130058607",8.733,7.218,8.327,6.477,8.61,8.608,9.553,8.251
"LOC130002158",7.087,7.294,9.908,9.701,7.346,6.314,11.436,5.855
"F2",11.145,8.329,8.545,10.954,9.336,6.483,7.374,10.153
"LOC127895495",7.707,7.583,9.288,10.071,10.718,8.544,8.544,10.797
"LOC107985568",10.315,7.972,9.605,12.495,9.018,6.417,6.841,5.739
"RPL37P3",8.943,7.87,7.024,8.593,7.633,7.004,8.921,11.336
"LOC127827972",7.175,7.668,12.32,10.818,9.97,9.279,11.154,8.732
"CYP4F11",9.592,8.588,8.082,8.557,11.206,6.539,10.088,9.925
"LOC129993200",8.358,12.327,10.675,7.846,8.692,8.252,8.82,8.673
"LOC129931208",6.273,6.346,8.884,7.497,5.934,8.192,5.203,9.487
"LOC127274388",11.623,10.43,7.68,9.215,9.184,7.382,5.667,12.484
"LOC127894914",7.871,8.511,8.969,8.992,10.053,12.74,8.834,13.489
"LOC127815111",10.747,5.19,10.063,12.131,7.245,10.655,12.52,10.751
"LOC124500667",8.392,10.078,10.143,9.648,8.428,8.705,7.412,10.778
"LOC127897638",8.702,10.338,11.496,6.79,5.68,10.648,7.191,8.676
"ATP2B1-AS1",6.944,6.763,5.479,6.722,9.538,5.403,7.243,7.77
"LOC129936974",11.473,9.214,6.595,10.705,5.3,12.23,9.927,7.052
"LOC127827360",9.609,10.344,10.187,9.399,9.853,7.39,7.926,7.804
"TTC36",7.32,8.942,10.622,7.23,7.481,10.191,5.891,8.875
"RPL36AP35",7.707,8.946,11.466,8.065,7.436,10.126,9.885,8.166
"XPC-AS1",10.576,7.729,10.135,9.013,9.014,6.694,9.1,7.353
"LOC124904601",7.597,11.385,7.604,9.34,13.11,8.838,6.407,9.986
"TTTY6B",9.448,8.411,8.574,10.871,7.771,10.18,6.239,7.838
"LOC129996108",7.862,8.902,10.019,7.508,8.21,7.323,9.333,8.224
"LOC127882662",6.694,9.002,8.973,9.347,8.899,9.181,8.884,10.401
"LOC127273815",7.557,7.564,8.659,8.936,9.223,6.244,9.687,8.722
"LOC105371376",8.136,6.19,8.336,7.351,9.221,12.207,9.027,9.387
"LOC130000668",5.91,7.733,8.947,9.001,6.78,7.718,10.201,8.812
"LOC129993828",9.492,7.799,8.651,9.257,8.725,8.262,8.912,6.859
"LOC127274953",8.756,8.449,7.96,7.775,6.688,7.816,7.363,9.785
"ARL2-SNX15",9.623,10.451,9.854,7.781,6.734,9.279,5.921,9.678
"LOC105376026",9.145,6.051,8.135,7.973,12.755,10.423,9.088,6.881
"LOC129389202",6.301,10.068,8.034,6.255,5.727,11.893,6.697,8.146
"LOC128316961",10.928,9.548,6.068,9.38,9.033,8.443,6.457,8.748
"DOCK2",8.079,11.001,11.857,11.487,5.109,9.379,9.343,10.043
"LOC127819825",9.563,7.315,8.629,12.603,11.937,8.091,9.88,9.471
"LOC101929572",7.113,7.184,9.845,9.814,10.336,10.498,7.755,10.312
"LOC127827235",10.214,10.71,7.143,9.14,9.126,11.67,9.591,9.428
"LOC130055520",9.552,8.593,9.709,13.353,10.118,9.567,8.755,8.497
"LOC130006049",10.595,6.452,6.566,6.889,10.644,9.644,9.749,8.76
"LOC130007445",8.922,7.815,9.335,6.63,12.969,11.431,8.206,10.827
"LOC127405799",11.921,8.868,10.404,9.792,5.857,8.99,10.847,9.147
"PCAT18",9.377,13.044,8.509,7.083,9.567,9.115,10.171,7.604
"LOC129936835",7.295,8.229,6.81,9.614,9.91,5.972,5.464,10.832
"LOC125146359",9.191,9.689,6.619,10.541,10.352,9.643,6.455,7.425
"LOC127270144",11.264,9.183,7.281,5.526,11.955,6.387,10.091,8.727
"SCMH1",7.295,11.424,4.689,7.085,9.998,9.459,7.766,6.402
"LOC127821640",8.035,8.779,9.125,11.985,9.504,6.49,8.644,7.743
"LOC132089785",5.872,11.489,7.198,7.46,10.425,8.811,10.439,7.406
"LOC127459397",10.13,6.492,7.591,8.08,9.989,9.353,10.051,8.443
"LOC127460470",9.76,6.196,14.359,8.825,8.922,7.969,7.745,10.418
"BASP1P1",10,7.822,10.491,11.705,8.7,7.464,7.578,7.072
"LOC127402603",6.111,6.821,8.582,9.463,11.193,9.699,7.924,4.555
"LOC130059584",10.138,10.467,10.905,9.462,10.116,8.612,9.922,7.508
"LOC130065845",6.92,10.705,6.665,10.215,6.135,11.505,9.53,9.719
"LOC127817122",8.465,8.402,8.249,8.768,7.548,10.878,5.428,9.423
"MSBP1",7.82,7.912,4.617,6.293,7.276,9.304,6.709,11.565
"LOC124902472",8.549,7.617,8.249,9.836,6.602,11.099,8.848,9.414
"LOC129664055",10.097,6.267,7.814,8.1,9.006,8.413,8.946,12.365
"LOC130004639",12.402,7.825,7.728,11.433,11.269,8.117,10.303,9.006
"LOC124904207",12.429,7.648,10.818,11.009,7.957,8.729,5.095,6.838
"RPL23P10",10.349,8.541,8.482,9.927,9.575,10.389,8.216,9.217
"LOC124902589",9.249,9.29,8.931,7.442,9.15,11.162,9.491,9.255
"LOC129932729",8.412,12.339,7.382,10.764,8.072,10.588,8.272,8.928
"PRXL2B",8.242,7.745,9.68,6.273,11.578,5.901,9.145,9.706
"GRIN2B",8.494,10.781,8.57,9.804,10.002,7.889,9.738,8.42
"TENT2",9.474,7.926,9.232,7.507,8.485,8.686,10.542,6.877
"LOC127830198",8.913,8.669,4.565,8.486,11.02,10.312,9.75,9.506
"VDAC1P5",6.952,8.103,5.846,10.51,8.489,11.492,11.237,8.782
"IGK",7.7,8.724,8.869,9.058,7.642,7.93,6.954,10.036
"LOC124901019",6.753,6.887,11.496,10.364,9.125,6.813,6.352,7.721
"LOC130057910",6.954,9.463,8.512,9.185,12.646,7.724,11.587,6.655
"IGHV3OR16-8",10.471,9.711,9.507,8.489,8.433,7.586,11.596,5.215
"LOC127405948",10.35,9.393,11.268,9.982,11.409,10.175,8.971,8.679
"LOC127406832",10.127,10.819,9.515,5.119,9.7,9.099,8.967,5.146
