"ID","logFC"
"Slco1a4",6.645387541
"Slc19a3",6.28152458
"Ddc",4.483337843
"Slco1c1",6.469384484
"Sema3c",5.515629833
"Slc38a3",4.76175526
"Mfsd2a",4.507091237
"Slc22a8",4.619827089
"Cd36",-7.1283219
"Itih5",5.1237268
"Slc35f2",4.401923202
"Timp4",-5.248754755
"Foxf2",3.122277723
"Ocln",4.699066495
"Meox2",-4.544633582
"Lef1",4.23127624
"Ptn",5.57092676
"Pparg",-3.6760365
"Lrp8",3.356398728
"Apcdd1",4.551457347
"Pllp",2.976197268
"Spock2",4.728633803
"Far2",4.334227022
"Gm3696",-3.210693617
"Zic3",3.953962077
"Papss2",-3.572818053
"Gm2897",-2.566475928
"Bche",4.305998435
"Lamb1",-3.27449749
"Slc16a1",3.734074753
"Aqp7",-4.97411034
"Ccdc141",4.905813719
"Atp10a",4.198804217
"Stra6",2.191798665
"Ablim3",-3.814692527
"Vav3",-3.272060383
"Ndnf",3.711525768
"Fabp5",-4.307428683
"Elovl7",5.184868633
"Dixdc1",1.722342177
"Tbc1d4",2.52632966
"Gm5458",-2.399227119
"Gm5796",-3.199881753
"Slc16a4",2.804626319
"Gpihbp1",-4.131094267
"Efhc2",2.665620047
"Gm609",3.965183898
"D830030K20Rik",-2.577704591
"Shroom1",1.635960742
"Rbp7",-4.011709343
"Ly75",2.816851163
"Nav3",-3.025349045
"Paqr5",2.100873953
"Frmd5",2.667451067
"Prom1",2.246888765
"Ggact",1.985223477
"Hmgcs2",2.952458566
"Mlxip",-2.21322076
"Tspan7",-4.599179133
"Gatm",5.290716033
"Sgpp2",3.038615827
"Slc39a8",3.125170959
"Aqp1",-5.2258497
"Grb14",2.555775951
"Pglyrp1",4.750924758
"Nkd1",3.32283548
"Klra9",-3.571493922
"Lpl",-4.7634007
"Igf2r",-1.64543884
"Gimap4",-3.364709667
"Slc39a10",2.486653317
"Akr1c19",-3.555752747
"Maoa",3.09750176
"Vil1",1.359969758
"Ctsc",3.861818167
"Pxdn",-3.3473042
"Mfsd7c",2.500242527
"Tmem255b",-2.182457257
"Nhsl1",1.899243763
"Slc2a1",4.732592847
"Slc28a2",-3.5721393
"Tfrc",4.403254367
"Robo2",-1.668692134
"Igsf5",1.372578317
"Cxcl9",-3.076919547
"Ppap2b",-2.522822513
"Fabp4",-6.006374633
"Nampt",1.782472597
"Art3",-3.423540933
"Cyp4b1",-2.401978333
"Reck",3.692685987
"Slc43a3",-2.869809147
"Rad54b",2.68435099
"Sez6l2",-1.087657583
"Isyna1",1.429123377
"Trpm6",1.648325731
"Tmeff1",4.241208215
"Pla2g4a",3.05182805
"Rab11fip1",2.984525649
"Slc38a5",4.27402867
"Slc16a2",1.801578237
"Sgms2",3.3169163
"Maob",2.96322107
"Mal",2.783284228
"Usp53",3.231429267
"Map3k5",-2.582338303
"Fam102a",-1.860444413
"Npr2",-2.076959626
"Faim",1.678999903
"Tcf15",-1.818997083
"Cdh23",-1.180580167
"Pdlim1",-3.752840342
"Lmo2",1.121805813
"Lrrn3",3.334302607
"Slc40a1",4.51860542
"Ccnd1",-1.645147307
"Eogt",1.548806192
"Pik3c2b",-2.46837932
"Esyt2",1.50585968
"Btnl9",-2.02293807
"C1qtnf9",-4.093964807
"Olfr1396",-3.383179959
"Lsr",2.057339651
"Myl2",-4.45152649
"Igf1r",2.452772717
"Akap5",-3.020408627
"Tmem182",-3.008142788
"Slc39a14",-0.8730863
"Myadm",-2.109205853
"Coro6",-2.226791553
"Degs2",3.010847527
"Hecw2",-3.355231867
"Slc7a1",2.458914103
"Lrch2",-1.220600907
"Plekho1",-1.854470127
"Itga9",-1.79339171
"Golm1",2.28002056
"Dnah3",1.450828931
"Rnf144b",1.733839026
"Cyp2e1",2.491351753
"Sncaip",-1.982829423
"Apod",3.682110667
"Trpm3",-1.530766367
"Prnd",-2.643315153
"1700025G04Rik",-2.617140223
"Tmc7",3.335239977
"Ctsh",3.472156667
"Hspb8",2.234746597
"Zdhhc2",-1.386479513
"Ism1",1.881304237
"F2r",-2.126826937
"Fyco1",1.459536867
"Pir",2.370759653
"Ebf3",-2.378325583
"Ntf3",-2.423301377
"Alas1",2.728760535
"Pltp",2.57460913
"Thrsp",-2.379855467
"Kbtbd11",2.290325215
"Tnnt2",-4.296939333
"Gda",-2.86449797
"Slc9a2",1.652111048
"Acsl3",2.44647949
"Zfp827",-1.550869797
"Cobll1",2.010016773
"Cthrc1",1.559309637
"Msi2",1.30036099
"Ak4",1.808482731
"Hspg2",-1.853688857
"Agfg1",1.380974793
"Adora2a",-1.62486456
"Enpp3",-2.599965548
"Hmcn1",2.211113274
"Lphn3",2.499834521
"Cadm1",1.82159554
"Mest",-1.54653024
"C1qtnf1",-1.982411397
"Gpd2",1.856791841
"Car8",-3.699345853
"Gpcpd1",3.721236567
"Cped1",-3.896104233
"Creb5",-1.774591437
"Ifi203",-2.324666957
"Plekho2",-2.40334688
"Tpd52l1",1.946436244
"Tbc1d14",1.702760073
"Foxl2os",1.419998498
"Numb",-0.872537607
"Slc16a9",1.730234867
"Papln",-0.973309192
"Baiap2l1",1.462768849
"Proser2",1.061471622
"Car5a",0.857445569
"Sema6d",-1.691863053
"Extl3",1.805793447
"Znrf3",1.4896919
"Prl2c3",-1.789122113
"Foxc1",2.02292565
"Adhfe1",-1.38596438
"Slc12a2",-1.422190337
"Igf2",-1.084498549
"Osbpl1a",1.553823952
"Itm2a",5.158433757
"Slc7a5",3.92920449
"Myl3",-2.04178017
"Ldb2",-2.5560932
"Synm",1.82651868
"Fscn1",-2.49072918
"Gstm7",1.311789813
"Bsg",1.778764695
"Pard3",1.703520435
"Clec1a",-1.972394443
"Tmtc2",1.323532083
"Tdrp",1.508436968
"Abcc4",1.931577016
"Cp",3.07845306
"Arhgap28",-2.039744842
"Gas2",-1.45795788
"St3gal6",1.347300537
"Mgll",-2.672554657
"Itgb5",-2.066462034
"Afap1l2",3.00378849
"Ehd1",-1.272035273
"Txnip",-1.003263483
"Fbn1",-1.340419513
"Nt5c2",1.717475968
"Pcp4l1",2.291229262
"Slc3a2",2.073145523
"Tmem47",-2.086816653
"Polk",2.369892398
"Insr",1.6754155
"Col4a1",-1.314341213
"Cmip",-1.942673937
"Ndufa7",1.182820295
"Wdr19",1.11136769
"Layn",2.3060945
"Pomp",0.971602773
"Ecscr",-1.12191613
"Pdxk",1.941306277
"Slc30a1",1.46270244
"Tmem98",1.475033566
"Cdipt",-0.70319812
"Marcks",-1.632978135
"Itpkb",-1.537545834
"Meox1",-2.16779379
"Mboat1",2.80887778
"Actc1",-3.407986328
"Pcolce",-1.324427913
"Napepld",1.949389132
"Arl2bp",1.594973877
"Wt1",-2.457895104
"Tnnc1",-3.521360243
"Aspa",-2.090817167
"Prr5l",2.149319797
"Arhgap18",-1.639776237
"Slc1a1",2.243941582
"Cyb5b",1.067966617
"Prkar2b",2.38904381
"Asap2",-1.57587399
"Abhd2",2.703024524
"Fcgrt",1.08073206
"Glul",1.553575993
"D8Ertd82e",-1.26497859
"Ssx2ip",1.868460963
"Col4a2",-1.183321013
"Phf11d",-1.733227563
"Notum",1.042015298
"Mcam",-2.217916153
"Atp9a",-1.401088247
"Fam13a",2.234123217
"Parp8",-2.361877923
"Cd300lg",-2.27840851
"Ifngr1",-1.06378332
"Ext1",-1.692657323
"C130074G19Rik",1.040047951
"Etl4",-2.014798463
"Akr1a1",0.70973969
"Rcn1",-1.348213057
"Pcca",1.406971611
"Filip1l",-0.818774385
"Lgals1",-2.24746241
"4930402H24Rik",-1.027472477
"Tbx4",1.323461845
"Ccdc80",-2.479975187
"Edn3",1.763945702
"Ttyh2",1.358056397
"Rhobtb1",1.104371557
"Gngt2",-1.439395559
"Foxq1",0.914940133
"Usp54",2.540311394
"Slc44a2",-1.128698034
"Zap70",0.969143531
"Tnfrsf19",1.894523458
"Vwa1",1.373586657
"Rapgef1",-0.869591863
"Sorbs2",2.316908207
"Slc25a1",1.258066483
"Kcna5",-2.91107021
"Cetn2",0.84857814
"Col4a3bp",1.397117463
"Airn",-2.176732581
"Aqp11",3.574347477
"Dlc1",-0.970787511
"Fry",1.077947267
"Cdh2",1.283265268
"Elf4",-1.152083469
"Lbh",-1.479486602
"Cox8b",-1.298519787
"Abcb1a",1.655295053
"Tcap",-0.752053437
"Clmn",-1.373476347
"Axin2",2.260965453
"Dlg2",-0.84072002
"Golim4",1.35783834
"Clec9a",-1.976017653
"Dcun1d3",1.129559919
"Myof",2.020535947
"Myzap",-1.958783797
"Tbx1",1.570582556
"Abcg2",1.405721029
"Fxyd5",1.238323227
"Sybu",-0.791535223
"Dpp4",3.031114722
"Pygm",-1.199065067
"Slc31a1",3.3399076
"Trp53i11",-3.075905
"Tmtc4",1.364659295
"Fam53b",-1.29209598
"Ltbp1",-1.7956945
"Ralgapa2",-0.93830714
"Bmp6",-2.3351671
"Lepr",2.65397884
"Prdm5",1.369566436
"Nudt4",-1.271707693
"Tnfrsf21",-0.65077146
"Bmp1",-0.538468523
"Gata6",-0.868098097
"Dysf",-1.67859281
"Plxna4",-1.31552777
"Abcc9",-0.583118275
