"","G001","G002","G003","G004","G005","G006","G007","G008","G009","G010","G011","G012","G013","G014","G015","G016","G017","G018","G019","G020","G021","G022","G023","G024","G025","G026","G027","G028","G029","G030","G031","G032","G033","G034","G035","G036","G037","G038","G039","G040","G041","G042","G043","G044","G045","G046","G047","G048","G049","G050","G051","G052","G053","G054","G055","G056","G057","G058","G059","G060","G061","G062","G063","G064","G065","G066","G067","G068","G069","G070","G071","G072","G073","G074","G075","G076","G077","G078","G079","G080","G081","G082","G083","G084","G085","G086","G087","G088","G089","G090","G091","G092","G093","G094","G095","G096","G097","G098","G099","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200"
"cell0001",51,59,81,15,29,19,44,28,63,44,49,21,30,30,50,30,54,34,24,47,36,28,37,10,61,24,27,57,64,54,40,45,30,22,25,34,28,43,37,55,3,0,5,1,1,7,0,0,6,4,9,4,0,3,12,0,1,6,9,3,1,2,1,1,5,4,8,4,8,17,1,2,8,2,7,1,7,0,8,4,1,1,13,1,1,8,0,6,1,1,2,8,8,0,5,6,4,10,1,4,3,1,2,2,9,8,3,3,2,1,3,3,1,5,3,3,3,0,14,5,3,0,5,5,2,8,6,11,0,2,7,10,1,1,2,2,1,7,3,14,1,5,2,4,8,13,11,7,9,2,5,5,0,10,6,6,1,5,3,2,2,1,1,0,3,0,11,10,0,0,0,8,5,4,6,6,0,17,2,0,2,7,2,0,10,6,8,8,0,2,5,5,5,10,0,6,6,2,0,2
"cell0002",55,55,63,13,25,24,39,33,54,34,45,34,27,30,39,17,59,28,25,36,27,28,28,14,58,33,22,44,59,50,28,43,33,12,31,36,42,39,42,42,4,0,10,5,4,2,0,0,7,7,4,1,2,8,7,0,4,5,9,2,1,0,3,0,6,4,11,1,11,12,5,4,5,6,9,0,11,1,12,3,5,0,14,2,3,6,0,4,2,0,0,4,7,4,2,1,0,9,0,6,1,1,1,2,10,6,3,3,5,3,0,2,2,3,2,0,4,2,7,3,2,0,3,13,2,8,4,14,2,1,9,6,5,0,0,5,2,9,2,21,1,3,4,8,7,15,6,3,9,1,5,1,0,10,5,4,2,10,5,2,7,2,1,0,8,0,4,4,0,0,1,7,4,6,8,9,0,14,4,3,3,4,0,0,7,6,14,5,0,8,9,8,1,11,0,16,10,1,2,0
"cell0003",49,60,58,10,23,31,29,29,63,39,44,39,36,33,40,33,62,26,27,27,25,25,23,14,58,31,27,43,55,63,28,35,28,16,25,31,24,38,29,51,4,0,6,3,5,6,2,0,4,7,11,2,0,4,8,2,4,8,11,5,0,2,2,0,6,1,3,1,14,12,3,5,5,5,7,1,5,0,13,2,3,1,11,1,1,11,0,5,1,2,1,4,7,7,6,2,1,8,1,8,2,4,0,2,7,6,3,4,1,1,1,6,1,1,5,0,3,2,16,7,4,0,7,8,3,13,5,16,3,3,5,10,5,0,4,7,1,5,2,5,0,4,7,2,8,12,3,5,13,1,10,0,1,6,4,1,8,7,1,2,1,2,1,1,3,0,3,10,1,0,0,12,0,2,6,7,1,25,2,1,4,8,1,0,6,10,8,3,1,4,8,10,2,9,2,14,8,2,8,0
"cell0004",41,54,81,7,26,25,45,34,58,34,52,21,28,37,40,31,49,32,23,38,32,33,50,14,53,23,20,56,54,48,33,43,21,24,28,25,38,30,20,48,4,0,4,3,3,2,1,1,4,2,6,2,3,4,4,3,2,9,12,0,0,1,1,3,9,2,10,1,9,19,3,9,4,1,9,0,4,0,13,4,5,0,12,1,2,7,0,5,0,2,0,8,9,2,6,1,1,10,1,6,3,1,1,1,2,9,2,3,5,2,2,2,2,3,0,1,3,1,11,12,3,0,5,8,2,11,6,13,2,0,10,5,4,0,1,4,2,4,4,26,0,5,1,4,10,17,8,1,12,1,4,0,0,8,4,3,1,8,3,5,2,4,1,1,11,0,5,3,0,0,0,15,0,2,4,14,1,15,1,1,8,6,1,0,4,14,11,6,0,10,9,12,6,6,1,8,7,0,0,0
"cell0005",52,46,58,18,24,27,46,22,51,47,41,19,37,29,31,20,56,19,27,36,19,27,31,9,45,26,22,49,65,35,44,39,33,17,21,23,40,37,34,51,5,0,8,4,3,1,0,2,2,4,3,0,1,6,6,2,1,9,7,1,1,0,1,1,8,1,12,4,11,16,5,5,7,0,3,0,10,2,17,5,2,0,11,2,0,8,1,6,7,0,0,4,4,8,6,3,2,7,4,5,2,0,0,0,4,12,2,0,3,1,2,2,3,3,3,1,0,3,13,9,2,0,5,9,1,8,4,18,1,1,11,9,2,0,0,2,1,6,8,13,0,5,8,3,4,13,4,2,7,3,4,2,0,6,5,1,6,7,6,5,4,5,0,2,4,0,6,11,2,0,0,8,2,3,6,15,1,13,3,3,8,3,1,0,3,7,11,3,0,7,10,14,3,5,0,7,8,3,2,1
"cell0006",56,36,60,11,38,37,48,34,50,38,51,19,33,21,31,25,63,32,29,41,24,32,39,22,55,24,28,54,49,52,39,35,26,17,21,28,43,33,37,53,2,0,5,4,4,3,2,0,2,6,4,1,1,4,1,0,1,7,19,2,0,3,1,1,8,7,5,3,11,20,3,4,4,6,8,0,7,1,15,5,4,1,10,0,0,6,0,2,0,0,1,5,3,1,3,4,2,13,1,6,5,2,4,3,13,6,2,1,2,2,2,3,0,1,1,1,3,0,13,9,5,2,3,11,2,12,2,15,0,2,6,6,6,0,0,4,6,5,4,8,0,6,13,5,10,9,14,2,12,4,0,1,0,7,2,3,5,5,8,2,5,3,2,1,7,0,4,11,0,2,0,8,6,5,11,9,0,16,7,3,10,4,0,1,8,3,9,5,0,8,2,15,2,16,1,20,6,3,6,1
"cell0007",57,51,71,11,29,23,37,31,62,38,32,26,31,42,39,28,51,27,17,40,30,35,36,22,57,16,24,51,53,40,37,37,37,14,28,32,32,49,32,46,5,0,5,1,1,3,1,1,4,4,6,3,5,2,5,2,3,10,14,1,1,1,0,4,6,2,10,3,14,13,3,5,5,3,7,0,7,0,14,3,1,1,7,1,1,13,0,5,0,1,2,3,4,2,11,5,3,7,3,7,1,1,1,3,11,16,2,2,5,2,3,3,3,1,0,3,1,2,11,6,4,2,7,6,4,14,8,12,3,2,6,3,2,0,0,3,0,3,7,21,1,5,10,3,9,10,11,5,17,3,7,1,0,11,4,8,5,14,3,3,3,3,0,1,7,0,4,6,0,4,0,6,2,6,10,9,1,16,2,3,4,12,0,1,4,12,8,3,0,3,4,14,6,20,1,8,10,0,7,2
"cell0008",66,48,70,10,20,20,38,36,42,42,44,25,32,36,40,24,53,27,33,44,25,27,41,10,52,27,22,51,49,39,44,42,33,18,24,26,31,33,31,55,2,0,3,1,2,2,1,1,4,2,6,3,0,8,5,2,2,9,16,0,0,1,2,1,4,8,10,1,9,12,7,3,2,7,9,1,7,3,12,7,1,2,16,0,2,5,0,3,0,2,1,5,6,1,3,3,5,9,1,5,5,2,1,2,7,10,2,4,3,1,2,4,3,3,1,1,5,2,6,7,2,1,4,10,3,7,3,17,0,2,7,8,3,0,1,2,3,2,6,12,1,4,5,4,13,14,5,3,5,1,3,4,0,8,3,7,6,3,5,3,2,1,0,0,5,1,7,9,0,1,0,9,4,3,3,4,0,16,2,2,4,6,0,0,5,5,10,1,0,2,9,7,3,11,3,10,11,1,8,5
"cell0009",45,57,64,16,36,30,32,37,52,49,57,23,26,29,47,20,48,23,18,34,28,19,41,15,45,20,27,47,59,42,40,43,33,10,22,37,39,40,36,43,6,0,6,2,1,2,0,1,7,2,8,2,1,3,7,1,4,12,16,0,0,1,3,1,11,6,10,2,12,13,3,4,3,4,5,0,4,1,21,5,2,0,6,1,0,9,1,11,2,0,2,6,5,5,4,6,5,9,1,5,5,1,0,1,9,12,3,2,9,2,0,2,3,0,1,0,4,1,13,8,2,1,6,3,1,11,1,13,2,1,4,13,3,0,1,5,0,6,1,13,0,6,8,2,9,10,12,4,6,1,3,4,1,4,2,6,1,7,6,7,3,0,0,1,4,1,6,11,1,1,0,10,4,3,2,13,1,15,7,4,4,8,0,0,7,7,14,4,1,9,10,12,4,5,0,13,9,1,4,1
"cell0010",49,53,67,22,29,17,50,31,46,39,53,23,35,42,40,18,62,32,24,40,23,25,40,18,61,22,23,54,64,47,34,31,35,17,43,30,37,45,26,41,1,0,3,5,2,1,0,0,2,3,5,2,1,4,4,2,3,6,8,1,1,3,0,1,9,5,5,5,8,12,2,4,2,2,6,1,5,1,12,2,6,3,9,0,3,11,0,6,0,0,0,8,8,7,3,4,5,9,0,7,4,2,1,2,9,7,1,4,4,5,0,5,3,5,1,0,5,2,10,6,2,0,4,10,3,15,4,15,3,5,4,11,5,0,1,6,2,5,2,17,0,6,10,5,7,9,6,3,18,2,6,2,1,8,4,6,4,8,2,5,6,1,1,0,4,0,8,7,0,0,0,10,5,1,3,7,0,29,5,5,5,5,0,1,6,6,16,2,1,9,5,13,5,10,0,10,10,4,5,2
