"Sample","CD8_T","CD4_T","Treg","NK","Macrophage_M1","Macrophage_M2","B_cell","Neutrophil"
"S01",0.8518,0.4729,0.6362,0.6265,0.2984,0.2994,0.8253,0.4722
"S02",0.3517,0.5912,0.6878,0.455,0.7805,0.5201,0.3801,0.3117
"S03",0.5474,0.6428,0.3952,0.2252,0.4093,0.0935,0.2321,0.2685
"S04",0.4293,0.5648,0.544,0,0.4784,1,0.3649,0.7585
"S05",0,0.8971,0.3418,0.0704,0.6611,0.2453,0.2118,0.7535
"S06",0.7221,0.516,0.2706,0.1501,0.2989,0.2918,0.0467,0.6916
"S07",0.2025,0.388,0.5989,0.5828,0.6375,0.6199,0.173,0.7269
"S08",0.4836,0.5337,0.5522,0.48,0.2223,0.1044,0.5552,0.3633
"S09",0.357,0.5947,0.6476,0.1432,0.2967,0.1937,0.3121,0.4638
"S10",0.6732,0.593,0.6647,0.6019,0.6688,0.4048,1,0.5207
"S11",0.4707,0.3694,0.3861,0.6933,1,0.5227,0.5202,0.644
"S12",0.6354,0.4046,0.4702,0.8964,0.3836,0.6811,0.2432,0.4325
"S13",0.3668,0.4308,0.6764,0.6211,0.7543,0.1913,0.6487,0.6978
"S14",0.4818,0.6054,0,0.1147,0.9182,0.1067,0.2698,0.2645
"S15",0.8198,0.2555,0.3979,0.1825,0.6353,0.2894,0.4273,1
"S16",0.6013,0.4657,1,0.6479,0,0.4717,0.3358,0.2617
"S17",0.7164,0.629,0.0232,0.2845,0.9974,0.0802,0.1904,0.5912
"S18",0.4738,0.1503,0.6331,0.2328,0.6415,0.7399,0.7466,0.4623
"S19",0.0077,1,0.6444,0.2525,0.6155,0.2102,0.2027,0.6067
"S20",0.5509,0,0.6772,0.6039,0.6464,0.1192,0.3867,0.5017
"S21",0.588,0.7758,0.5632,0.4067,0.967,0.2481,0.1885,0.395
"S22",0.1393,0.1153,0.6676,0.2722,0.5716,0.0289,0.1739,0.4967
"S23",0.527,0.6355,0.441,0.7691,0.7816,0.4577,0.334,0.4034
"S24",0.2928,0.6063,0.7729,0.4132,0.9676,0.1224,0,0.5818
"S25",1,0.6269,0.7641,0.651,0.6655,0.6265,0.2714,0.6403
"S26",0.6145,0.7426,0.4667,0.4986,0.8591,0,0.6144,0.4704
"S27",0.4085,0.4381,0.5083,0.4259,0.8235,0.2581,0.1627,0.608
"S28",0.7348,0.5664,0.3702,0.1931,0.4946,0.4306,0.0028,0.7452
"S29",0.4988,0.4687,0.9808,1,0.8166,0.3517,0.8144,0.6283
"S30",0.5763,0.6249,0.9608,0.6515,0.7675,0.3828,0.6257,0.9846
"S31",0.5067,0.62,0.8824,0.3495,0.5606,0.4148,0.8427,0.6248
"S32",0.204,0.502,0.7663,0.5794,0.9227,0.5139,0.3604,0.7545
"S33",0.799,0.3642,0.5499,0.6367,0.4306,0.3769,0.337,0.219
"S34",0.5657,0.9937,0.1782,0.1202,0.4916,0.468,0.7713,0.5875
"S35",0.5185,0.3508,0.4682,0.6323,0.7241,0.3329,0.342,0.6382
"S36",0.7239,0.5044,0.3721,0.2972,0.6019,0.1307,0.3167,0.4435
"S37",0.2494,0.5312,0.7085,0.4667,0.9787,0.2527,0.4132,0.6382
"S38",0.8096,0.548,0.6827,0.4772,0.9928,0.7933,0.6417,0.7558
"S39",0.4495,0.6388,0.6262,0.7377,0.5827,0.394,0.4081,0
"S40",0.7464,0.6734,0.6744,0.7189,0.4937,0.2395,0.1672,0.8182
