"Sample","B_naive","B_memory","CD8_T","CD4_naive","CD4_memory","Treg","NK_resting","NK_activated","Monocyte","Macrophage_M1","Macrophage_M2","Neutrophil"
"S01_con",0.1135,0.101,0.1574,0.0182,0.1783,0.0969,0.0045,0.0338,0.0798,0.0768,0.0281,0.1118
"S02_con",0.0548,0.0901,0.1093,0.1558,0.114,0.1367,0.0432,0.0608,0.101,0.0835,0.0311,0.0197
"S03_con",0.0757,0.1268,0.1051,0.0285,0.0505,0.0494,0.0088,0.0662,0.089,0.1356,0.1735,0.0908
"S04_con",0.1274,0.0633,0.1119,0.1133,0.0625,0.0054,0.0587,0.0527,0.1364,0.0678,0.0792,0.1213
"S05_con",0.0913,0.0171,0.0483,0.1531,0.0648,0.0585,0.1002,0.1193,0.0732,0.034,0.1145,0.1259
"S06_con",0.0647,0.1388,0.0233,6e-04,0.1836,0.1317,0.0633,0.1923,0.0686,0.0043,0.1006,0.0283
"S07_con",0.102,0.0041,0.1025,0.0829,0.0879,0.1182,0.0467,0.0928,0.1314,0.096,0.066,0.0695
"S08_con",0.089,0.041,0.067,0.0271,0.0437,0.1528,0.0723,0.1167,0.1017,0.0883,0.1435,0.0569
"S09_con",0.1638,0.0821,0.0864,0.0216,0.0438,0.0653,0.0843,0.0671,0.0871,0.1105,0.0515,0.1365
"S10_con",0.1548,0.1369,0.0119,0.1475,0.0115,0.0799,0.0777,0.1066,0.0176,0.0873,0.0687,0.0997
"S11_con",0.0621,0.0499,0.0799,0.0932,0.0758,0.1344,0.036,0.036,0.056,0.1363,0.0943,0.146
"S12_con",0.0726,0.1527,0.1032,0.1725,0.0247,0.0841,0.0035,0.0286,0.133,0.0499,0.037,0.1383
"S13_con",0.0567,0.002,0.1366,0.0395,0.0771,0.132,0.1256,0.0552,0.0198,0.0985,0.1294,0.1275
"S14_con",0.1256,0.0405,0.1009,0.0239,0.0904,0.0803,0.0719,0.0091,0.0591,0.1105,0.1682,0.1196
"S15_con",0.0107,0.0955,0.2047,0.0131,0.0847,0.0325,0.0711,0.0887,0.1023,0.1455,0.1509,3e-04
"S01_tre",0.0756,0.0501,0.035,0.0557,0.0489,0.0763,0.0797,0.0815,0.0752,0.0988,0.219,0.1042
"S02_tre",0.02,0.0557,0.0341,0.1199,0.0497,0.1164,0.0829,0.1344,0.0982,0.0121,0.2054,0.0713
"S03_tre",0.0607,0.0744,0.0301,0.108,0.0586,0.061,0.1103,0.0723,0.1789,0.0526,0.1712,0.0218
"S04_tre",0.077,0.0991,0.0373,0.0807,0.1024,0.0878,0.097,0.0031,0.1119,0.1934,0.069,0.0412
"S05_tre",0.0818,0.0207,0.0421,0.064,0.0864,0.0876,0.0894,0.0479,0.1154,0.053,0.2189,0.0927
"S06_tre",0.0086,0.0439,0.0745,0.1137,0.1524,0.081,0.1179,0.0488,0.1097,0.0324,0.095,0.1221
"S07_tre",0.1147,0.1104,0.0333,0.0303,0.0615,0.1155,0.0178,0.1244,0.0502,0.0711,0.1945,0.0763
"S08_tre",0.077,0.0355,0.0352,0.1035,0.0991,0.1185,0.0883,0.076,0.0416,0.0667,0.2332,0.0254
"S09_tre",0.0303,0.0034,0.0589,0.1349,0.0217,0.1012,0.1788,0.0765,0.1217,0.0613,0.1195,0.0918
"S10_tre",0.0552,0.072,0.0353,0.0388,0.0222,0.1352,0.0221,0.1232,0.0278,0.1302,0.2022,0.1358
"S11_tre",0.02,0.0181,0.0437,0.0583,0.0547,0.0694,0.1085,0.1154,0.0073,0.0829,0.2583,0.1633
"S12_tre",0.1067,0.1733,0.0627,0.0871,0.013,0.0623,0.0916,0.0915,0.1003,0.1111,0.0519,0.0486
"S13_tre",0.0288,0.0554,0.0748,0.0537,0.1728,0.0344,0.1092,0.0394,0.0997,0.0029,0.2085,0.1204
"S14_tre",0.0561,0.0612,0.0316,0.0812,0.0846,0.0423,0.1068,0.1207,0.102,0.0576,0.2277,0.0282
"S15_tre",0.1088,0.0735,0.05,0.1056,0.0238,0.1261,0.0282,0.0796,0.0497,0.1795,0.1363,0.0389
