"cell","label"
"cell0001","Tcell"
"cell0002","Tcell"
"cell0003","Tcell"
"cell0004","Tcell"
"cell0005","Tcell"
"cell0006","Tcell"
"cell0007","Tcell"
"cell0008","Tcell"
"cell0009","Tcell"
"cell0010","Tcell"
"cell0011","Tcell"
"cell0012","Tcell"
"cell0013","Tcell"
"cell0014","Tcell"
"cell0015","Tcell"
"cell0016","Tcell"
"cell0017","Tcell"
"cell0018","Tcell"
"cell0019","Tcell"
"cell0020","Tcell"
"cell0021","Tcell"
"cell0022","Tcell"
"cell0023","Tcell"
"cell0024","Tcell"
"cell0025","Tcell"
"cell0026","Tcell"
"cell0027","Tcell"
"cell0028","Tcell"
"cell0029","Tcell"
"cell0030","Tcell"
"cell0031","Tcell"
"cell0032","Tcell"
"cell0033","Tcell"
"cell0034","Tcell"
"cell0035","Tcell"
"cell0036","Tcell"
"cell0037","Tcell"
"cell0038","Tcell"
"cell0039","Tcell"
"cell0040","Tcell"
"cell0041","Tcell"
"cell0042","Tcell"
"cell0043","Tcell"
"cell0044","Tcell"
"cell0045","Tcell"
"cell0046","Tcell"
"cell0047","Tcell"
"cell0048","Tcell"
"cell0049","Tcell"
"cell0050","Tcell"
"cell0051","Tcell"
"cell0052","Tcell"
"cell0053","Tcell"
"cell0054","Tcell"
"cell0055","Tcell"
"cell0056","Tcell"
"cell0057","Tcell"
"cell0058","Tcell"
"cell0059","Tcell"
"cell0060","Tcell"
"cell0061","Tcell"
"cell0062","Tcell"
"cell0063","Tcell"
"cell0064","Tcell"
"cell0065","Tcell"
"cell0066","Tcell"
"cell0067","Tcell"
"cell0068","Tcell"
"cell0069","Tcell"
"cell0070","Tcell"
"cell0071","Tcell"
"cell0072","Tcell"
"cell0073","Tcell"
"cell0074","Tcell"
"cell0075","Tcell"
"cell0076","Tcell"
"cell0077","Tcell"
"cell0078","Tcell"
"cell0079","Tcell"
"cell0080","Tcell"
"cell0081","Tcell"
"cell0082","Tcell"
"cell0083","Tcell"
"cell0084","Tcell"
"cell0085","Tcell"
"cell0086","Tcell"
"cell0087","Tcell"
"cell0088","Tcell"
"cell0089","Tcell"
"cell0090","Tcell"
"cell0091","Tcell"
"cell0092","Tcell"
"cell0093","Tcell"
"cell0094","Tcell"
"cell0095","Tcell"
"cell0096","Tcell"
"cell0097","Tcell"
"cell0098","Tcell"
"cell0099","Tcell"
"cell0100","Tcell"
"cell0101","Bcell"
"cell0102","Bcell"
"cell0103","Bcell"
"cell0104","Bcell"
"cell0105","Bcell"
"cell0106","Bcell"
"cell0107","Bcell"
"cell0108","Bcell"
"cell0109","Bcell"
"cell0110","Bcell"
"cell0111","Bcell"
"cell0112","Bcell"
"cell0113","Bcell"
"cell0114","Bcell"
"cell0115","Bcell"
"cell0116","Bcell"
"cell0117","Bcell"
"cell0118","Bcell"
"cell0119","Bcell"
"cell0120","Bcell"
"cell0121","Bcell"
"cell0122","Bcell"
"cell0123","Bcell"
"cell0124","Bcell"
"cell0125","Bcell"
"cell0126","Bcell"
"cell0127","Bcell"
"cell0128","Bcell"
"cell0129","Bcell"
"cell0130","Bcell"
"cell0131","Bcell"
"cell0132","Bcell"
"cell0133","Bcell"
"cell0134","Bcell"
"cell0135","Bcell"
"cell0136","Bcell"
"cell0137","Bcell"
"cell0138","Bcell"
"cell0139","Bcell"
"cell0140","Bcell"
"cell0141","Bcell"
"cell0142","Bcell"
"cell0143","Bcell"
"cell0144","Bcell"
"cell0145","Bcell"
"cell0146","Bcell"
"cell0147","Bcell"
"cell0148","Bcell"
"cell0149","Bcell"
"cell0150","Bcell"
"cell0151","Bcell"
"cell0152","Bcell"
"cell0153","Bcell"
"cell0154","Bcell"
"cell0155","Bcell"
"cell0156","Bcell"
"cell0157","Bcell"
"cell0158","Bcell"
"cell0159","Bcell"
"cell0160","Bcell"
"cell0161","Bcell"
"cell0162","Bcell"
"cell0163","Bcell"
"cell0164","Bcell"
"cell0165","Bcell"
"cell0166","Bcell"
"cell0167","Bcell"
"cell0168","Bcell"
"cell0169","Bcell"
"cell0170","Bcell"
"cell0171","Bcell"
"cell0172","Bcell"
"cell0173","Bcell"
"cell0174","Bcell"
"cell0175","Bcell"
"cell0176","Bcell"
"cell0177","Bcell"
"cell0178","Bcell"
"cell0179","Bcell"
"cell0180","Bcell"
"cell0181","Bcell"
"cell0182","Bcell"
"cell0183","Bcell"
"cell0184","Bcell"
"cell0185","Bcell"
"cell0186","Bcell"
"cell0187","Bcell"
"cell0188","Bcell"
"cell0189","Bcell"
"cell0190","Bcell"
"cell0191","Bcell"
"cell0192","Bcell"
"cell0193","Bcell"
"cell0194","Bcell"
"cell0195","Bcell"
"cell0196","Bcell"
"cell0197","Bcell"
"cell0198","Bcell"
"cell0199","Bcell"
"cell0200","Bcell"
"cell0201","Myeloid"
"cell0202","Myeloid"
