"spot","x","y","domain","gene01","gene02","gene03","gene04","gene05","gene06","gene07","gene08","gene09","gene10","gene11","gene12","gene13","gene14","gene15","gene16","gene17","gene18","gene19","gene20","gene21","gene22","gene23","gene24","gene25","gene26","gene27","gene28","gene29","gene30","gene31","gene32","gene33","gene34","gene35","gene36","gene37","gene38","gene39","gene40"
"spot0001",1,1,1,8.79835456501334,2.02355640011369,5.27094943968069,6.21501911736364,5.4149391309935,3.62856419367981,9.29032699103629,3.66869336555416,11.0644829985696,3.78050065331653,6.5670437897822,10.0032588744539,0,1.0242393161392,1.5333753226222,4.22582639324526,1.00511477504375,0,0,6.62039671005567,0.926764920725339,0,1.39828925484133,6.2513614471041,8.63317711442738,0.493358039378301,1.09955716030875,0,3.61034074190945,0,3.59407543134427,4.46693068030087,5.62286232689473,0,3.7673429315429,0,0,0,0,2.12642912412289
"spot0002",2,1,1,4.72099510070089,2.73629945507967,6.65357132494831,1.45653310523199,0,5.51486309061051,1.16012388334665,9.05435441602438,2.48993829085329,6.29476759190772,3.12673842821381,0,7.51504631927192,4.25014757001061,2.31416226309862,2.96792761552012,4.37751085619345,2.31441510302679,0,2.99709033735731,0.714678750406586,2.64830697702963,4.03638304577927,6.89907889552437,0,6.5588992121545,3.17546841913226,5.63477134544167,5.22254998901726,4.52307357003402,0,1.68434764686253,4.1823135669984,0,0.100099148991502,4.03348774188589,4.68862558242107,3.62318655989059,0,0
"spot0003",3,1,1,9.29447453431725,4.90272503136211,4.30954080205855,3.57686211861319,0,6.14198914314135,3.24001053988718,3.36035152783827,7.26671214999906,6.87620588677887,6.87240731576995,0.33339126930864,4.27621996254207,6.868886597365,0,0,0,0,2.27993893634406,4.28621518877216,6.20337881459473,5.65662880508704,0,8.46968665585461,0,2.36929834359624,0.522104413459004,1.5717743981576,2.65867562075524,2.41706335298952,1.91217607196409,2.37825454779711,0.300976674536663,0.235240042592338,0,0.661831955941637,0.205724097427699,11.4566185012068,0,2.48039676495512
"spot0004",4,1,1,0,0,4.43645835168952,0.511763027905869,3.99362084993352,2.50109391500965,1.85214937742677,0,0,4.62830754391278,3.98667208048237,0.274929262562838,2.00022009422873,5.93011375182988,7.03949510041666,0,1.58938153912438,6.20524440321895,0.355946468017947,1.81635680271351,1.69862445617019,0,0.443605982903416,1.89694292319117,0.551459028297268,5.89685108178871,0.316525054211063,0.483908385897448,4.43901901793236,0,1.85755533697075,0,6.08509342232489,1.04224004519072,0.362541363647113,0,1.97283288177936,0,0.132776845173472,6.50686335954606
"spot0005",5,1,1,3.38565945415255,0.248761655472634,4.57122408863584,2.73041554530218,6.06504741795569,9.01347674705847,0.525576211116775,5.59127604153099,4.29714320537471,7.13447953792591,1.19577651368807,4.92816673961215,0,7.91310622459681,5.02672292481502,1.47228403889988,0,4.25053045014694,3.69117852335169,1.97775530752514,2.53009562501849,0,3.29082356420585,3.0312901890183,1.02259219330099,0,4.45262086454012,3.93968817795912,0,0,2.71735503205672,0.792192077094885,2.88414096177559,0,0,5.80021198787965,3.413212166505,4.05270637851754,8.35329956153883,2.45087500010834
"spot0006",6,1,1,0,5.16822019101749,8.09963794575578,11.2083873480476,0,0,1.52962511833958,0.310804762729829,1.73989696900128,3.35117711313224,0,9.12940258444103,2.37721160709941,1.70562164823047,3.73466874561608,2.13095315141288,1.53769187065432,7.16875598243234,1.24039426467764,0,3.34983761655191,0.769704942648177,0.173713673253058,0,3.49928066143342,1.39093617950552,3.8048370502681,1.17972152942927,0,6.37582811427551,1.04882699711011,5.31783198556319,0,0.368593662685742,1.05727011696387,0.631621071541988,6.720474541971,1.92032354545556,2.85479047886208,0
"spot0007",7,1,1,1.44773953221649,7.49324117994197,8.40468582608446,8.37102291083534,0,11.1748624277274,7.5590549042984,3.9064888755161,6.46262722579391,0.600151697968477,0,2.17167657828159,0,2.66506649495912,6.54197064861633,0,0,2.16297378807802,0,0.658506140398026,5.05464394084989,5.39340754889541,3.34346332759483,0,1.81101142110842,5.72670625018399,4.84618263094062,1.33214234063501,0,2.21338323580391,4.00813094119252,2.16031252903785,2.55094389061556,3.5104788050407,0.612075923824257,6.58492379013042,3.6463768995588,0,6.83551409734937,6.21560627953438
"spot0008",8,1,1,6.88425887288658,0,2.00742779738082,6.22429836051334,4.1530270265225,5.21804306281457,12.6085774210465,1.13566886460116,0,4.95793345350645,0,3.56114368536653,0,9.74219418117297,1.567029099479,0.329325728894817,1.41808477979687,5.01897184269251,2.34069169820987,0,1.9838273126074,4.66084758681719,2.13646819505397,4.57275249565054,1.48734580550396,1.79739432616551,3.68829313136586,5.47530272871507,0,1.88279366304037,1.75163236562501,0,0,0,4.05382702004548,0.542870703357218,0,2.57195711820134,0,5.66055821682835
"spot0009",9,1,1,2.30391604323452,4.66195084088233,4.17852216051241,3.99915765889745,10.33283714855,1.11135215011519,8.00914658279795,4.11050615643635,1.07677968142648,3.75932722844221,4.61370090454363,0.510684429618886,0,2.53467437361763,5.4600889581258,1.74289582864739,0,0,0,0.155121561189397,1.92500527235431,4.34674324848699,0.478840364996577,0,4.12487098207475,2.96409939058857,6.05071474295158,0,2.30561681113206,6.73676662879934,4.53460830239179,0,4.56384970368945,0,0.413108710695725,6.15636997520177,0.984491408734723,4.89991150737903,0.980703019272909,0
"spot0010",10,1,1,1.02914506067877,0.190180483149817,2.30498300108989,2.8229107684665,3.46324738268425,3.14863469998804,10.6227071456004,0,2.54811494752277,5.22178534837391,7.69954793035392,2.30982663499766,6.33702747940197,0,7.06224783882468,0,1.03249120091152,0,2.46854260750308,8.24868668106043,10.4775717433806,0,3.70079388641085,6.85982608560502,1.3152011395041,1.23638820802826,0.933277159087442,4.09241453439005,6.89100293785516,4.40666916433987,3.12065805003939,0.943455259779588,3.74422039945282,0.0766207872913529,1.02260223726965,5.83779705089106,3.54704580862584,2.84355702909139,1.10537320625569,5.25861515519709
"spot0011",11,1,1,8.67219404881415,0.957548826435954,4.19420434132786,4.17173419617172,1.97575495073686,0.504414704013985,3.99148526997689,6.29429158984539,9.16894797641793,0,0,0.909994236958284,0,0,0,0,0,2.74696492600294,0,7.32171917841257,4.78584582295279,0,2.34438397352044,0,5.1089840902208,2.18574645424533,0.0504173095437055,3.53438962660452,2.53412855524847,1.42383846387652,9.06961717516591,0.147149397889585,0.352245594555852,0,1.85815646846688,5.11624706914737,0,1.12477207974443,0,7.04678042755918
"spot0012",12,1,1,8.75263438607602,5.17075996569227,9.0026832814008,0.964387521924605,7.3272810374016,1.95245971978368,5.1233513288397,2.95211394167282,3.02509920847426,5.91140305415336,0,1.12179937235139,2.59852580801268,0.58786382438372,2.36630804292504,0.883917246430968,7.664203775592,4.49966010521016,12.3805287944163,0,4.8502807013797,9.34310783545631,3.05343019303399,0,0,1.87604902278836,6.58193526298695,4.62640170326352,0,0,1.96830233647455,0,4.43085376273204,0,2.5015141741416,0.630722583055303,0.280925700350736,1.00723391641782,3.10178181647745,3.38714302278646
"spot0013",13,1,1,3.21038701137414,0,0,0,6.66652206412176,3.14734756345052,4.94386812596303,0,2.1254419765629,5.96858190610723,1.37585856803029,1.59702404829072,1.74778484762772,6.23818432424206,0,4.36644260410145,5.14509861938143,0,2.42440597436653,1.96072409854356,5.60199251759816,5.20171203701865,1.99140306662153,2.47603343344805,0,1.30656484482074,0,0,0,4.92672696380693,5.90240129473391,0.554693014755182,0,1.69224033878032,9.84666292659418,9.14459609762671,0,0.750826703571645,7.36648172256803,1.86614566186417
"spot0014",14,1,1,9.59094634814249,2.83245112341541,6.11745073370382,4.78484433737588,15.3017432341802,7.22158398370382,0,1.88641590792856,5.29582349617722,0,0,0,0.782246377043011,6.33615752021193,1.04030852301702,2.56833250445368,1.77387581586428,0,6.76769044062847,0,1.20048268508588,0.782601717864059,3.86245016827357,7.62532096791416,3.79835084140808,6.8383060620056,4.67083966992466,0,2.28540330150145,6.81627688977669,0,3.13669731208145,1.45123389066717,5.07224351257023,4.62558301313223,3.05368691344991,7.22483891030259,0,5.18751145470108,0
"spot0015",15,1,1,6.05700689991504,4.31374803600254,7.38541579932444,4.27584323520188,0,0,5.89340733483567,3.74318190662051,2.00143562254672,2.91126039051226,0,1.44930841771657,0,0,1.23140068512718,5.65846554311838,8.57065348204885,2.00912168585008,1.71765522851792,5.37043798433955,2.18749855791281,0.47785556881487,0,0,3.42207979224246,0,5.66960079554145,0,1.32250304660277,1.99182415010213,1.95509593146484,2.53181562694539,4.09478895990378,1.55825646945602,1.13012551953628,2.56114588216618,0.482253204409557,7.38094346685094,0,5.59451616752001
