"sample","cell_group","count","condition"
"ctrl_1","CellType1",1041,"ctrl"
"ctrl_1","CellType2",532,"ctrl"
"ctrl_1","CellType3",449,"ctrl"
"ctrl_1","CellType4",369,"ctrl"
"ctrl_1","CellType5",202,"ctrl"
"ctrl_1","CellType6",176,"ctrl"
"ctrl_1","CellType7",151,"ctrl"
"ctrl_1","CellType8",80,"ctrl"
"ctrl_2","CellType1",991,"ctrl"
"ctrl_2","CellType2",599,"ctrl"
"ctrl_2","CellType3",357,"ctrl"
"ctrl_2","CellType4",288,"ctrl"
"ctrl_2","CellType5",292,"ctrl"
"ctrl_2","CellType6",225,"ctrl"
"ctrl_2","CellType7",137,"ctrl"
"ctrl_2","CellType8",111,"ctrl"
"ctrl_3","CellType1",894,"ctrl"
"ctrl_3","CellType2",641,"ctrl"
"ctrl_3","CellType3",428,"ctrl"
"ctrl_3","CellType4",354,"ctrl"
"ctrl_3","CellType5",218,"ctrl"
"ctrl_3","CellType6",182,"ctrl"
"ctrl_3","CellType7",193,"ctrl"
"ctrl_3","CellType8",90,"ctrl"
"ctrl_4","CellType1",869,"ctrl"
"ctrl_4","CellType2",606,"ctrl"
"ctrl_4","CellType3",460,"ctrl"
"ctrl_4","CellType4",339,"ctrl"
"ctrl_4","CellType5",275,"ctrl"
"ctrl_4","CellType6",206,"ctrl"
"ctrl_4","CellType7",166,"ctrl"
"ctrl_4","CellType8",79,"ctrl"
"ctrl_5","CellType1",792,"ctrl"
"ctrl_5","CellType2",672,"ctrl"
"ctrl_5","CellType3",443,"ctrl"
"ctrl_5","CellType4",396,"ctrl"
"ctrl_5","CellType5",260,"ctrl"
"ctrl_5","CellType6",206,"ctrl"
"ctrl_5","CellType7",149,"ctrl"
"ctrl_5","CellType8",82,"ctrl"
"treat_1","CellType1",1430,"treat"
"treat_1","CellType2",483,"treat"
"treat_1","CellType3",321,"treat"
"treat_1","CellType4",319,"treat"
"treat_1","CellType5",60,"treat"
"treat_1","CellType6",186,"treat"
"treat_1","CellType7",114,"treat"
"treat_1","CellType8",87,"treat"
"treat_2","CellType1",1463,"treat"
"treat_2","CellType2",459,"treat"
"treat_2","CellType3",402,"treat"
"treat_2","CellType4",260,"treat"
"treat_2","CellType5",63,"treat"
"treat_2","CellType6",159,"treat"
"treat_2","CellType7",114,"treat"
"treat_2","CellType8",80,"treat"
"treat_3","CellType1",1338,"treat"
"treat_3","CellType2",631,"treat"
"treat_3","CellType3",328,"treat"
"treat_3","CellType4",281,"treat"
"treat_3","CellType5",52,"treat"
"treat_3","CellType6",170,"treat"
"treat_3","CellType7",127,"treat"
"treat_3","CellType8",73,"treat"
"treat_4","CellType1",1361,"treat"
"treat_4","CellType2",509,"treat"
"treat_4","CellType3",368,"treat"
"treat_4","CellType4",340,"treat"
"treat_4","CellType5",45,"treat"
"treat_4","CellType6",181,"treat"
"treat_4","CellType7",126,"treat"
"treat_4","CellType8",70,"treat"
"treat_5","CellType1",1334,"treat"
"treat_5","CellType2",570,"treat"
"treat_5","CellType3",329,"treat"
"treat_5","CellType4",304,"treat"
"treat_5","CellType5",61,"treat"
"treat_5","CellType6",199,"treat"
"treat_5","CellType7",130,"treat"
"treat_5","CellType8",73,"treat"
