"cell","truth"
"DIP_001","diploid"
"DIP_002","diploid"
"DIP_003","diploid"
"DIP_004","diploid"
"DIP_005","diploid"
"DIP_006","diploid"
"DIP_007","diploid"
"DIP_008","diploid"
"DIP_009","diploid"
"DIP_010","diploid"
"DIP_011","diploid"
"DIP_012","diploid"
"DIP_013","diploid"
"DIP_014","diploid"
"DIP_015","diploid"
"DIP_016","diploid"
"DIP_017","diploid"
"DIP_018","diploid"
"DIP_019","diploid"
"DIP_020","diploid"
"DIP_021","diploid"
"DIP_022","diploid"
"DIP_023","diploid"
"DIP_024","diploid"
"DIP_025","diploid"
"DIP_026","diploid"
"DIP_027","diploid"
"DIP_028","diploid"
"DIP_029","diploid"
"DIP_030","diploid"
"DIP_031","diploid"
"DIP_032","diploid"
"DIP_033","diploid"
"DIP_034","diploid"
"DIP_035","diploid"
"DIP_036","diploid"
"DIP_037","diploid"
"DIP_038","diploid"
"DIP_039","diploid"
"DIP_040","diploid"
"DIP_041","diploid"
"DIP_042","diploid"
"DIP_043","diploid"
"DIP_044","diploid"
"DIP_045","diploid"
"DIP_046","diploid"
"DIP_047","diploid"
"DIP_048","diploid"
"DIP_049","diploid"
"DIP_050","diploid"
"DIP_051","diploid"
"DIP_052","diploid"
"DIP_053","diploid"
"DIP_054","diploid"
"DIP_055","diploid"
"DIP_056","diploid"
"DIP_057","diploid"
"DIP_058","diploid"
"DIP_059","diploid"
"DIP_060","diploid"
"DIP_061","diploid"
"DIP_062","diploid"
"DIP_063","diploid"
"DIP_064","diploid"
"DIP_065","diploid"
"DIP_066","diploid"
"DIP_067","diploid"
"DIP_068","diploid"
"DIP_069","diploid"
"DIP_070","diploid"
"DIP_071","diploid"
"DIP_072","diploid"
"DIP_073","diploid"
"DIP_074","diploid"
"DIP_075","diploid"
"DIP_076","diploid"
"DIP_077","diploid"
"DIP_078","diploid"
"DIP_079","diploid"
"DIP_080","diploid"
"DIP_081","diploid"
"DIP_082","diploid"
"DIP_083","diploid"
"DIP_084","diploid"
"DIP_085","diploid"
"DIP_086","diploid"
"DIP_087","diploid"
"DIP_088","diploid"
"DIP_089","diploid"
"DIP_090","diploid"
"DIP_091","diploid"
"DIP_092","diploid"
"DIP_093","diploid"
"DIP_094","diploid"
"DIP_095","diploid"
"DIP_096","diploid"
"DIP_097","diploid"
"DIP_098","diploid"
"DIP_099","diploid"
"DIP_100","diploid"
"DIP_101","diploid"
"DIP_102","diploid"
"DIP_103","diploid"
"DIP_104","diploid"
"DIP_105","diploid"
"DIP_106","diploid"
"DIP_107","diploid"
"DIP_108","diploid"
"DIP_109","diploid"
"DIP_110","diploid"
"DIP_111","diploid"
