# synthetic, for demo only - NOT real docking output. Generated by 596_scorch2_virtual_screening.py make_synthetic(seed=0)
target,compound_id,pose_id,docking_score,label,ecif_CC,ecif_CN,ecif_CO,ecif_arom,binana_hbond,binana_hydrophobic,binana_saltbridge,binana_pistack,kier_flex,mw,logp,tpsa,rot_bonds,pose_rmsd_ref
TGT01,TGT01_CMPD0001,pose1,-5.344,0,4.0,5.0,9.0,3.0,4.0,6.0,11.0,8.0,3.428,362.0,2.663,72.8,0,2.078
TGT01,TGT01_CMPD0001,pose2,-2.727,0,11.0,5.0,9.0,8.0,5.0,15.0,11.0,12.0,2.866,350.4,1.107,103.8,0,0.583
TGT01,TGT01_CMPD0001,pose3,-5.555,0,12.0,5.0,14.0,7.0,11.0,7.0,8.0,11.0,2.997,288.7,0.644,86.1,0,0.511
TGT01,TGT01_CMPD0002,pose1,-7.5,0,14.0,14.0,15.0,13.0,6.0,12.0,12.0,10.0,3.618,325.6,3.755,105.6,4,0.219
TGT01,TGT01_CMPD0002,pose2,-5.877,0,16.0,12.0,14.0,11.0,10.0,14.0,11.0,16.0,2.652,406.6,2.467,83.8,0,2.571
TGT01,TGT01_CMPD0002,pose3,-5.035,0,12.0,12.0,11.0,15.0,11.0,12.0,17.0,13.0,2.735,313.2,4.339,55.1,1,1.133
TGT01,TGT01_CMPD0003,pose1,-8.758,0,15.0,10.0,18.0,8.0,10.0,10.0,14.0,13.0,3.15,298.0,4.101,98.4,1,1.056
TGT01,TGT01_CMPD0003,pose2,-7.36,0,6.0,13.0,10.0,13.0,7.0,16.0,14.0,11.0,2.319,364.2,3.444,67.5,2,0.792
TGT01,TGT01_CMPD0003,pose3,-6.762,0,12.0,21.0,18.0,12.0,9.0,13.0,17.0,17.0,2.543,192.6,2.731,61.4,0,1.037
TGT01,TGT01_CMPD0004,pose1,-5.449,0,12.0,11.0,1.0,11.0,8.0,10.0,11.0,12.0,2.984,288.5,2.155,66.2,3,1.723
TGT01,TGT01_CMPD0004,pose2,-8.196,0,7.0,12.0,12.0,11.0,8.0,13.0,11.0,16.0,1.938,320.0,2.518,113.9,3,0.341
TGT01,TGT01_CMPD0004,pose3,-6.579,0,20.0,16.0,14.0,12.0,10.0,15.0,15.0,15.0,2.45,370.3,3.341,82.5,4,0.812
TGT01,TGT01_CMPD0005,pose1,-6.594,0,2.0,5.0,7.0,8.0,1.0,6.0,9.0,6.0,2.967,258.3,1.634,60.8,2,0.438
