"SNP","beta_mediator","se_mediator","beta_outcome","se_outcome"
"rsM01",0.0761154492637671,0.0477196535654366,0.0395722835605078,0.023444976110477
"rsM02",0.115307217589993,0.0200713432044722,0.0518125190914984,0.0344827069202438
"rsM03",0.168059936036788,0.024812897448428,0.0877180353446964,0.0493752075172961
"rsM04",0.101210816777348,0.0319781885389239,0.0535519517858691,0.0443455036077648
"rsM05",0.11790122060244,0.0402595873200335,0.0561580165677943,0.0362873845128343
"rsM06",0.116555708070516,0.0344111604895443,0.0449154874863267,0.0221710126101971
"rsM07",0.0844928392837427,0.0360148634226061,0.0492539078262717,0.0339945573825389
"rsM08",0.10221263980461,0.0295085047185421,0.0566482861250456,0.0301971693779342
"rsM09",0.11882220483647,0.0444427277054638,0.0510480364902211,0.040697558154352
"rsM10",0.103445246037683,0.0287665856373496,0.0357767413987791,0.0354247211618349
"rsM11",0.164535440934728,0.0322739627398551,0.0843173062732404,0.0354476904682815
"rsM12",0.100760286333841,0.0227275492297485,0.0469292633871915,0.036365430620499
"rsM13",0.102673238695971,0.0439578991406597,0.05386273638163,0.0334237199020572
"rsM14",0.147874503062084,0.0307935574906878,0.0609972268761965,0.022516545210965
"rsM15",0.0777452634731637,0.0212146273022518,0.0292809272927782,0.0479040107526816
"rsM16",0.118372060993951,0.0212325901957229,0.0700437790337747,0.0204934455873445
"rsM17",0.0579382071060964,0.048633027151227,0.0330068526002053,0.032422771982383
"rsM18",0.166686781969427,0.0312002373463474,0.0892082663519066,0.026809282801114
"rsM19",0.109054171945037,0.0441925900266506,0.0726793704340579,0.022989217620343
"rsM20",0.10128618701311,0.0473017702694051,0.0519313077925788,0.0344877162529156
"rsM21",0.0704699068805514,0.0332022863859311,0.0152256610629606,0.0395038601430133
"rsM22",0.119689518648907,0.0372900950908661,0.0631825312987892,0.0476398933515884
"rsM23",0.0879887128819336,0.0222100338549353,0.0557076077145547,0.0308780542132445
"rsM24",0.0986603068019825,0.0249388218321837,0.0699255458239843,0.0456540497019887
"rsM25",0.171507009823384,0.0421967232762836,0.0719848889292866,0.0290271845459938
"rsM26",0.112978965190315,0.0342713303817436,0.0449809269388864,0.0339698727545328
"rsM27",0.0771287046339729,0.0405656285979785,0.0315061383693853,0.0242819199478254
"rsM28",0.126528275298695,0.0485454482841305,0.0527235798285757,0.0442315698089078
"rsM29",0.105490463374882,0.0349239346268587,0.0462877944560161,0.0399742289539427
"rsM30",0.143600541919494,0.0341150187980384,0.0699464912829817,0.0218582293973304
