"SNP","beta_exposure","se_exposure","beta_mediator","se_mediator","beta_outcome","se_outcome"
"rsX01",0.174838337885867,0.0402682182355784,0.0742635154132339,0.0415813577384688,0.0838564989136894,0.0220291045727208
"rsX02",0.0974120731441565,0.0494845159375109,0.0308508974957959,0.0297225785744376,0.0342030900271158,0.0368431386956945
"rsX03",0.134525136453494,0.0427863280265592,0.06825106719861,0.0433642849558964,0.0603135401886605,0.0221216568280943
"rsX04",0.145314504198442,0.0369946527224965,0.0538113396532432,0.0318332300544716,0.0720369062432766,0.0263417581655085
"rsX05",0.13617073292564,0.0454906915570609,0.0610247720042781,0.0403577860374935,0.043360404375777,0.0364886124036275
"rsX06",0.115755019356341,0.0256842180620879,0.0495212603945757,0.0432747512822971,0.0376940818737578,0.0344594434509054
"rsX07",0.180460879897558,0.0281385984411463,0.0643459625502193,0.0256360713206232,0.0608669651504853,0.024784095636569
"rsX08",0.116213638463476,0.0448447545571253,0.0622427305833102,0.0208725745673291,0.0318933153903665,0.0244873698521405
"rsX09",0.200736948555082,0.0407961446116678,0.0867237724792058,0.0240714139118791,0.0810946049544443,0.0349781864113174
"rsX10",0.117491436037903,0.0272163421893492,0.0478941808811573,0.0404049253440462,0.0535286178116532,0.048216946341563
"rsX11",0.172194786168939,0.0212896638805978,0.0716434219404904,0.048044688613154,0.0808875682235607,0.0300269397976808
"rsX12",0.211465815708044,0.0242143728234805,0.0913792144437704,0.0365148225310259,0.095033837154895,0.0256530298874713
"rsX13",0.0644455719555064,0.0264915624517016,0.0266765576479934,0.0380529870628379,0.0157461423138041,0.0280914853489958
"rsX14",0.108848449327305,0.0343819569260813,0.0136084788993927,0.0259098346438259,0.0620241987476495,0.0359223223431036
"rsX15",0.114667146544254,0.0259223102685064,0.0487156881530081,0.03605709831696,0.0391991245301233,0.0206435068557039
"rsX16",0.145438015922803,0.0415806751302443,0.0545028599417114,0.0253866721782833,0.0592303444936819,0.043962809224613
"rsX17",0.108629883143357,0.0202365421620198,0.0453042589059989,0.0335565948323347,0.0392293944386543,0.0233100530062802
"rsX18",0.013741783163809,0.0312646989384666,0.0113149505391787,0.0295116005535238,0.00427321154597387,0.0361939485743642
"rsX19",0.0223813228569792,0.0354322312492877,0.0229498974157185,0.0234852401120588,0.0108344594878067,0.0371370169240981
"rsX20",0.172804533829208,0.0200471166265197,0.0618488929369384,0.0255830647028051,0.0703134231116531,0.0385685464087874
"rsX21",0.107734456236861,0.037448120075278,0.0561192088151858,0.0418919028993696,0.0428428569860704,0.041445610804949
"rsX22",0.0487476626408,0.0247371562453918,0.0228575462538407,0.0323561621364206,0.0205797923357403,0.0236990173603408
"rsX23",0.113123305769615,0.0307708491757512,0.0556343832948223,0.0324214904522523,0.0403949699493794,0.0293314885627478
"rsX24",0.168586987966904,0.0393689563521184,0.076642080869668,0.0344093038700521,0.0623926238798825,0.0483721748786047
"rsX25",0.195807738450599,0.0432747008791193,0.0855318770089081,0.0328248339681886,0.0617121045810913,0.0350007527717389
"rsX26",0.102781234735752,0.0369094052468426,0.0306813045086223,0.0240947108040564,0.0372891566255626,0.024056914972607
"rsX27",0.109709224689243,0.0270111019583419,0.0429818260095901,0.0447403821907938,0.0387571872969191,0.0460777346161194
"rsX28",0.0494734765922088,0.0226994154904969,0.026024572256879,0.0377691272762604,0.0468083006403315,0.0261514883628115
"rsX29",0.138403894193251,0.0225683619477786,0.0458263240995769,0.0438319093291648,0.0417403953654032,0.0477513767289929
"rsX30",0.0944002049615952,0.0291565510840155,0.0323317938388995,0.0430709727713838,0.0391326441702242,0.0466026079468429
