"Gene","Score"
"GENE028",52.7
"GENE048",12.2
"GENE033",45.7
"GENE045",43.7
"GENE021",56.7
"GENE031",33.3
"GENE017",43
"GENE073",23.9
"GENE079",7
"GENE064",55.7
"GENE046",17.7
"GENE040",35.8
"GENE050",7.5
"GENE001",50.6
"GENE034",19.8
"GENE024",47.2
"GENE006",16.8
"GENE032",13.9
"GENE059",31.5
"GENE047",16.9
"GENE042",11.7
"GENE053",31.6
"GENE056",34.2
"GENE003",8.6
"GENE074",16.1
"GENE078",43.4
"GENE007",57.7
"GENE067",6.9
"GENE062",46
"GENE058",56.9
"GENE051",49.3
"GENE066",19.2
"GENE069",39.3
"GENE054",57.2
"GENE030",57.3
