"group","value"
"Day 0",3.58789551113174
"Day 0",1.98130051774125
"Day 0",2.75139658140999
"Day 0",2.97527596211766
"Day 0",2.78554270820703
"Day 0",2.36191665164407
"Day 0",3.70456325787432
"Day 0",2.37143299811713
"Day 0",4.12529168251795
"Day 0",2.39794729778649
"Day 0",3.53304181300549
"Day 0",4.34791567594192
"Day 0",1.29724561807676
"Day 0",2.21860532354158
"Day 0",2.33934329079326
"Day 0",2.97783883039816
"Day 0",2.21407007522466
"Day 0",0.245142000649036
"Day 0",0.424412449282319
"Day 0",3.54569407695606
"Day 0",2.19548996691487
"Day 0",0.9715139997966
"Day 0",2.30730859471951
"Day 0",3.45818000031326
"Day 0",4.02301057284992
"Day 0",2.09271062076685
"Day 0",2.23646641230179
"Day 0",0.986574639288333
"Day 0",2.83188080450996
"Day 0",1.9188042529531
"Day 0",2.82802360229021
"Day 0",3.03501498989992
"Day 0",3.30913592323504
"Day 0",1.94459110841201
"Day 0",2.86911275233732
"Day 0",1.02488279636913
"Day 0",1.79889902304502
"Day 0",1.74374669683349
"Day 0",0.446207650544296
"Day 0",2.47998176372057
"Day 0",2.62097883816621
"Day 0",2.15032244220461
"Day 0",3.0792754856306
"Day 0",1.84683499352644
"Day 0",1.31432673313199
"Day 0",2.80923896148764
"Day 0",1.77654366376506
"Day 0",3.64860404722864
"Day 0",2.09189965183092
"Day 0",2.99418774322383
"Day 0",2.71719797011928
"Day 0",1.79941367906929
"Day 0",3.75785384142734
"Day 0",2.98360642374537
"Day 0",2.52450133667767
"Day 0",2.67953712025191
"Day 0",3.01380971732587
"Day 0",2.52456129586064
"Day 0",-0.0342647690169358
"Day 0",2.68645285143045
"Day 0",2.14519524652499
"Day 0",2.60374136883846
"Day 0",2.93291369371337
"Day 0",3.61178156665292
"Day 0",1.84634759063619
"Day 0",3.53111038459664
"Day 0",2.72875393939422
"Day 0",3.31196006191903
"Day 0",3.21420471168124
"Day 0",3.0483288751795
"Day 0",1.58421128098868
"Day 0",2.37514529911311
"Day 0",2.96752007445962
"Day 0",1.65857561304895
"Day 0",1.9994520839037
"Day 0",2.9322270930758
"Day 0",3.08758835240271
"Day 0",2.83492709848834
"Day 0",1.71480567314997
"Day 0",1.53718185412228
"Day 0",3.70554681813809
"Day 0",2.66407479315159
"Day 0",2.52340539020246
"Day 0",2.34965587384256
"Day 0",1.45870701701676
"Day 0",2.95795742537352
"Day 0",2.26977392803039
"Day 0",2.29831193374451
"Day 0",3.22467745271406
"Day 0",3.13207168172185
"Day 0",3.60545659202544
"Day 0",2.05477564386462
"Day 0",2.98978930540283
"Day 0",3.6046216788037
"Day 0",1.52804523005824
"Day 0",1.73554215289139
"Day 0",1.51065689489137
"Day 0",1.23885238041301
"Day 0",2.51638551919016
"Day 0",2.99215960190883
"Day 0",3.44680126174675
"Day 0",3.31714340234921
"Day 0",1.61733682312293
"Day 0",3.98423997838838
"Day 0",1.89657807073101
"Day 0",2.53757646433854
"Day 0",2.09952761804885
"Day 0",2.34844935727737
"Day 0",2.60620021863624
"Day 0",2.54890359513752
"Day 0",2.42917318278006
"Day 0",2.53970036419189
