"cell","group"
"C001","near_sender"
"C002","near_sender"
"C003","near_sender"
"C004","near_sender"
"C005","near_sender"
"C006","near_sender"
"C007","near_sender"
"C008","near_sender"
"C009","near_sender"
"C010","near_sender"
"C011","near_sender"
"C012","near_sender"
"C013","near_sender"
"C014","near_sender"
"C015","near_sender"
"C016","near_sender"
"C017","near_sender"
"C018","near_sender"
"C019","near_sender"
"C020","near_sender"
"C021","near_sender"
"C022","near_sender"
"C023","near_sender"
"C024","near_sender"
"C025","near_sender"
"C026","near_sender"
"C027","near_sender"
"C028","near_sender"
"C029","near_sender"
"C030","near_sender"
"C031","near_sender"
"C032","near_sender"
"C033","near_sender"
"C034","near_sender"
"C035","near_sender"
"C036","near_sender"
"C037","near_sender"
"C038","near_sender"
"C039","near_sender"
"C040","near_sender"
"C041","near_sender"
"C042","near_sender"
"C043","near_sender"
"C044","near_sender"
"C045","near_sender"
"C046","near_sender"
"C047","near_sender"
"C048","near_sender"
"C049","near_sender"
"C050","near_sender"
"C051","near_sender"
"C052","near_sender"
"C053","near_sender"
"C054","near_sender"
"C055","near_sender"
"C056","near_sender"
"C057","near_sender"
"C058","near_sender"
"C059","near_sender"
"C060","near_sender"
"C061","near_sender"
"C062","near_sender"
"C063","near_sender"
"C064","near_sender"
"C065","near_sender"
"C066","near_sender"
"C067","near_sender"
"C068","near_sender"
"C069","near_sender"
"C070","near_sender"
"C071","near_sender"
"C072","near_sender"
"C073","near_sender"
"C074","near_sender"
"C075","near_sender"
"C076","near_sender"
"C077","near_sender"
"C078","near_sender"
"C079","near_sender"
"C080","near_sender"
"C081","near_sender"
"C082","near_sender"
"C083","near_sender"
"C084","near_sender"
"C085","near_sender"
"C086","near_sender"
"C087","near_sender"
"C088","near_sender"
"C089","near_sender"
"C090","near_sender"
"C091","near_sender"
"C092","near_sender"
"C093","near_sender"
"C094","near_sender"
"C095","near_sender"
"C096","near_sender"
"C097","near_sender"
"C098","near_sender"
"C099","near_sender"
"C100","near_sender"
"C101","near_sender"
"C102","near_sender"
"C103","near_sender"
"C104","near_sender"
"C105","near_sender"
"C106","near_sender"
"C107","near_sender"
"C108","near_sender"
"C109","near_sender"
"C110","near_sender"
"C111","near_sender"
"C112","near_sender"
"C113","near_sender"
"C114","near_sender"
"C115","near_sender"
"C116","near_sender"
"C117","near_sender"
"C118","near_sender"
"C119","near_sender"
"C120","near_sender"
"C121","near_sender"
"C122","near_sender"
"C123","near_sender"
"C124","near_sender"
"C125","near_sender"
"C126","near_sender"
"C127","near_sender"
"C128","near_sender"
"C129","near_sender"
"C130","near_sender"
"C131","near_sender"
"C132","near_sender"
"C133","near_sender"
"C134","near_sender"
"C135","near_sender"
"C136","near_sender"
"C137","near_sender"
"C138","near_sender"
"C139","near_sender"
"C140","near_sender"
"C141","near_sender"
"C142","near_sender"
"C143","near_sender"
"C144","near_sender"
"C145","near_sender"
"C146","near_sender"
"C147","near_sender"
"C148","near_sender"
"C149","near_sender"
"C150","near_sender"
"C151","distal"
"C152","distal"
"C153","distal"
"C154","distal"
"C155","distal"
"C156","distal"
"C157","distal"
"C158","distal"
"C159","distal"
"C160","distal"
"C161","distal"
"C162","distal"
"C163","distal"
"C164","distal"
"C165","distal"
"C166","distal"
"C167","distal"
"C168","distal"
"C169","distal"
"C170","distal"
"C171","distal"
"C172","distal"
"C173","distal"
"C174","distal"
"C175","distal"
"C176","distal"
"C177","distal"
"C178","distal"
"C179","distal"
"C180","distal"
"C181","distal"
"C182","distal"
"C183","distal"
"C184","distal"
"C185","distal"
"C186","distal"
"C187","distal"
"C188","distal"
"C189","distal"
"C190","distal"
"C191","distal"
"C192","distal"
"C193","distal"
"C194","distal"
"C195","distal"
"C196","distal"
"C197","distal"
"C198","distal"
"C199","distal"
"C200","distal"
"C201","distal"
"C202","distal"
"C203","distal"
"C204","distal"
"C205","distal"
"C206","distal"
"C207","distal"
"C208","distal"
"C209","distal"
"C210","distal"
"C211","distal"
"C212","distal"
"C213","distal"
"C214","distal"
"C215","distal"
"C216","distal"
"C217","distal"
"C218","distal"
"C219","distal"
"C220","distal"
"C221","distal"
"C222","distal"
"C223","distal"
"C224","distal"
"C225","distal"
"C226","distal"
"C227","distal"
"C228","distal"
"C229","distal"
"C230","distal"
"C231","distal"
"C232","distal"
"C233","distal"
"C234","distal"
"C235","distal"
"C236","distal"
"C237","distal"
"C238","distal"
"C239","distal"
"C240","distal"
"C241","distal"
"C242","distal"
"C243","distal"
"C244","distal"
"C245","distal"
"C246","distal"
"C247","distal"
"C248","distal"
"C249","distal"
"C250","distal"
"C251","distal"
"C252","distal"
"C253","distal"
"C254","distal"
"C255","distal"
"C256","distal"
"C257","distal"
"C258","distal"
"C259","distal"
"C260","distal"
"C261","distal"
"C262","distal"
"C263","distal"
"C264","distal"
"C265","distal"
"C266","distal"
"C267","distal"
"C268","distal"
"C269","distal"
"C270","distal"
"C271","distal"
"C272","distal"
"C273","distal"
"C274","distal"
"C275","distal"
"C276","distal"
"C277","distal"
"C278","distal"
"C279","distal"
"C280","distal"
"C281","distal"
"C282","distal"
"C283","distal"
"C284","distal"
"C285","distal"
"C286","distal"
"C287","distal"
"C288","distal"
"C289","distal"
"C290","distal"
"C291","distal"
"C292","distal"
"C293","distal"
"C294","distal"
"C295","distal"
"C296","distal"
"C297","distal"
"C298","distal"
"C299","distal"
"C300","distal"
