"cell","celltype"
"C001","Tumor"
"C002","Tumor"
"C003","Tumor"
"C004","Tumor"
"C005","Tumor"
"C006","Tumor"
"C007","Tumor"
"C008","Tumor"
"C009","Tumor"
"C010","Tumor"
"C011","Tumor"
"C012","Tumor"
"C013","Tumor"
"C014","Tumor"
"C015","Tumor"
"C016","Tumor"
"C017","Tumor"
"C018","Tumor"
"C019","Tumor"
"C020","Tumor"
"C021","Tumor"
"C022","Tumor"
"C023","Tumor"
"C024","Tumor"
"C025","Tumor"
"C026","Tumor"
"C027","Tumor"
"C028","Tumor"
"C029","Tumor"
"C030","Tumor"
"C031","Tumor"
"C032","Tumor"
"C033","Tumor"
"C034","Tumor"
"C035","Tumor"
"C036","Tumor"
"C037","Tumor"
"C038","Tumor"
"C039","Tumor"
"C040","Tumor"
"C041","Tumor"
"C042","Tumor"
"C043","Tumor"
"C044","Tumor"
"C045","Tumor"
"C046","Tumor"
"C047","Tumor"
"C048","Tumor"
"C049","Tumor"
"C050","Tumor"
"C051","Tumor"
"C052","Tumor"
"C053","Tumor"
"C054","Tumor"
"C055","Tumor"
"C056","Tumor"
"C057","Tumor"
"C058","Tumor"
"C059","Tumor"
"C060","Tumor"
"C061","Tumor"
"C062","Tumor"
"C063","Tumor"
"C064","Tumor"
"C065","Tumor"
"C066","Tumor"
"C067","Tumor"
"C068","Tumor"
"C069","Tumor"
"C070","Tumor"
"C071","Tumor"
"C072","Tumor"
"C073","Tumor"
"C074","Tumor"
"C075","Tumor"
"C076","Tumor"
"C077","Tumor"
"C078","Tumor"
"C079","Tumor"
"C080","Tumor"
"C081","Tumor"
"C082","Tumor"
"C083","Tumor"
"C084","Tumor"
"C085","Tumor"
"C086","Tumor"
"C087","Tumor"
"C088","Tumor"
"C089","Tumor"
"C090","Tumor"
"C091","Tumor"
"C092","Tumor"
"C093","Tumor"
"C094","Tumor"
"C095","Tumor"
"C096","Tumor"
"C097","Tumor"
"C098","Tumor"
"C099","Tumor"
"C100","Tumor"
"C101","Tumor"
"C102","Tumor"
"C103","Tumor"
"C104","Tumor"
"C105","Tumor"
"C106","Tumor"
"C107","Tumor"
"C108","Tumor"
"C109","Tumor"
"C110","Tumor"
"C111","Tumor"
"C112","Tumor"
"C113","Tumor"
"C114","Tumor"
"C115","Tumor"
"C116","Tumor"
"C117","Tumor"
"C118","Tumor"
"C119","Tumor"
"C120","Tumor"
"C121","CAF"
"C122","CAF"
"C123","CAF"
"C124","CAF"
"C125","CAF"
"C126","CAF"
"C127","CAF"
"C128","CAF"
"C129","CAF"
"C130","CAF"
"C131","CAF"
"C132","CAF"
"C133","CAF"
"C134","CAF"
"C135","CAF"
"C136","CAF"
"C137","CAF"
"C138","CAF"
"C139","CAF"
"C140","CAF"
"C141","CAF"
"C142","CAF"
"C143","CAF"
"C144","CAF"
"C145","CAF"
"C146","CAF"
"C147","CAF"
"C148","CAF"
"C149","CAF"
"C150","CAF"
"C151","CAF"
"C152","CAF"
"C153","CAF"
"C154","CAF"
"C155","CAF"
"C156","CAF"
"C157","CAF"
"C158","CAF"
"C159","CAF"
"C160","CAF"
"C161","CAF"
"C162","CAF"
"C163","CAF"
"C164","CAF"
"C165","CAF"
"C166","CAF"
"C167","CAF"
"C168","CAF"
"C169","CAF"
"C170","CAF"
"C171","CAF"
"C172","CAF"
"C173","CAF"
"C174","CAF"
"C175","CAF"
"C176","CAF"
"C177","CAF"
"C178","CAF"
"C179","CAF"
"C180","CAF"
"C181","CAF"
"C182","CAF"
"C183","CAF"
"C184","CAF"
"C185","CAF"
"C186","CAF"
"C187","CAF"
"C188","CAF"
"C189","CAF"
"C190","CAF"
"C191","CAF"
"C192","CAF"
"C193","CAF"
"C194","CAF"
"C195","CAF"
"C196","CAF"
"C197","CAF"
"C198","CAF"
"C199","CAF"
"C200","CAF"
"C201","CAF"
"C202","CAF"
"C203","CAF"
"C204","CAF"
"C205","CAF"
"C206","CAF"
"C207","CAF"
"C208","CAF"
"C209","CAF"
"C210","CAF"
"C211","CAF"
"C212","CAF"
"C213","CAF"
"C214","CAF"
"C215","CAF"
"C216","CAF"
"C217","CAF"
"C218","CAF"
"C219","CAF"
"C220","CAF"
"C221","CAF"
"C222","CAF"
"C223","CAF"
"C224","CAF"
"C225","CAF"
"C226","CAF"
"C227","CAF"
"C228","CAF"
"C229","CAF"
"C230","CAF"
"C231","CAF"
"C232","CAF"
"C233","CAF"
"C234","CAF"
"C235","CAF"
"C236","CAF"
"C237","CAF"
"C238","CAF"
"C239","CAF"
"C240","CAF"
"C241","Immune"
"C242","Immune"
"C243","Immune"
"C244","Immune"
"C245","Immune"
"C246","Immune"
"C247","Immune"
"C248","Immune"
"C249","Immune"
