"编号","状态","分类","语言","文件名","脚本名","用途","结果图","非肿瘤消化适配","主要R包","主要Python包","项目来源","路径"
"001","原有整理","01_网络药理学与靶点数据库","R","001_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__03.CTD数据库__CTD中查询与某个化合物相关的靶点基因.R","CTD中查询与某个化合物相关的靶点基因.R","从 CTD 数据库结果中提取化合物相关靶点基因并导出靶点表。","未检测到明确作图输出","未标注","dplyr; stringr","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\01_网络药理学与靶点数据库\001_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__03.CTD数据库__CTD中查询与某个化合物相关的靶点基因.R"
"002","原有整理","01_网络药理学与靶点数据库","R","002_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__04.Swiss Target Prediction__Swiss Target Prediction.R","Swiss Target Prediction.R","整理 SwissTargetPrediction 预测结果，提取药物/化合物潜在靶点。","未检测到明确作图输出","未标注","dplyr; tidyr","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\01_网络药理学与靶点数据库\002_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__04.Swiss Target Prediction__Swiss Target Prediction.R"
"003","原有整理","01_网络药理学与靶点数据库","R","003_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__05. CTD和.Swiss Target Prediction 数据库中相关的靶点取并集__CTD和.Swiss Target Prediction 数据库中相关的靶点取并集.R","CTD和.Swiss Target Prediction 数据库中相关的靶点取并集.R","从 CTD 数据库结果中提取化合物相关靶点基因并导出靶点表。","Venn图；条形图/柱状图","未标注","dplyr; ggplot2; ggvenn; grid; gridExtra","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\01_网络药理学与靶点数据库\003_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__05. CTD和.Swiss Target Prediction 数据库中相关的靶点取并集__CTD和.Swiss Target Prediction 数据库中相关的靶点取并集.R"
"004","原有整理","01_网络药理学与靶点数据库","R","004_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__07.genecard寻找疾病的相关靶点__提取基因.R","提取基因.R","从 GeneCards 检索结果中提取疾病相关基因。","未检测到明确作图输出","未标注","未标注","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\01_网络药理学与靶点数据库\004_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__07.genecard寻找疾病的相关靶点__提取基因.R"
"005","原有整理","01_网络药理学与靶点数据库","R","005_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__08.OMIM和genecard数据库并集__OMIM和genecard数据库并集.R","OMIM和genecard数据库并集.R","合并多个来源的基因集合，输出并集基因并绘制集合关系图。","Venn图；条形图/柱状图","未标注","ggplot2; ggvenn; grid; gridExtra","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\01_网络药理学与靶点数据库\005_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__08.OMIM和genecard数据库并集__OMIM和genecard数据库并集.R"
"006","原有整理","01_网络药理学与靶点数据库","R","006_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__09.疾病与化合物靶点取交集__venn交集.R","venn交集.R","计算多个基因集合交集/两两交集，并生成 Venn/集合图与交集基因表。","Venn图","未标注","ggplot2; ggvenn; viridis","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\01_网络药理学与靶点数据库\006_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__09.疾病与化合物靶点取交集__venn交集.R"
"011","原有整理","01_网络药理学与靶点数据库","R","011_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__15.差异基因和药物分子基因取交集__venn交集.R","venn交集.R","计算多个基因集合交集/两两交集，并生成 Venn/集合图与交集基因表。","Venn图；UpSet图","未标注","ComplexUpset; dplyr; ggplot2; ggvenn; RColorBrewer; viridis","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\01_网络药理学与靶点数据库\011_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__15.差异基因和药物分子基因取交集__venn交集.R"
"007","原有整理","02_GO_KEGG富集分析","R","007_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__10.富集分析KEGG和GO__KEGG和GO.R","KEGG和GO.R","对候选基因进行 GO/KEGG 富集分析，输出通路表和条形图、气泡图等。","条形图/柱状图；气泡图/点图","未标注","circlize; clusterProfiler; ComplexHeatmap; dplyr; enrichplot; ggplot2; ggpubr; KEGGREST; org.Hs.eg.db; RColorBrewer","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\02_GO_KEGG富集分析\007_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__10.富集分析KEGG和GO__KEGG和GO.R"
"008","原有整理","03_GEO转录组整理与差异分析","R","008_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__12.GEO数据整理__常见情况..转录组数据整理-__01GEO数据处理.有gene symbol情况.R","01GEO数据处理.有gene symbol情况.R","整理 GEO 转录组表达矩阵与基因注释，生成后续分析所需矩阵。","未检测到明确作图输出","未标注","未标注","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\03_GEO转录组整理与差异分析\008_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__12.GEO数据整理__常见情况..转录组数据整理-__01GEO数据处理.有gene symbol情况.R"
"009","原有整理","03_GEO转录组整理与差异分析","R","009_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__13.添加样本类型__添加样本类型.R","添加样本类型.R","为表达矩阵添加或整理样本分组/样本类型信息。","未检测到明确作图输出","未标注","pkg","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\03_GEO转录组整理与差异分析\009_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__13.添加样本类型__添加样本类型.R"
