"Gene Symbol","Relevance score"
"GENE028",8.28
"GENE048",5.66
"GENE033",55.31
"GENE045",53.61
"GENE021",72.41
"GENE031",24.48
"GENE017",74.66
"GENE073",16.56
"GENE079",63.49
"GENE064",18.36
"GENE056",2.95
"GENE055",69.03
"GENE054",54.97
"GENE080",75.39
"GENE058",54.23
"GENE053",67.53
"GENE043",29.27
"GENE011",31.69
"GENE008",45.63
"GENE025",8.06
"GENE022",15.91
"GENE075",47.25
"GENE005",60.24
"GENE002",69.45
"GENE060",30.06
"GENE066",64.01
"GENE012",5.14
"GENE003",50.06
"GENE029",28.85
"GENE057",47.24
"GENE014",73.15
"GENE013",16.36
"GENE036",29.84
"GENE077",53.88
"GENE039",61.57
"GENE035",42.02
"GENE059",66.33
"GENE007",42.4
"GENE030",40.39
"GENE009",33.89
"GENE070",29.3
"GENE024",10.31
"GENE006",24.2
"GENE049",22.5
"GENE052",61.73
