"geneSymbol","GSE_A_S01","GSE_A_S02","GSE_A_S03","GSE_A_S04","GSE_A_S05","GSE_A_S06","GSE_A_S07","GSE_A_S08"
"LOC127818955",8.984,7.939,7.758,7.979,5.982,7.806,10.32,7.482
"LOC122861299",9.202,9.027,6.828,7.271,8.834,7.525,5.618,9.249
"LOC100131479",8.147,5.71,5.802,4.743,5.388,10.685,8.655,6.598
"LOC127888321",8.26,5.686,3.322,4.743,8.207,8.382,7.538,8.453
"LOC127818024",5.025,7.291,7.79,5.975,5.63,4.684,6.767,8.94
"LOC124901745",5.179,5.693,7.448,6.143,8.265,6.264,6.076,7.638
"SLEB12",4.426,5.996,8.068,5.628,8.991,7.483,5.995,6.339
"TRH-GTG1-3",10.128,8.717,6.439,7.968,7.441,8.07,6.145,6.899
"LOC129930260",6.309,7.106,9.577,4.205,6.351,8.68,8.855,5.584
"LOC126863253",7.343,9.764,7.979,7.044,6.462,8.498,8.329,6.747
"LOC130005262",9.375,5.473,8.063,5.036,5.71,4.92,5.062,6.461
"LOC129389824",6.989,6.757,3.988,6.825,7.241,6.93,8.582,5.839
"LOC129992905",9.979,7.002,5.849,7.827,6.696,3.119,8.059,8.301
"LOC132089191",5.857,6.653,8.087,8.679,5.125,8.744,7.746,10.413
"RTF2",6.948,6.625,4.774,5.681,7.673,4.83,8.97,4.604
"TRBJ2-2P",7.05,7,7.544,6.634,6.42,7.233,9.6,6.02
"TEX28P2",7.98,5.565,7.54,8.155,9.387,9.3,7.311,5.699
"LOC130065488",7.429,5.103,9.928,5.186,5.249,6.057,5.947,9.899
"LOC128966626",5.471,7.987,6.098,4.823,7.661,6.735,6.807,5.307
"CEP128",7.011,7.728,6.308,7.826,5.403,8.005,5.587,2.529
"LOC127407340",6.441,8.403,7.217,6.332,8.736,6.569,8.132,9.239
"LOC121852953",6.684,4.045,7.123,7.674,8.226,5.669,6.008,7.52
"LOC127884805",9.055,7.592,4.76,5.078,8.388,7.539,7.036,7.731
"LOC105375969",6.724,6.3,6.083,8.568,7.746,6.667,6.82,4.403
"LOC130057314",5.25,4.032,7.807,7.922,8.627,7.529,9.953,7.857
"LOC130055557",7.522,7.427,6.738,6.582,5.415,9.518,7.755,7.844
"LOC129998909",6.626,7.618,4.698,3.891,4.443,7.044,8.403,7.193
"LOC130002166",6.983,5.041,7.641,6.845,5.214,8.783,6.07,7.492
"LOC124908625",6.22,6.137,9.583,6.086,7.77,8.338,7.909,3.878
"LOC126860102",8.71,5.521,9.695,6.303,6.018,7.196,6.365,7.132
"LOC129992656",6.372,6.184,5.501,7.321,7.784,6.393,7.196,5.647
"LOC124903951",8.044,5.792,8.605,5.819,7.612,6.815,8.848,8.136
"DCHS1",5.717,8.374,6.746,8.603,5.676,7.455,7.934,5.955
"LOC108175348",8.12,7.081,8.127,7.93,6.031,5.972,3.63,8.388
"LOC130061402",7.236,6.427,6.727,6.69,8.929,7.69,8.024,7.603
"PNLDC1",5.737,5.696,6.586,6.761,7.89,6.046,8.384,5.645
"IS2",7.497,7.385,7.395,6.01,5.731,6.983,9.204,6.07
"LOC105377917",5.972,6.933,7.42,9.329,8.13,6.318,9.295,7.504
"LOC127273901",7.171,7.292,6.326,7.733,7.546,8.878,5.976,7.36
"CHD9NB",6.746,6.338,6.103,5.993,7.448,7.199,6.118,6.93
"GINS1",7.437,5.377,6.496,6.946,6.913,6.824,9.474,6.353
"LOC130062386",6.758,9.675,7.101,6.086,10.046,8.14,8.33,5.065
"LOC127887822",6.755,5.533,5.629,7,7.095,6.549,6.3,7.239
"LOC121366054",7.301,6.915,7.113,6.061,8.482,8.939,7.764,9.073
"LOC126859816",6.416,7.81,7.505,4.767,10.926,8.361,7.138,6.135
"LOC126861023",7.315,5.893,8.118,5.049,7.287,9.05,7.63,7.593
"LOC124902038",8.341,5.46,6.451,7.324,5.671,4.189,7.842,6.223
"LOC129999127",7.822,6.364,8.282,7.534,8.063,6.912,8.159,6.716
"LOC105378806",9.159,6.233,6.644,5.208,6.257,5.234,3.432,5.845
"LOC127822577",7.477,8.139,6.657,8.142,7.198,5.669,8.388,5.811
"LINC01119",7.612,8.557,7.756,9.157,7.021,6.6,5.796,5.054
"LOC124049160",5.311,6.752,7.296,6.449,7.795,7.375,4.599,7.69
"SNHG14",7.865,7.661,6.566,5.748,5.63,6.469,9.38,4.971
"LOC129933117",7.452,7.647,7.214,5.817,6.01,7.786,7.517,9.232
"LOC124907491",6.42,5.596,7.822,6.048,7.426,7.966,7.386,7.333
"LOC127825855",8.018,7.592,7.716,4.109,7.305,8.815,5.345,8.535
"LOC105371986",6.701,7.694,9.827,9.871,7.418,9.205,7.35,9.62
"LOC129934237",7.396,6.926,7.474,5.088,6.254,5.637,3.625,9.002
"ANIB10",7.534,7.522,5.766,6.157,4.254,6.867,6.899,6.4
"LOC127884394",5.305,6.992,7.64,6.983,9.268,4.721,4.691,8.179
"LOC127887696",6.613,4.73,6.839,7.02,8.367,7.222,5.124,6.464
"LOC127816819",6.409,5.966,4.167,7.617,8.996,7.262,3.471,5.654
"CFC1B",7.321,4.406,5.797,8.366,4.589,7.107,7.695,6.378
"LITATS1",3.67,6.244,7.504,6.912,9.242,7.448,8.737,6.746
"LOC127893187",6.745,6.148,7.916,7.233,6.815,7.216,8.162,5.433
"LOC130059670",8.387,7.177,9.459,9.377,6.465,7.637,7.547,6.259
"SOCS2P2",8.354,6.601,4.472,5.449,8.361,4.554,7.79,5.695
"LOC127401553",6.008,7.005,6.155,6.215,7.124,5.396,5.296,5.46
"LOC127821659",9.091,5.98,7.987,7.719,7.453,4.558,4.21,7.734
"LOC129937552",6.884,4.255,7.122,7.235,6.577,5.957,7.63,7.61
"LOC116216158",8.825,7.803,9.158,8.76,9.813,7.665,9.628,4.927
"CDK5RAP3P1",6.391,6.945,7.923,6.058,8.301,7.18,6.812,7.864
"IGLVI-68",8.326,7.484,5.586,7.528,4.205,3.946,7.659,7.926
"KLHL10",7.933,7.253,6.919,7.175,8.085,6.012,5.269,7.146
"LINC01427",7.141,6.324,6.042,5.889,8.517,5.608,5.962,8.53
"CDH23-AS1",5.464,8.625,7.645,5.712,8.913,9.202,8.356,5.539
"LOC130058607",7.71,6.761,4.952,6.233,8.975,7.865,8.39,4.44
"LOC130002158",6.104,8.302,6.783,8.716,8.155,6.106,8.692,4.324
"F2",3.706,7.109,8.85,6.403,7.378,5.742,6.651,8.976
"LOC127895495",4.13,6.898,9.665,6.928,6.669,7.685,9.144,6.154
"LOC107985568",9.941,5.741,5.446,8.777,6.587,5.313,5.016,4.398
"RPL37P3",7.757,5.931,9.007,7.456,7.65,7.583,7.473,6.985
"LOC127827972",7.201,7.972,4.944,8.778,8.082,7.202,6.008,6.046
"CYP4F11",7.189,8.437,6.967,6.368,6.065,5.656,7.886,11.062
"LOC129993200",7.276,8.806,7.273,8.133,7.893,10.415,7.151,9.074
"LOC129931208",6.289,6.639,9.467,5.54,5.756,7.033,5.6,6.056
"LOC127274388",4.385,5.893,6.571,7.673,4.855,5.919,7.568,8.215
"LOC127894914",6.179,8.122,6.046,7.902,5.903,9.131,8.557,6.85
"LOC127815111",6.463,4.811,4.575,6.326,5.624,6.439,7.387,7.106
"LOC124500667",7.725,6.973,3.806,7.195,6.875,7.269,6.06,8.887
"LOC127897638",4.953,8.465,7.564,6.557,9.943,5.176,6.023,5.771
"ATP2B1-AS1",6.62,7.024,9.609,9.093,5.396,7.103,6.768,4.933
"LOC129936974",7.627,7.189,9.313,6.582,8.86,9.971,8.352,7.554
"LOC127827360",8.342,6.135,4.747,5.598,7.203,6.374,6.128,6.593
"TTC36",7.818,4.862,7.705,5.473,7.991,6.908,8.744,6.941
"RPL36AP35",7.065,4.445,6.539,6.601,8.188,9.28,7.949,5.433
"XPC-AS1",6.081,5.741,7.487,5.665,6.299,7.341,7.058,7.576
"LOC124904601",7.772,6.877,9.887,8.25,7.476,6.159,8.606,10.82
"TTTY6B",4.763,7.958,7.353,7.954,6.746,3.834,9.781,7.798
